name,stored_value,shifted_value,offset
Aaitui,12844,25,0x1f320
Aaron,571,1,0x1f338
Abanikanda,51779,101,0x1f350
Abbot,18996,37,0x1f368
Abbrederis,14381,28,0x1f380
Abdesmad,43057,84,0x1f398
Abdul-Quddus,2560,5,0x1f3b0
Abdullah,2048,4,0x1f3c8
Abel,1083,2,0x1f3e0
Abernathy,3584,7,0x1f3f8
Abiamiri,4096,8,0x1f410
Aboushi,20011,39,0x1f428
Abraham,4608,9,0x1f440
Abram,57912,113,0x1f458
Abrams,5632,11,0x1f470
Abrams-Draine,43078,84,0x1f488
Abreu,1595,3,0x1f4a0
Achane ,45635,89,0x1f4b8
Acho,7680,15,0x1f4d0
Acker,14893,29,0x1f4e8
Ackerman,8192,16,0x1f500
Ackers,22528,44,0x1f518
Acklin,33335,65,0x1f530
Acosta,58923,115,0x1f548
Acy,16384,32,0x1f560
Adair,2107,4,0x1f578
Adam,35902,70,0x1f590
Adams,9728,19,0x1f5a8
Adamson,2619,5,0x1f5c0
Adcock,10240,20,0x1f5d8
Addae,57904,113,0x1f5f0
Addai,10752,21,0x1f608
Adderley,57400,112,0x1f620
Addington,44611,87,0x1f638
Addison,11776,23,0x1f650
Adebawore,14404,28,0x1f668
Adebo,58944,115,0x1f680
Adeboyejo,55347,108,0x1f698
Adeniji,59435,116,0x1f6b0
Adeniyi,10806,21,0x1f6c8
Adeyanju,12800,25,0x1f6e0
Adeyemi,3122,6,0x1f6f8
Adibi,13312,26,0x1f710
Adjei-Barimah,49711,97,0x1f728
Adkins,13824,27,0x1f740
Adkisson,14336,28,0x1f758
Adler,3131,6,0x1f770
Adomitis,45122,88,0x1f788
Adongo,12333,24,0x1f7a0
Afalava,14848,29,0x1f7b8
Afriyie,26685,52,0x1f7d0
Agasiva,3136,6,0x1f7e8
Agholor,15405,30,0x1f800
Agim,17408,34,0x1f818
Agnew,15872,31,0x1f830
Aguayo,13360,26,0x1f848
Agude,32834,64,0x1f860
Agudosi,41013,80,0x1f878
Aguilar,19508,38,0x1f890
Aguilera,45625,89,0x1f8a8
Aguirre,20020,39,0x1f8c0
Agurs,4655,9,0x1f8d8
Ah You,17920,35,0x1f8f0
Ahanotu,18432,36,0x1f908
Ahlers,47172,92,0x1f920
Ahmad,3643,7,0x1f938
Ahmed,4146,8,0x1f950
Aiken,19456,38,0x1f968
Aikens,15917,31,0x1f980
Aikman,19968,39,0x1f998
Ainge,20480,40,0x1f9b0
Aiyuk,18944,37,0x1f9c8
Ajala,59947,117,0x1f9e0
Ajayi,16429,32,0x1f9f8
Ajirotutu,20992,41,0x1fa10
Akbar,21504,42,0x1fa28
Akers,22528,44,0x1fa40
Akindele,15936,31,0x1fa58
Akingbesote,42055,82,0x1fa70
Akinmoladun,512,1,0x1fa88
Akins,23040,45,0x1faa0
