Last Name,First Name,College,Rank,Draft Class,Position,Jersey,Height,Weight,2025 College Year,Awards,Star Rating,Hometown,Homestate,Race,Photo
Mendoza,Fernando,Indiana,1,2026,QB,15,77,225,,,,Miami,,,
Bain Jr.,Rueben,Miami (FL),2,2026,EDGE,,,,,,,,,,
Moore,Dante,Oregon,3,2026,QB,5,75,206,,,,Detroit,,,
Sellers,LaNorris,South Carolina,4,2026,QB,16,75,240,,,,Florence,,,
Downs,Caleb,Ohio State,5,2026,S,2,72,205,,,,Hoschton,,,
Tyson,Jordyn,Arizona State,6,2026,WR,,74,200,,,,Allen,,,
Woods,Peter,Clemson,7,2026,DL,11,75,315,,,,Alabaster,,,
Fano,Spencer,Utah,8,2026,OT,55,78,302,,,,Spanish Fork,,,
Simpson,Ty,Alabama,9,2026,QB,15,74,208,,,,Martin,,,
Faulk,Keldric,Auburn,10,2026,EDGE,15,78,285,,,,Highland Home,,,
Mauigoa,Francis,Miami (FL),11,2026,OT,,,,,,,,,,
Reese,Arvell,Ohio State,12,2026,LB,8,76,243,,,,Cleveland,,,
Proctor,Kadyn,Alabama,13,2026,OT,74,79,366,,,,Des Moines,,,
Parker,T.J.,Clemson,14,2026,EDGE,3,75,265,,,,Phenix City,,,
McCoy,Jermod,Tennessee,15,2026,CB,3,72,193,,,,Whitehouse,,,
Nussmeier,Garrett,LSU,16,2026,QB,18,73,205,,,,Lake Charles,,,
Love,Jeremiyah,Notre Dame,17,2026,RB,4,72,214,,,,Saint Louis,,,
Delane,Mansoor,LSU,18,2026,CB,4,72,190,,,,Silver Spring,,,
Lemon,Makai,USC,19,2026,WR,6,71,195,,,,Los Alamitos,,,
Sadiq,Kenyon,Oregon,20,2026,TE,18,75,245,,,,Idaho Falls,,,
Tate,Carnell,Ohio State,21,2026,WR,17,75,195,,,,Chicago,,,
Terrell,Avieon,Clemson,22,2026,CB,8,71,180,,,,Atlanta,,,
Lomu,Caleb,Utah,23,2026,OT,71,78,304,,,,Gilbert,,,
Bailey,David,Texas Tech,24,2026,EDGE,31,75,250,,,,Irvine,,,
Overton,L.T.,Alabama,25,2026,EDGE,,,,,,,,,,
Uiagalelei,Matayo,Oregon,26,2026,EDGE,10,77,272,,,,Bellflower,,,
Banks,Caleb,Florida,27,2026,DL,88,78,330,,,,Southfield,,,
Mateer,John,Oklahoma,28,2026,QB,10,73,224,,,,Little Elm,,,
Styles,Sonny,Ohio State,29,2026,LB,6,76,243,,,,Pickerington,,,
Boston,Denzel,Washington,30,2026,WR,12,76,209,,,,South Hill,,,
Allen,C.J.,Georgia,31,2026,LB,3,73,235,,,,Barnesville,,,
Hill Jr.,Anthony,Texas,32,2026,LB,,75,238,,,,Denton,,,
Lew,Connor,Auburn,33,2026,IOL,75,75,300,,,,Kennesaw,,,
Ioane,Olaivavega,Penn State,34,2026,IOL,,,,,,,,,,
Dunker,Gennings,Iowa,35,2026,OT,67,77,315,,,,Lena,,,
Howell,Cashius,Texas A&M,36,2026,EDGE,9,74,248,,,,Kansas City,,,
World,Isaiah,Oregon,37,2026,OT,76,80,318,,,,San Diego,,,
Brazzell,Chris,Tennessee,38,2026,WR,17,77,200,,,,Midland,,,
Hood,Colton,Tennessee,39,2026,CB,8,72,195,,,,Mcdonough,,,
Washington,A'Mauri,Oregon,40,2026,DL,52,75,330,,,,Detroit,,,
Bell,Chris,Louisville,41,2026,WR,,74,220,,,,Yazoo City,,,
Lane,Ja'Kobi,USC,42,2026,WR,8,76,200,,,,Mesa,,,
Williams,Antonio,Clemson,43,2026,WR,,71,190,,,,Irmo,,,
Harris,A.J.,Penn State,44,2026,CB,4,73,191,,,,Phenix City,,,
Goosby,Trevor,Texas,45,2026,OT,74,79,312,,,,Melissa,,,
Muhammad,Malik,Texas,46,2026,CB,5,72,188,,,,Desoto,,,
Josephs,Joshua,Tennessee,47,2026,EDGE,19,75,240,,,,Kennesaw,,,
Klubnik,Cade,Clemson,48,2026,QB,2,74,210,,,,Austin,,,
Dennis-Sutton,Dani,Penn State,49,2026,EDGE,33,77,265,,,,Millsboro,,,
Height,Romello,Texas Tech,50,2026,EDGE,9,75,235,,,,Dublin,,,
Thieneman,Dillon,Oregon,51,2026,S,31,72,205,,,,Westfield,,,
Miller,Christen,Georgia,52,2026,DL,52,76,305,,,,Ellenwood,,,
Haynes,Justice,Michigan,53,2026,RB,22,71,210,,,,Buford,,,
Ramsey,Kamari,USC,54,2026,S,7,72,205,,,,Palmdale,,,
Orange,Domonique,Iowa State,55,2026,DL,95,76,325,,,,Kansas City,,,
Concepcion,Kevin,Texas A&M,56,2026,WR,7,71,190,,,,Charlotte,,,
Thomas,R Mason,Oklahoma,57,2026,EDGE,32,74,249,,,,Fort Lauderdale,,,
