Last Name,First Name,College,Rank,Draft Class,Position,Jersey,Height,Weight,2025 College Year,Awards,Star Rating,Hometown,Homestate,Race,Photo
Mendoza,Fernando,Indiana,1,2026,QB,15.0,77.0,225.0,,,,Miami,FL,,
Bain Jr.,Rueben,Miami (FL),2,2026,EDGE,,,,,,,,,,
Moore,Dante,Oregon,3,2026,QB,5.0,75.0,206.0,,,,Detroit,MI,,
Sellers,LaNorris,South Carolina,4,2026,QB,16.0,75.0,240.0,,,,Florence,SC,,
Downs,Caleb,Ohio State,5,2026,S,2.0,72.0,205.0,,,,Hoschton,GA,,
Tyson,Jordyn,Arizona State,6,2026,WR,,74.0,200.0,,,,Allen,TX,,
Woods,Peter,Clemson,7,2026,DL,11.0,75.0,315.0,,,,Alabaster,AL,,
Fano,Spencer,Utah,8,2026,OT,55.0,78.0,302.0,,,,Spanish Fork,UT,,
Simpson,Ty,Alabama,9,2026,QB,15.0,74.0,208.0,,,,Martin,TN,,
Faulk,Keldric,Auburn,10,2026,EDGE,15.0,78.0,285.0,,,,Highland Home,AL,,
Mauigoa,Francis,Miami (FL),11,2026,OT,,,,,,,,,,
Reese,Arvell,Ohio State,12,2026,LB,8.0,76.0,243.0,,,,Cleveland,OH,,
Proctor,Kadyn,Alabama,13,2026,OT,74.0,79.0,366.0,,,,Des Moines,IA,,
Parker,T.J.,Clemson,14,2026,EDGE,3.0,75.0,265.0,,,,Phenix City,AL,,
McCoy,Jermod,Tennessee,15,2026,CB,3.0,72.0,193.0,,,,Whitehouse,TX,,
Nussmeier,Garrett,LSU,16,2026,QB,18.0,73.0,205.0,,,,Lake Charles,LA,,
Love,Jeremiyah,Notre Dame,17,2026,RB,4.0,72.0,214.0,,,,Saint Louis,MO,,
Delane,Mansoor,LSU,18,2026,CB,4.0,72.0,190.0,,,,Silver Spring,MD,,
Lemon,Makai,USC,19,2026,WR,6.0,71.0,195.0,,,,Los Alamitos,CA,,
Sadiq,Kenyon,Oregon,20,2026,TE,18.0,75.0,245.0,,,,Idaho Falls,ID,,
Tate,Carnell,Ohio State,21,2026,WR,17.0,75.0,195.0,,,,Chicago,IL,,
Terrell,Avieon,Clemson,22,2026,CB,8.0,71.0,180.0,,,,Atlanta,GA,,
Lomu,Caleb,Utah,23,2026,OT,71.0,78.0,304.0,,,,Gilbert,AZ,,
Bailey,David,Texas Tech,24,2026,EDGE,31.0,75.0,250.0,,,,Irvine,CA,,
Overton,L.T.,Alabama,25,2026,EDGE,,,,,,,,,,
Uiagalelei,Matayo,Oregon,26,2026,EDGE,10.0,77.0,272.0,,,,Bellflower,CA,,
Banks,Caleb,Florida,27,2026,DL,88.0,78.0,330.0,,,,Southfield,MI,,
Mateer,John,Oklahoma,28,2026,QB,10.0,73.0,224.0,,,,Little Elm,TX,,
Styles,Sonny,Ohio State,29,2026,LB,6.0,76.0,243.0,,,,Pickerington,OH,,
Boston,Denzel,Washington,30,2026,WR,12.0,76.0,209.0,,,,South Hill,VA,,
Allen,C.J.,Georgia,31,2026,LB,3.0,73.0,235.0,,,,Barnesville,GA,,
Hill Jr.,Anthony,Texas,32,2026,LB,,75.0,238.0,,,,Denton,TX,,
Lew,Connor,Auburn,33,2026,IOL,75.0,75.0,300.0,,,,Kennesaw,GA,,
Ioane,Olaivavega,Penn State,34,2026,IOL,,,,,,,,,,
Dunker,Gennings,Iowa,35,2026,OT,67.0,77.0,315.0,,,,Lena,WI,,
Howell,Cashius,Texas A&M,36,2026,EDGE,9.0,74.0,248.0,,,,Kansas City,MO,,
World,Isaiah,Oregon,37,2026,OT,76.0,80.0,318.0,,,,San Diego,CA,,
Brazzell,Chris,Tennessee,38,2026,WR,17.0,77.0,200.0,,,,Midland,TX,,
Hood,Colton,Tennessee,39,2026,CB,8.0,72.0,195.0,,,,Mcdonough,GA,,
Washington,A'Mauri,Oregon,40,2026,DL,52.0,75.0,330.0,,,,Detroit,MI,,
Bell,Chris,Louisville,41,2026,WR,,74.0,220.0,,,,Yazoo City,MS,,
Lane,Ja'Kobi,USC,42,2026,WR,8.0,76.0,200.0,,,,Mesa,AZ,,
Williams,Antonio,Clemson,43,2026,WR,,71.0,190.0,,,,Irmo,SC,,
