pam,pid,player_name,confidence
harriskekwane_22315,14650,Cliff Harris,medium
hendricksevan_13184,37,Ted Hendricks,medium
dawkinsBrian_17583,15144,Joe Dawkins,medium
gayWilam_17867,20265,Blenda Gay,medium
douglasdemarious_13141,14423,Doug Buffone,medium
hallkyle_22075,15692,Charlie Hall,medium
harrisbobby_11891,14650,Cliff Harris,medium
johnsonkerryon_13073,14395,Randy Johnson,medium
BurrowJoe_20948,15496,Ken Burrow,medium
gordonjosh_11257,14434,Dick Gordon,medium
harrisrodney_11567,14650,Cliff Harris,medium
addisonJordan_22693,73786, ,medium
jenkinsJohnathan_17687,14529,Al Jenkins,medium
halibutikhalil_20979,19442,Hal Roberts,medium
grissomgeronimo_22465,73786, ,medium
fergusonreid_20971,15365,Gene Ferguson,medium
harrisdamontae_20698,14650,Cliff Harris,medium
freemandevonta_17546,14389,Mike Freeman,medium
greenbashaud_27917,14648,Cornell Green,medium
gregoryreedley_20702,14399,Greg Lens,medium
blackmonJulian_21269,23234,Tim Black,medium
dukeThomas_20149,24080,Duke Fergerson,medium
fieldsJustin_21565,21220,Joe Fields,medium
BrownDerrick_21286,14513,Ken Brown,medium
joneszack_12560,14489,Willie Jones,medium
crosbymason_27996,19927,Steve Crosby,medium
howelykenji_20345,34261,Glen Howe,medium
bryantdez_9754,14906,Bobby Bryant,medium
amersondavid_11893,73786, ,medium
CampbellJihaad_15268,14381,Sonny Campbell,medium
gillispiemarco_12542,21060,Gil Chapman,medium
huntcalvin_13072,14794,Ervin Hunt,medium
boydTyler_17593,14548,Bo Scott,medium
georgejohnathan_22063,14396,George Kunz,medium
haywardCasey_13067,52837,Hayward Clay,medium
holtsclaw_21000,29753,John Holt,medium
burksTreylon_22069,21113,Steve Burks,medium
chungPatrick_20146,46483,Eugene Chung,medium
covingtonChris_13451,38672,Jaime Covington,medium
jefferytruman_2437,14417,Jeff Van Note,medium
heflinmaliek_21174,30485,Vince Heflin,medium
freemanroyce_2436,14389,Mike Freeman,medium
hoganChris_13202,22538,Mike Hogan,medium
harrisdeonte_12665,14650,Cliff Harris,medium
enuwajiimmanuel_1290,73786, ,medium
doubleronnie_11251,53021,Dou Innocent,medium
bowersBrock_14678,14548,Bo Scott,medium
edwardsbernard_13216,14452,Ed O'Bradovich,medium
antetokounmpothanasis_2996,73786, ,medium
hardmanmechole_20591,15412,Cedrick Hardman,medium
cladyryan_28406,20072,C.L. Whittington,medium
ZabelGrey_4601,15228,Steve Zabel,medium
jacksonrickey_20086,14429,Jack Concannon,medium
hilltaysom_17580,14568,Jerry Hill,medium
hastingsWill_20980,48242,Andre Hastings,medium
edebalisemmanuel_1716,14452,Ed O'Bradovich,medium
doucetwilliam_27963,53021,Dou Innocent,medium
gordonmelvin_10820,14434,Dick Gordon,medium
griffinshaquille_17549,21781,Archie Griffin,medium
fullwood_20097,38079,Brent Fullwood,medium
ebukamebuka_13142,73786, ,medium
hejsmanuel_22479,73786, ,medium
bryantmatt_15694,14906,Bobby Bryant,medium
cashmanBlake_20693,15315,Rick Cash,medium
AllenJosh_20410,14376,Grady Allen,medium
hollandii_1000,15651,Vern Holland,medium
huntkareem_13072,14794,Ervin Hunt,medium
holdencole_20342,16143,Sam Holden,medium
gayWilliams_17867,20265,Blenda Gay,medium
harrisonronnie_11567,14650,Cliff Harris,medium
hillmccoy_17742,14568,Jerry Hill,medium
huntagildon_28295,14794,Ervin Hunt,medium
betheaantoine_27338,15139,Elvin Bethea,medium
chubbBradley_13079,64625,C #66,medium
franchiseammon_20095,14707,Fran Lynch,medium
hudsonanton_13161,15111,Jim Hudson,medium
brownCorey_2292,14513,Ken Brown,medium
hillkingjt_20981,14568,Jerry Hill,medium
grugierCam_21510,73786, ,medium
grovesquenton_22066,65757,Jake Grove,medium
agholorNelson_2442,73786, ,medium
browningJake_20329,14513,Ken Brown,medium
dillonAJ_21079,40143,Scott Dill,medium
bectonMekhi_20969,73786, ,medium
garcianilklaas_17824,27609,Bubba Garcia,medium
higginsrasul_13071,25715,Tom Higgins,medium
johnsonmalik_2413,14395,Randy Johnson,medium
bryantmartavis_10840,14906,Bobby Bryant,medium
beckhamJrOdell_10829,16315,Braden Beck,medium
edwardsanthony_2403,14452,Ed O'Bradovich,medium
grayjason_28399,15149,Ken Gray,medium
BarkleySaquon_13085,73786, ,medium
delaireTrevor_22083,14997,Del Williams,medium
allenBrandon_17606,14376,Grady Allen,medium
hoegertyler_22479,73786, ,medium
MatthewsTommy_FOTF,14800,Al Matthews,medium
bensonTrey_14622,14517,Ben Davis,medium
gen_2_B_N_0015,73786, ,medium
FarmeronAmeer_11308,7689,George Farmer,medium
adderleyNasir_20455,10797,Herb Adderley,medium
gatewoodsidrian_20498,17447,Thom Gatewood,medium
haackkyle_21166,73786, ,medium
brownMarlon_14057,14513,Ken Brown,medium
elusorsammy_1718,73786, ,medium
jacobsjosh_12610,14966,Harry Jacobs,medium
bosaJoey_17537,14548,Bo Scott,medium
hasselbektreed_2340,69011,Mike Hass,medium
carterMichael_21568,14472,Virgil Carter,medium
ellisonMike_10858,14782,Ken Ellis,medium
hubbsmalcolm_11268,73786, ,medium
MayfieldBaker_13117,14577,Ray May,medium
dunnlael_11251,14480,Paul Dunn,medium
gainesde_2314,22046,Lawrence Gaines,medium
galapoleyan_12606,73786, ,medium
hoffmankevin_28317,15461,John Hoffman,medium
holtcolby_27993,29753,John Holt,medium
hydefrankie_28412,22003,Glenn Hyde,medium
jacksonkareem_20348,14429,Jack Concannon,medium
hartmananthony_2318,14605,Jim Hart,medium
BranchBrian_23024,9987,Cliff Branch,medium
fordemmett_11562,15594,Charlie Ford,medium
hurdlejaven_12656,37805,Jeff Hurd,medium
davisTre_2510,14432,Butch Davis,medium
gen_2_B_N_0013,73786, ,medium
AjyukBrandon_21069,23532,A.J. Duhe,medium
hargreavejustin_21571,73786, ,medium
gradkowskibruce_28358,1276,Bruce Gradkowski,high
bellVonn_17654,26,Bobby Bell,medium
haganjoel_21169,1346,Derek Hagan,medium
gardnerbilly_28375,31842,Ellis Gardner,medium
huntalex_20700,14794,Ervin Hunt,medium
burnsArtie_17657,16543,Leon Burns,medium
haywardconnor_20339,52837,Hayward Clay,medium
arcegaWhitesideJJ_20344,73786, ,medium
fairbairndaniel_20158,14526,Fair Hooker,medium
gardenerminshewll_20586,52329,Daryl Gardener,medium
kaneDarius_17601,23387,Rick Kane,medium
irvinganthony_28412,14604,Irv Goode,medium
harrischristopher_13146,14650,Cliff Harris,medium
jacksonlamar_20349,14429,Jack Concannon,medium
freemanroyce_17546,14389,Mike Freeman,medium
burkheadrex_11945,25807,Scott Burk,medium
garroppolojimmy_11577,73786, ,medium
daviscorey_28424,14432,Butch Davis,medium
johnstondarius_22327,14401,John Mallory,medium
devilbisstrea_11224,73786, ,medium
bakhtiariDavid_1713,73786, ,medium
johnsonjamarcus_2505,14395,Randy Johnson,medium
graycam_2404,15149,Ken Gray,medium
herbertjustin_20981,10797,Herb Adderley,medium
hamiltonkevin_11566,6314,Jack Ham,medium
henrybrad_13128,15241,Henry Davis,medium
fullerKyle_11251,15410,Johnny Fuller,medium
gatesDavid_2315,66358,Lionel Gates,medium
edwardsbrian_27956,14452,Ed O'Bradovich,medium
geersmichael_20696,73786, ,medium
jacksonmalik_20704,14429,Jack Concannon,medium
jordanandre_2303,15323,Jeff Jordan,medium
janssengregory_20350,14851,Jan Stenerud,medium
draftsam_13082,54954,Chris Draft,medium
granthalfonzo_28327,14566,Bob Grant,medium
kaindohAdonis_28292,73786, ,medium
karrasalex_2473,14739,Alex Karras,high
goodsonMike_13131,30875,John Goodson,medium
howellfranco_20344,14528,Mike Howell,medium
addisonMario_10984,73786, ,medium
byrdjairus_20147,15860,Butch Byrd,medium
goldsonrashaan_28304,58467,Ian Gold,medium
jonesrashod_20705,14489,Willie Jones,medium
kaplandalton_20995,34156,Ken Kaplan,medium
brittKenny_20057,31245,James Britt,medium
cookJared_20090,18046,Greg Cook,medium
henryhunter_17597,15241,Henry Davis,medium
jacksontj_2515,14429,Jack Concannon,medium
matthewsJake_12349,14800,Al Matthews,medium
achaneDevon_22692,73786, ,medium
gilbertjustinraj_13081,21060,Gil Chapman,medium
gladneyCameron_20978,39557,Tony Gladney,medium
bucknerDeForest_17542,14818,Buck Buchanan,medium
eastondemarco_27922,14644,Ron East,medium
evansGavon_21532,14865,Norm Evans,medium
evansrashaan_11288,14865,Norm Evans,medium
dillardtim_27939,40143,Scott Dill,medium
alexanderLorenzo_28291,14397,Al Lavan,medium
fieldsale_21162,21220,Joe Fields,medium
gosderjerrynt_20698,713,Gosder Cherilus,medium
coleiiaj_20821,14428,Linzy Cole,medium
gordonDee_21172,14434,Dick Gordon,medium
brownaj_20495,14513,Ken Brown,medium
collinsAlex_17576,14515,Gary Collins,medium
crosbyMaxx_20571,19927,Steve Crosby,medium
higginstee_20993,25715,Tom Higgins,medium
dewittDoug_11890,73786, ,medium
greenAJ_12552,14648,Cornell Green,medium
chenalleo_22458,64625,C #66,medium
fournetteLeonard_12548,73786, ,medium
beasleyCole_11791,14904,John Beasley,medium
fajardoalbert_28321,73786, ,medium
abramJohnathan_20459,42213,A.B. Brown,medium
brownOrlando_13083,14513,Ken Brown,medium
joneschristopher_12590,14489,Willie Jones,medium
kayahendricks_12559,18952,Rick Kay,medium
farveMichael_28478,73786, ,medium
hartstevejody_28380,14605,Jim Hart,medium
dobbsjk_13128,73786, ,medium
fosterMason_20159,15367,Gene Foster,medium
janettijason_20703,14851,Jan Stenerud,medium
hyattjalin_22714,14609,Fred Hyatt,medium
dunlapCarlos_20157,15727,Lenny Dunlap,medium
kamaraAlvin_12670,73786, ,medium
johnsonbrady_20352,14395,Randy Johnson,medium
colemanBobby_197,14428,Linzy Cole,medium
hilljustinjefferson_11570,14568,Jerry Hill,medium
gradybradley_12701,14376,Grady Allen,medium
cousinsKirk_11215,53387,Terry Cousin,medium
foornathaniel_20150,73786, ,medium
florescortes_11233,45247,Mike Flores,medium
denseNoah_17737,73786, ,medium
edelman_11303,14452,Ed O'Bradovich,medium
farveBrett_1330,73786, ,medium
ifedisolaoliseunla_12668,73786, ,medium
halotevarez_28317,19442,Hal Roberts,medium
bagentTyson_22900,73786, ,medium
hackenbergchristian_17557,73786, ,medium
kafusipatrick_20356,73786, ,medium
gouldrobbie_27940,1275,Robbie Gould,high
BrittJustin_2122,31245,James Britt,medium
asamoahIIBrian_22190,310,Jon Asamoah,medium
eakeledan_1637,73786, ,medium
ingrammario_11590,30633,Brian Ingram,medium
dorseypewitt_22069,18616,Nate Dorsey,medium
hamlerKJ_20992,6314,Jack Ham,medium
kelleymalcolm_21180,15203,Ike Kelley,medium
charkDJ_13255,64625,C #66,medium
iosivaaeneas_20988,73786, ,medium
andersonJrWill_22702,14678,Bobby Anderson,medium
CosmiSam_21533,64625,C #66,medium
haddenWillam_2109,40313,Gary Hadd,medium
fosterkirkpatrick_22059,15367,Gene Foster,medium
dewaldjamille_2519,73786, ,medium
jacobymyers_20601,28261,Jacob Green,medium
jordancameron_17651,15323,Jeff Jordan,medium
hillmarcus_2414,14568,Jerry Hill,medium
diggsTrevon_20970,23759,Shelton Diggs,medium
anzaloneAlex_12613,73786, ,medium
henrytravis_28300,15241,Henry Davis,medium
churchbarry_9969,64625,C #66,medium
corralmatt_22045,25349,Frank Corral,medium
jonesmalcolm_20606,14489,Willie Jones,medium
hayesMichael_17735,14651,Bob Hayes,medium
ertzZach_10859,73786, ,medium
jacksonadvill_2409,14429,Jack Concannon,medium
kayaathaurice_12559,18952,Rick Kay,medium
burnettmorgan_9954,37697,Victor Burnett,medium
franklinkirkpatric_17592,14475,Frank Cornish,medium
hackettNathaniel_15280,36080,Joey Hackett,medium
hammondthaddeus_28364,6314,Jack Ham,medium
benwikerebene_2090,14517,Ben Davis,medium
ingra_1002,73786, ,medium
highsmithAlex_21512,15288,Don Highsmith,medium
allenJosh_13197,14376,Grady Allen,medium
gallmanwayne_12540,73786, ,medium
johnsonduke_17553,14395,Randy Johnson,medium
dudleyjared_11893,37513,Brian Dudley,medium
howellsam_22052,14528,Mike Howell,medium
barranthony_10828,51336,Dave Barr,medium
fletcherlondon_22705,14504,Fletcher Smith,medium
hannahCole_22076,3294,John Hannah,medium
campbellCalais_28363,14381,Sonny Campbell,medium
hydejailen_12557,22003,Glenn Hyde,medium
daltonAndy_10439,23620,Oakley Dalton,medium
jacksonlachien_17600,14429,Jack Concannon,medium
cooperPharoh_17595,22836,Bert Cooper,medium
dungyTony_28436,23905,Tony Dungy,high
ingoldsbymax_22484,73786, ,medium
gen_2_B_N_006,73786, ,medium
baileychamp_1523,14556,Jim Bailey,medium
harrisjcj_13146,14650,Cliff Harris,medium
collinsJamie_1285,14515,Gary Collins,medium
curlKamren_21012,64625,C #66,medium
fiskjulian_28388,50887,Jason Fisk,medium
