Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,First_Name,Last_Name,Team_Norm,Stat_Type,Roster_Index,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Y/G,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Rushing_Y/G,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Avg,Scrimmage_TD
1.0,Sawyer Robertson,Baylor,Big 12,9.0,230.0,366.0,62.8,2780.0,26.0,7.1,7.0,1.9,7.6,8.16,12.1,308.9,146.3,,sawyer,robertson,baylor,Passing,301,,,,,,,,,,,,,,
2.0,Joey Aguilar,Tennessee,SEC,9.0,195.0,297.0,65.7,2737.0,21.0,7.1,8.0,2.7,9.2,9.42,14.0,304.1,161.0,,joey,aguilar,tennessee,Passing,13577,,,,,,,,,,,,,,
3.0,Drew Mestemaker,North Texas,American,9.0,214.0,310.0,69.0,2702.0,21.0,6.8,4.0,1.3,8.7,9.49,12.6,300.2,162.0,,drew,mestemaker,north texas,Passing,10916,,,,,,,,,,,,,,
4.0,Walker Eget,San Jose State,MWC,8.0,190.0,320.0,59.4,2607.0,17.0,5.3,3.0,0.9,8.1,8.79,13.7,325.9,143.5,,walker,eget,san jose state,Passing,12691,,,,,,,,,,,,,,
5.0,Darian Mensah,Duke,ACC,8.0,202.0,290.0,69.7,2572.0,21.0,7.2,2.0,0.7,8.9,10.01,12.7,321.5,166.7,,darian,mensah,duke,Passing,860,,,,,,,,,,,,,,
6.0,Joe Fagnano,Connecticut,Ind,9.0,209.0,304.0,68.8,2529.0,22.0,7.2,0.0,0.0,8.3,9.77,12.1,281.0,162.5,,joe,fagnano,connecticut,Passing,5884,,,,,,,,,,,,,,
7.0,Kevin Jennings,SMU,ACC,9.0,210.0,317.0,66.2,2484.0,18.0,5.7,8.0,2.5,7.8,7.84,11.8,276.0,145.8,,kevin,jennings,southern methodist,Passing,526,,,,,,,,,,,,,,
8.0,Athan Kaliakmanis,Rutgers,Big Ten,9.0,190.0,306.0,62.1,2476.0,13.0,4.2,5.0,1.6,8.1,8.21,13.0,275.1,140.8,,athan,kaliakmanis,rutgers,Passing,12392,,,,,,,,,,,,,,
9.0,Nick Minicucci,Delaware,CUSA,8.0,208.0,327.0,63.6,2414.0,15.0,4.6,4.0,1.2,7.4,7.75,11.6,301.8,138.3,,nick,minicucci,delaware,Passing,,,,,,,,,,,,,,,
10.0,CJ Bailey,North Carolina State,ACC,9.0,203.0,287.0,70.7,2411.0,19.0,6.6,7.0,2.4,8.4,8.63,11.9,267.9,158.3,,cj,bailey,north carolina state,Passing,10825,,,,,,,,,,,,,,
11.0,Taylen Green,Arkansas,SEC,9.0,171.0,274.0,62.4,2372.0,19.0,6.9,8.0,2.9,8.7,8.73,13.9,263.6,152.2,,taylen,green,arkansas,Passing,137,,,,,,,,,,,,,,
12.0,Josh Hoover,Texas Christian,Big 12,8.0,185.0,285.0,64.9,2371.0,22.0,7.7,6.0,2.1,8.3,8.92,12.8,296.4,156.1,,josh,hoover,texas christian,Passing,513,,,,,,,,,,,,,,
13.0,Caden Veltkamp,Florida Atlantic,American,8.0,225.0,344.0,65.4,2324.0,17.0,4.9,11.0,3.2,6.8,6.31,10.3,290.5,132.1,,caden,veltkamp,florida atlantic,Passing,1972,,,,,,,,,,,,,,
14.0,Jayden Maiava,USC,Big Ten,8.0,154.0,236.0,65.3,2315.0,15.0,6.4,5.0,2.1,9.8,10.13,15.0,289.4,164.4,,jayden,maiava,southern california,Passing,556,,,,,,,,,,,,,,
15.0,Luke Altmyer,Illinois,Big Ten,9.0,180.0,257.0,70.0,2255.0,19.0,7.4,4.0,1.6,8.8,9.55,12.5,250.6,165.0,,luke,altmyer,illinois,Passing,7,,,,,,,,,,,,,,
16.0,Katin Houser,East Carolina,American,8.0,182.0,272.0,66.9,2245.0,12.0,4.4,5.0,1.8,8.3,8.31,12.3,280.6,147.1,,katin,houser,east carolina,Passing,6085,,,,,,,,,,,,,,
17.0,Colton Joseph,Old Dominion,Sun Belt,9.0,142.0,230.0,61.7,2231.0,19.0,8.3,9.0,3.9,9.7,9.59,15.7,247.9,162.7,,colton,joseph,old dominion,Passing,11641,,,,,,,,,,,,,,
18.0,Jaron-Keawe Sagapolutele,California,ACC,9.0,194.0,317.0,61.2,2195.0,11.0,3.5,9.0,2.8,6.9,6.34,11.3,243.9,125.1,,jaron-keawe,sagapolutele,california,Passing,5121,,,,,,,,,,,,,,
19.0,Julian Sayin,Ohio State,Big Ten,8.0,176.0,218.0,80.7,2188.0,23.0,10.6,3.0,1.4,10.0,11.53,12.4,273.5,197.1,,julian,sayin,ohio state,Passing,1025,,,,,,,,,,,,,,
20.0,Ty Simpson,Alabama,SEC,8.0,177.0,261.0,67.8,2184.0,20.0,7.7,1.0,0.4,8.4,9.73,12.3,273.0,162.6,,ty,simpson,alabama,Passing,632,,,,,,,,,,,,,,
21.0,Blake Shapen,Mississippi State,SEC,9.0,166.0,255.0,65.1,2148.0,15.0,5.9,6.0,2.4,8.4,8.54,12.9,238.7,150.6,,blake,shapen,mississippi state,Passing,9888,,,,,,,,,,,,,,
22.0,Fernando Mendoza,Indiana,Big Ten,9.0,162.0,224.0,72.3,2124.0,25.0,11.2,4.0,1.8,9.5,10.91,13.1,236.0,185.2,,fernando,mendoza,indiana,Passing,569,,,,,,,,,,,,,,
23.0,Micah Alejado,Hawaii,MWC,7.0,199.0,302.0,65.9,2124.0,15.0,5.0,6.0,2.0,7.0,7.13,10.7,303.4,137.4,,micah,alejado,hawaii,Passing,7158,,,,,,,,,,,,,,
24.0,Arch Manning,Texas,SEC,9.0,168.0,268.0,62.7,2123.0,18.0,6.7,6.0,2.2,7.9,8.26,12.6,235.9,146.9,,arch,manning,texas,Passing,990,,,,,,,,,,,,,,
25.0,Jaylen Raynor,Arkansas State,Sun Belt,9.0,222.0,332.0,66.9,2123.0,11.0,3.3,6.0,1.8,6.4,6.24,9.6,235.9,127.9,,jaylen,raynor,arkansas state,Passing,607,,,,,,,,,,,,,,
26.0,Rocco Becht,Iowa State,Big 12,9.0,169.0,273.0,61.9,2119.0,11.0,4.0,7.0,2.6,7.8,7.41,12.5,235.4,135.3,,rocco,becht,iowa state,Passing,424,,,,,,,,,,,,,,
27.0,Demond Williams Jr.,Washington,Big Ten,8.0,163.0,223.0,73.1,2117.0,14.0,6.3,4.0,1.8,9.5,9.94,13.0,264.6,170.0,,demond,williams,washington,Passing,1059,,,,,,,,,,,,,,
28.0,Chandler Morris,Virginia,ACC,9.0,189.0,282.0,67.0,2069.0,12.0,4.3,5.0,1.8,7.3,7.39,10.9,229.9,139.1,,chandler,morris,virginia,Passing,15386,,,,,,,,,,,,,,
29.0,Brendan Sorsby,Cincinnati,Big 12,9.0,144.0,237.0,60.8,2064.0,21.0,8.9,2.0,0.8,8.7,10.1,14.3,229.3,161.5,,brendan,sorsby,cincinnati,Passing,643,,,,,,,,,,,,,,
30.0,Diego Pavia,Vanderbilt,SEC,9.0,166.0,240.0,69.2,2063.0,18.0,7.5,5.0,2.1,8.6,9.16,12.4,229.2,162.0,,diego,pavia,vanderbilt,Passing,271,,,,,,,,,,,,,,
31.0,CJ Carr,Notre Dame,Ind,8.0,139.0,209.0,66.5,2057.0,16.0,7.7,4.0,1.9,9.8,10.51,14.8,257.1,170.6,,cj,carr,notre dame,Passing,1172,,,,,,,,,,,,,,
