Pick,Round,First Name,Last Name,Position,College,Height,Weight,Jersey,Draft Grade,Home State,Original Draft Year,Original Pick,Career Start,Career End,Pro Bowls,All-Pro,Seasons Started,Weighted AV,Hall of Fame
1.0,1.0,Patrick,Willis,MLB,Mississippi,73.0,242.0,52.0,99,"Bruceton, Tennessee",2007,11,2007.0,2014.0,7.0,5.0,7.0,93.0,True
2.0,1.0,Calvin,Johnson,WR,Georgia Tech,77.0,237.0,81.0,99,"Tyrone, Georgia",2007,2,2007.0,2015.0,6.0,3.0,9.0,78.0,True
3.0,1.0,Devin,Hester,CB,Miami (FL),71.0,190.0,23.0,99,"Riviera Beach, Florida",2006,57,2006.0,2016.0,4.0,3.0,3.0,47.0,True
4.0,1.0,Aaron,Rodgers,QB,California,74.0,223.0,12.0,99,"Chico, California",2005,24,2005.0,2025.0,10.0,4.0,15.0,166.0,False
5.0,1.0,Adrian,Peterson,HB,Oklahoma,73.0,220.0,28.0,99,"Gainesville, Florida",2007,7,2007.0,2021.0,7.0,4.0,12.0,101.0,False
6.0,1.0,Joe,Thomas,LT,Wisconsin,71.0,175.0,73.0,99,"Lafayette, Louisiana",2007,3,2007.0,2017.0,10.0,6.0,10.0,85.0,True
7.0,1.0,Nick,Mangold,C,Ohio St.,76.0,307.0,74.0,99,"Centerville, Ohio",2006,29,2006.0,2016.0,7.0,2.0,11.0,73.0,False
8.0,1.0,Drew,Brees,QB,Purdue,72.0,209.0,9.0,99,"Dallas, Texas",2001,32,2001.0,2020.0,13.0,1.0,19.0,167.0,False
9.0,1.0,Larry,Fitzgerald,WR,Pittsburgh,75.0,218.0,11.0,99,"Minneapolis, Minnesota",2004,3,2004.0,2020.0,11.0,1.0,17.0,93.0,False
10.0,1.0,Tom,Brady,QB,Michigan,76.0,225.0,12.0,99,"San Mateo, California",2000,199,2000.0,2022.0,15.0,3.0,21.0,184.0,False
11.0,1.0,Darrelle,Revis,CB,Pittsburgh,71.0,198.0,24.0,99,"Aliquippa, Pennsylvania",2007,14,2007.0,2017.0,7.0,4.0,9.0,93.0,True
12.0,1.0,Steve,Hutchinson,LG,Michigan,77.0,313.0,76.0,99,"Fort Lauderdale, Florida",2001,17,2001.0,2012.0,7.0,5.0,11.0,94.0,True
13.0,1.0,Julius,Peppers,LE,North Carolina,79.0,295.0,90.0,99,"Wilson, North",2002,2,2002.0,2018.0,9.0,3.0,16.0,130.0,True
14.0,1.0,Troy,Polamalu,CB,USC,70.0,207.0,43.0,99,"Garden Grove, California",2003,16,2003.0,2014.0,8.0,4.0,10.0,96.0,True
15.0,1.0,Richard,Seymour,LE,Georgia,78.0,317.0,93.0,99,"Gadsden, South",2001,6,2001.0,2012.0,7.0,3.0,11.0,91.0,True
16.0,1.0,Ed,Reed,CB,Miami (FL),71.0,205.0,20.0,99,"Rose, Louisiana",2002,24,2002.0,2013.0,9.0,5.0,11.0,102.0,True
17.0,1.0,Andre,Johnson,WR,Miami (FL),75.0,229.0,80.0,99,"Miami, Florida",2003,3,2003.0,2016.0,7.0,2.0,12.0,94.0,True
18.0,1.0,Brian,Urlacher,MLB,New Mexico,76.0,258.0,54.0,99,"Pasco, Washington",2000,9,2000.0,2012.0,8.0,4.0,12.0,119.0,True
19.0,1.0,DeMarcus,Ware,MLB,Troy,76.0,258.0,94.0,99,"Auburn, Alabama",2005,11,2005.0,2016.0,9.0,4.0,11.0,100.0,True
20.0,1.0,Dwight,Freeney,LE,Syracuse,73.0,268.0,93.0,99,"Hartford, Connecticut",2002,11,2002.0,2017.0,7.0,3.0,11.0,81.0,True
21.0,1.0,Jared,Allen,LE,Idaho St.,78.0,255.0,69.0,99,"Dallas, Texas",2004,126,2004.0,2015.0,5.0,4.0,12.0,101.0,True
