Pick,Round,First Name,Last Name,Position,College,Height,Weight,Jersey,Draft Grade,Home State,Recruiting Stars,Recruiting Rating,National Ranking,Class Year,Freshman Year
1.0,1.0,Bryce,Underwood,QB,Michigan,75.0,205.0,,80,MI,5.0,0.9998,1.0,1,2025.0
2.0,1.0,Keelon,Russell,QB,Alabama,75.0,175.0,,80,TX,5.0,0.9997,2.0,1,2025.0
3.0,1.0,Elijah,Griffin,DL,Georgia,77.0,300.0,,80,GA,5.0,0.9992,3.0,1,2025.0
4.0,1.0,Dakorien,Moore,WR,Oregon,71.0,182.0,,80,TX,5.0,0.9981,4.0,1,2025.0
5.0,1.0,Devin,Sanchez,CB,Ohio State,74.0,180.0,,80,TX,5.0,0.9965,8.0,1,2025.0
6.0,1.0,Michael,Fasusi,OT,Oklahoma,77.0,295.0,,80,TX,5.0,0.9977,5.0,1,2025.0
7.0,1.0,David,Sanders Jr.,OT,Tennessee,78.0,290.0,,80,NC,5.0,0.9973,6.0,1,2025.0
8.0,1.0,Tavien,St. Clair,QB,Ohio State,76.0,225.0,,80,OH,5.0,0.9968,7.0,1,2025.0
9.0,1.0,Jonah,Williams,S,Texas,75.0,203.0,,80,TX,5.0,0.9962,10.0,1,2025.0
10.0,1.0,Isaiah,Gibson,EDGE,Georgia,75.0,270.0,,80,GA,5.0,0.9962,9.0,1,2025.0
11.0,1.0,DJ,Pickett,CB,LSU,76.0,178.0,,80,FL,5.0,0.9943,11.0,1,2025.0
12.0,1.0,Justus,Terry,DL,Texas,77.0,290.0,,80,GA,5.0,0.9939,12.0,1,2025.0
13.0,1.0,Husan,Longstreet,QB,USC,73.0,195.0,,80,CA,5.0,0.9868,25.0,1,2025.0
14.0,1.0,Na'eem,Offord,CB,Oregon,73.0,185.0,,80,AL,5.0,0.9936,13.0,1,2025.0
15.0,1.0,Dijon,Lee Jr.,CB,Alabama,76.0,190.0,,80,CA,5.0,0.9926,14.0,1,2025.0
16.0,1.0,Andrew,Babalola,OT,Michigan,78.0,290.0,,80,KS,5.0,0.9914,16.0,1,2025.0
17.0,1.0,Jerome,Myles,WR,Texas A&M,75.0,215.0,,80,UT,5.0,0.9884,19.0,1,2025.0
18.0,1.0,Kaliq,Lockett,WR,Texas,74.0,175.0,,80,TX,5.0,0.9908,18.0,1,2025.0
