Team,Position,First Name,Last Name,Jersey,Height,Weight,College,Draft Year,Draft Pick,Overall,Pro Bowls,All-Pro,HOF,Status
Arizona Cardinals,QB,Patrick,Mahomes,15.0,74.0,225.0,Texas Tech,2017,10,99,6.0,2.0,False,Active
Arizona Cardinals,QB,Tom,Brady,12.0,76.0,225.0,Michigan,2000,199,99,15.0,3.0,False,Active
Arizona Cardinals,QB,Philip,Rivers,17.0,77.0,228.0,North Carolina St.,2004,4,99,8.0,0.0,False,Active
Arizona Cardinals,RB,John,Settle,,69.0,207.0,Appalachian State,1987,UD,76,1.0,,,Active
Arizona Cardinals,RB,Bobby,Humphrey,,73.0,201.0,Alabama,1989,UD,76,1.0,,,Active
Arizona Cardinals,RB,Bill,Ring,,,,Brigham Young,1980,UD,75,,,,Active
Arizona Cardinals,RB,Leon,Perry,,71.0,224.0,Ole Miss,1980,UD,75,,,,Active
Arizona Cardinals,FB,Kimble,Anders,38.0,71.0,218.0,Houston,1990,UD,76,1.0,,,Active
Arizona Cardinals,WR,Larry,Fitzgerald,11.0,75.0,218.0,Pittsburgh,2004,3,99,11.0,1.0,False,Active
Arizona Cardinals,WR,Julio,Jones,11.0,75.0,220.0,Alabama,2011,6,99,7.0,2.0,False,Active
Arizona Cardinals,WR,Antonio,Brown,84.0,70.0,185.0,Central Michigan,2010,195,99,7.0,4.0,False,Active
Arizona Cardinals,WR,Tyreek,Hill,10.0,70.0,191.0,West Alabama,2016,165,99,8.0,5.0,False,Active
Arizona Cardinals,WR,Davante,Adams,17.0,73.0,215.0,Fresno St.,2014,53,99,6.0,3.0,False,Active
Arizona Cardinals,WR,DeAndre,Hopkins,10.0,73.0,210.0,Clemson,2013,27,99,5.0,3.0,False,Active
Arizona Cardinals,TE,Rob,Gronkowski,87.0,78.0,265.0,Arizona,2010,42,99,5.0,4.0,False,Active
Arizona Cardinals,TE,Jason,Witten,82.0,78.0,263.0,Tennessee,2003,69,99,11.0,2.0,False,Active
Arizona Cardinals,TE,Travis,Kelce,87.0,77.0,250.0,Cincinnati,2013,63,99,10.0,4.0,False,Active
Arizona Cardinals,OT,Joe,Jacoby,,,,Louisville,1981,UD,76,1.0,,,Active
Arizona Cardinals,OT,Nate,Newton,,,,Florida A&M,1983,UD,76,1.0,,,Active
Arizona Cardinals,OT,Joel,Patten,,,,Duke,1980,UD,75,,,,Active
Arizona Cardinals,OG,Anthony,Oakley,68.0,76.0,298.0,Western Kentucky,2004,UD,75,,,,Active
Arizona Cardinals,C,Maurkice,Pouncey,53.0,76.0,304.0,Florida,2010,18,99,9.0,2.0,False,Active
Arizona Cardinals,C,Alex,Mack,55.0,76.0,311.0,California,2009,21,96,7.0,0.0,False,Active
Arizona Cardinals,OL,Isaiah,Williams,63.0,75.0,200.0,Akron,2016,UD,75,,,,Active
Arizona Cardinals,DE,Steve,Parker,,,,Idaho,1980,UD,75,,,,Active
Arizona Cardinals,DE,Don,Smerek,,,,Nevada,1980,UD,75,,,,Active
Arizona Cardinals,DE,Neil,Elshire,,78.0,260.0,Oregon,1981,UD,75,,,,Active
Arizona Cardinals,DE,Buddy,Moor,,,,Eastern Kentucky,1981,UD,75,,,,Active
Arizona Cardinals,DT,Aaron,Donald,99.0,73.0,280.0,Pittsburgh,2014,13,99,10.0,8.0,False,Active
Arizona Cardinals,DT,Geno,Atkins,97.0,73.0,300.0,Georgia,2010,120,99,8.0,2.0,False,Active
Arizona Cardinals,DT,Ndamukong,Suh,93.0,76.0,313.0,Nebraska,2010,2,99,5.0,3.0,False,Active
Arizona Cardinals,DT,Fletcher,Cox,91.0,76.0,310.0,Mississippi St.,2012,12,97,6.0,1.0,False,Active
Arizona Cardinals,DL,Ifeadi,Odenigbo,95.0,75.0,258.0,Northwestern,2017,220,69,0.0,0.0,False,Active
Arizona Cardinals,DL,Ricky,Elmore,,77.0,255.0,Arizona,2011,197,65,0.0,0.0,False,Active
Arizona Cardinals,DL,Greg,Romeus,,77.0,267.0,Pittsburgh,2011,226,65,0.0,0.0,False,Active
Arizona Cardinals,LB,Jim,Schwantz,,,,Purdue,1992,UD,76,1.0,,,Active
Arizona Cardinals,LB,Jessie,Tuggle,58.0,71.0,232.0,Valdosta State,1987,UD,76,1.0,,,Active
Arizona Cardinals,LB,Rufus,Porter,,73.0,236.0,Southern,1988,UD,76,1.0,,,Active
Arizona Cardinals,LB,Phil,Cancik,,,,Northern Arizona,1980,UD,75,,,,Active
Arizona Cardinals,LB,Guy,Prather,,74.0,230.0,Grambling State,1980,UD,75,,,,Active
Arizona Cardinals,LB,Rick,Dennison,,75.0,215.0,Colorado State,1980,UD,75,,,,Active
Arizona Cardinals,CB,Eric,Weddle,32.0,71.0,195.0,Utah,2007,37,99,6.0,2.0,False,Active
Arizona Cardinals,CB,Stephon,Gilmore,24.0,72.0,190.0,South Carolina,2012,10,99,5.0,2.0,False,Active
Arizona Cardinals,CB,Jalen,Ramsey,20.0,73.0,211.0,Florida St.,2016,5,99,7.0,3.0,False,Active
Arizona Cardinals,CB,Richard,Sherman,25.0,75.0,195.0,Stanford,2011,154,99,5.0,3.0,False,Active
Arizona Cardinals,CB,Patrick,Peterson,21.0,73.0,203.0,LSU,2011,5,99,8.0,3.0,False,Active
Arizona Cardinals,S,Deron,Cherry,,71.0,185.0,Rutgers,1981,UD,76,1.0,,,Active
