Last Name,First Name,College/Univ,Round,Pick,Draft Class,Position,PhotoID,Player Assets ID,CommID,PresID,PLPO,Height,Weight,From,To,AP1,PB,St,wAV,League,Race,Hometown,Home State,Wiki_Image_URL,PFR_Image_URL,isHOF
Chavers,Narvel,Jackson St.,8,185,1970,RB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Cheek,Richard,Auburn,8,186,1970,G,,,,,,75.0,266.0,1970.0,1970.0,0.0,0.0,1.0,4.0,NFL,,,"Panama City, Florida",,,False
Porter,Jack,Oklahoma,8,187,1970,C,,,,,,,,1970.0,1971.0,0.0,0.0,0.0,1.0,NFL,,,,,,False
Trout,Bill,Miami (FL),8,188,1970,DT,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Banks,Tom,Auburn,8,189,1970,C,,,,,,73.0,245.0,1970.0,1980.0,1.0,4.0,8.0,56.0,NFL,,,"Birmingham, Alabama",,,False
Burrough,Ken,Texas Southern,1,10,1970,WR,,,,,,75.0,215.0,1970.0,1981.0,0.0,2.0,9.0,66.0,NFL,,,"Jacksonville, Florida",,,False
Anderson,Bobby,Colorado,1,11,1970,RB,,,,,,72.0,208.0,1970.0,1975.0,0.0,0.0,2.0,20.0,NFL,,,"Midland, Michigan",,,False
Small,John,The Citadel,1,12,1970,DT,,,,,,76.0,269.0,1970.0,1974.0,0.0,0.0,1.0,12.0,NFL,,,"Lumberton, North",,,False
Slade,Gordon,Davidson,7,174,1970,QB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,https://upload.wikimedia.org/wikipedia/commons/c/c1/1928_Zeenut_Gordon_Slade.jpg,,False
Geddes,Ken,Nebraska,7,175,1970,LB,,,,,,75.0,235.0,1970.0,1978.0,0.0,0.0,5.0,36.0,NFL,,,"Jacksonville, Florida",https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,,False
Wycinsky,Craig,Michigan St.,7,177,1970,G,,,,,,75.0,243.0,1970.0,1972.0,0.0,0.0,0.0,3.0,NFL,,,"Detroit, Michigan",https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,,False
Abbey,Don,Penn St.,7,179,1970,LB,,,,,,75.0,241.0,1970.0,,0.0,0.0,0.0,,NFL,,,"South Hadley, Massachusetts",,,False
Svitak,Steve,Boise St.,7,180,1970,LB,,,,,,73.0,232.0,1970.0,,0.0,0.0,0.0,,NFL,,,"Oakland, California",,,False
Farber,Hap,Mississippi,7,181,1970,LB,,,,,,73.0,220.0,1970.0,1970.0,0.0,0.0,0.0,4.0,NFL,,,"Norfolk, Virginia",,,False
Glosson,Clyde,Texas-El Paso,7,182,1970,WR,,,,,,71.0,175.0,1970.0,1970.0,0.0,0.0,0.0,0.0,NFL,,,"San Antonio, Texas",https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,,False
Stephenson,Dana,Nebraska,8,183,1970,DB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Strong,Jim,Houston,7,165,1970,RB,,,,,,73.0,215.0,1970.0,1972.0,0.0,0.0,1.0,7.0,NFL,,,"San Antonio, Texas",https://upload.wikimedia.org/wikipedia/en/4/40/Jim_Strong_%28running_back%29.JPG,,False
Woodard,Lon,San Diego St.,7,166,1970,DE,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Montgomery,Randy,Weber St.,7,167,1970,DB,,,,,,71.0,182.0,1970.0,1974.0,0.0,0.0,1.0,9.0,NFL,,,"Houston, Texas",,,False
Orcutt,Gary,USC,7,169,1970,WR,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Olson,Charley,,7,170,1970,DB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Fabish,Jim,Texas-El Paso,7,171,1970,DB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Walker,Cleo,Louisville,7,172,1970,LB,,,,,,75.0,219.0,1970.0,1971.0,0.0,0.0,0.0,6.0,NFL,,,"Columbus, Georgia",https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,,False
Merritt,Roland,Maryland,7,173,1970,WR,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Arthur,Gary,Miami (OH),5,124,1970,TE,,,,,,77.0,250.0,1970.0,1971.0,0.0,0.0,0.0,0.0,NFL,,,"Dayton, Ohio",,,False
Engel,Steve,Colorado,5,125,1970,RB,,,,,,73.0,218.0,1970.0,1970.0,0.0,0.0,0.0,0.0,NFL,,,"Englewood, Colorado",,,False
Ramsey,Steve,North Texas,5,126,1970,QB,,,,,,74.0,210.0,1970.0,1976.0,0.0,0.0,2.0,23.0,NFL,,,"Dallas, Texas",,,False
