Last Name,First Name,College/Univ,Round,Pick,Draft Class,Position,Jersey,PhotoID,Player Assets ID,CommID,PLPO,Height,Weight,From,To,AP1,PB,St,wAV,League,Race,Home State,Wiki_Image_URL,PFR_Image_URL,isHOF
Berwanger,Jay,Chicago,1,1,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Smith,Riley,Alabama,1,2,1936,FB,,,,,,,,1936,1938,0,0,1,0,NFL,,,,,FALSE
Shakespeare,Bill,Notre Dame,1,3,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Crayne,Dick,Iowa,1,4,1936,FB,,,,,,,,1936,1937,0,0,1,0,NFL,,,,,FALSE
Lawrence,Jimmy,TCU,1,5,1936,HB,,,,,,,,1936,1939,0,1,1,0,NFL,,,,,FALSE
Stydahar,Joe,West Virginia,1,6,1936,LT,,,,,,,,1936,1946,4,4,5,0,NFL,,,,,TRUE
Letlow,Russ,San Francisco,1,7,1936,LG,,,,,,,,1936,1946,0,2,4,0,NFL,,,,,FALSE
Wagner,Sid,Michigan St.,1,8,1936,LG,,,,,,,,1936,1938,0,0,2,0,NFL,,,,,FALSE
Lewis,Art,Ohio,1,9,1936,LT,,,,,,,,1936,1939,0,0,1,0,NFL,,,,,FALSE
McCauley,John,Rice,2,10,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Topping,Keith,Stanford,2,11,1936,TE,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Barnum,Len,West Virginia Wesleyan,2,12,1936,HB,,,,,,,,1936,1942,0,0,2,0,NFL,,,,,FALSE
LeVoir,Vernal (Babe),Minnesota,2,13,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Michaels,Eddie,Villanova,2,14,1936,LG,,,,,,,,1936,1946,0,0,4,0,NFL,,,,,FALSE
Jones,Gomer,Ohio St.,2,15,1936,C,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Wheeler,J.W.,Oklahoma,2,16,1936,LT,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Cheshire,Chuck,UCLA,2,17,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Leemans,Tuffy,George Washington,2,18,1936,FB,,,,,,,,1936,1943,1,2,8,0,NFL,,,,,TRUE
Muller,Wes,Stanford,3,19,1936,C,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Smith,Ed,NYU,3,20,1936,FB,,,,,,74,216,1936,1937,0,0,1,0,NFL,,"Chattanooga, Tennessee",,,FALSE
Grayson,Bobby,Stanford,3,21,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Jorgensen,Wagner,St. Mary's (CA),3,22,1936,C,,,,,,,,1936,1937,0,0,1,0,NFL,,,,,FALSE
Erdelatz,Eddie,,3,23,1936,TE,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Roscoe,George,Minnesota,3,24,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Scherer,Bernie,Nebraska,3,25,1936,TE,,,,,,,,1936,1939,0,0,0,0,NFL,,,,,FALSE
Pilney,Andy,Notre Dame,3,26,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Loebs,Frank (Butch),Purdue,3,27,1936,TE,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Wallace,Bill,Rice,4,28,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Tangora,Paul,Northwestern,4,29,1936,LG,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Spain,Truman,SMU,4,30,1936,LT,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Bryant,Paul (Bear),Alabama,4,31,1936,TE,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Allman,Bob,Michigan St.,4,32,1936,TE,,,,,,,,1936,1936,0,0,0,0,NFL,,,,,FALSE
Brett,Jeep,Washington St.,4,33,1936,TE,,,,,,,,1936,1937,0,0,1,0,NFL,,,,,FALSE
Ward,Theron,Idaho,4,34,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Beise,Sheldon,Minnesota,4,35,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Rose,Gene,Tennessee,4,36,1936,TE,,,,,,,,1936,1936,0,0,0,0,NFL,,,,,FALSE
Shuford,Harry,SMU,5,37,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Groseclose,Wilson,TCU,5,38,1936,LT,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Sandefur,Dick,Purdue,5,39,1936,FB,,,,,,,,1936,1937,0,0,0,0,NFL,,,,,FALSE
Wilson,Bobby,SMU,5,40,1936,HB,,,,,,74,297,1936,1936,0,0,1,0,NFL,,"Chicago, Illinois",,,FALSE
Riordan,Stan,Oregon,5,41,1936,TE,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Oech,Verne,Minnesota,5,42,1936,LG,,,,,,,,1936,1937,0,0,0,0,NFL,,,,,FALSE
Lester,Darrell,TCU,5,43,1936,C,,,,,,,,1936,1938,0,0,0,0,NFL,,,,,FALSE
Francis,Kavanaugh,Alabama,5,44,1936,C,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Jontos,Ed,Syracuse,5,45,1936,LG,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Barabas,Al,Columbia,6,46,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Lutz,Larry,California,6,47,1936,LT,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Orr,Maurice,SMU,6,48,1936,LT,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Maniaci,Joe,Fordham,6,49,1936,HB,,,,,,,,1936,1941,0,2,2,0,NFL,,,,,FALSE
Christofferson,Ted,Washington St.,6,50,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Antonini,Ettore,Indiana,6,51,1936,TE,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Reynolds,Bob,Stanford,6,52,1936,LT,,,,,,,,1936,1938,0,0,2,0,NFL,,,,,FALSE
Mickal,Abe,LSU,6,53,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Durner,Gus,Duke,6,54,1936,LT,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Weller,Jack,Princeton,7,55,1936,LG,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Irwin,Don,Colgate,7,56,1936,FB,,,,,,,,1936,1939,0,0,1,0,NFL,,,,,FALSE
Peters,Marty,Notre Dame,7,57,1936,TE,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Schreiber,Herb,,7,58,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Dennis,Tack,Tulsa,7,59,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Smith,Dick,Minnesota,7,60,1936,LT,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Fromhart,Wally,Notre Dame,7,61,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Wasicek,Charlie,Colgate,7,62,1936,LT,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Peeples,Bob,Marquette,7,63,1936,LT,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Constable,Pepper,Princeton,8,64,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Millner,Wayne,Notre Dame,8,65,1936,TE,,,,,,,,1936,1945,0,0,5,0,NFL,,,,,TRUE
Karpowich,Ed,Catholic,8,66,1936,LT,,,,,,,,1936,1940,0,0,0,0,NFL,,,,,FALSE
Hamilton,Bob (Bones),Stanford,8,67,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Sylvester,John,Rice,8,68,1936,TE,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Carter,Ross,Oregon,8,69,1936,LG,,,,,,,,1936,1939,0,0,3,0,NFL,,,,,FALSE
Cruice,Wally,Northwestern,8,70,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Rennebohm,Dale,Minnesota,8,71,1936,C,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Heekin,Dick,Ohio St.,8,72,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Pauk,Paul,Princeton,9,73,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Saunders,Marcel,Loyola Marymount,9,74,1936,LG,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Meglen,Joe,,9,75,1936,HB,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Moscrip,Monk,Stanford,9,76,1936,TE,,,,,,,,1936,1939,0,0,2,0,NFL,,,,,FALSE
Larsen,Niels,Stanford,9,77,1936,LT,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Fortmann,Danny,Colgate,9,78,1936,LG,,,,,,,,1936,1943,6,3,8,0,NFL,,,,,TRUE
Wetsel,J.C.,SMU,9,79,1936,LG,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Train,Bob (Choo-Choo),Yale,9,80,1936,TE,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Flanagan,Phil,Holy Cross,9,81,1936,LG,,,,,,,,1936,,0,0,0,,NFL,,,,,FALSE
Nolting,Ray,Cincinnati,UD,UD,1936,HB,,,,,,,,1936,,,,,,,,,,,FALSE
Smukler,David,Temple,UD,UD,1936,FB,,,,,,,,1936,,,,,,,,,,,FALSE
Francis,Sam,Nebraska,1,1,1937,FB,,,,,,,,1937,1940,0,0,0,0,NFL,,,,,FALSE
Goddard,Ed,Washington St.,1,2,1937,HB,,,,,,,,1937,1938,0,1,0,0,NFL,,,,,FALSE
Buivid,Ray,Marquette,1,3,1937,HB,,,,,,,,1937,1938,0,0,0,0,NFL,,,,,FALSE
Widseth,Ed,Minnesota,1,4,1937,LT,,,,,,,,1937,1940,1,1,1,0,NFL,,,,,FALSE
Basrak,Mike,Duquesne,1,5,1937,C,,,,,,,,1937,1938,1,0,2,0,NFL,,,,,FALSE
Baugh,Sammy,TCU,1,6,1937,QB,,6306,baughSammy,12192,plpo_legends_Baugh_Sammy,,,1937,1952,4,6,13,0,NFL,1,,,,TRUE
Cardwell,Lloyd,Nebraska,1,7,1937,HB,,,,,,,,1937,1943,0,1,3,0,NFL,,,,,FALSE
McDonald,Les,Nebraska,1,8,1937,TE,,,,,,,,1937,1940,0,0,2,0,NFL,,,,,FALSE
