Last Name,First Name,College/Univ,Round,Pick,Draft Class,Position,PhotoID,Player Assets ID,CommID,PLPO,Height,Weight,From,To,AP1,PB,St,wAV,League,Race,Home State,Wiki_Image_URL,PFR_Image_URL,isHOF
Berwanger,Jay,Chicago,1,1,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Smith,Riley,Alabama,1,2,1936,FB,,,,,,,1936.0,1938.0,0.0,0.0,1.0,0.0,NFL,,,,,False
Shakespeare,Bill,Notre Dame,1,3,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Crayne,Dick,Iowa,1,4,1936,FB,,,,,,,1936.0,1937.0,0.0,0.0,1.0,0.0,NFL,,,,,False
Lawrence,Jimmy,TCU,1,5,1936,HB,,,,,,,1936.0,1939.0,0.0,1.0,1.0,0.0,NFL,,,,,False
Stydahar,Joe,West Virginia,1,6,1936,LT,,,,,,,1936.0,1946.0,4.0,4.0,5.0,0.0,NFL,,,,,True
Letlow,Russ,San Francisco,1,7,1936,LG,,,,,,,1936.0,1946.0,0.0,2.0,4.0,0.0,NFL,,,,,False
Wagner,Sid,Michigan St.,1,8,1936,LG,,,,,,,1936.0,1938.0,0.0,0.0,2.0,0.0,NFL,,,,,False
Lewis,Art,Ohio,1,9,1936,LT,,,,,,,1936.0,1939.0,0.0,0.0,1.0,0.0,NFL,,,,,False
McCauley,John,Rice,2,10,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Topping,Keith,Stanford,2,11,1936,TE,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Barnum,Len,West Virginia Wesleyan,2,12,1936,HB,,,,,,,1936.0,1942.0,0.0,0.0,2.0,0.0,NFL,,,,,False
LeVoir,Vernal (Babe),Minnesota,2,13,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Michaels,Eddie,Villanova,2,14,1936,LG,,,,,,,1936.0,1946.0,0.0,0.0,4.0,0.0,NFL,,,,,False
Jones,Gomer,Ohio St.,2,15,1936,C,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Wheeler,J.W.,Oklahoma,2,16,1936,LT,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Cheshire,Chuck,UCLA,2,17,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Leemans,Tuffy,George Washington,2,18,1936,FB,,,,,,,1936.0,1943.0,1.0,2.0,8.0,0.0,NFL,,,,,True
Muller,Wes,Stanford,3,19,1936,C,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Smith,Ed,NYU,3,20,1936,FB,,,,,6-2,216.0,1936.0,1937.0,0.0,0.0,1.0,0.0,NFL,,"Chattanooga, Tennessee",,,False
Grayson,Bobby,Stanford,3,21,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Jorgensen,Wagner,St. Mary's (CA),3,22,1936,C,,,,,,,1936.0,1937.0,0.0,0.0,1.0,0.0,NFL,,,,,False
Erdelatz,Eddie,,3,23,1936,TE,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Roscoe,George,Minnesota,3,24,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Scherer,Bernie,Nebraska,3,25,1936,TE,,,,,,,1936.0,1939.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Pilney,Andy,Notre Dame,3,26,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Loebs,Frank (Butch),Purdue,3,27,1936,TE,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Wallace,Bill,Rice,4,28,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Tangora,Paul,Northwestern,4,29,1936,LG,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Spain,Truman,SMU,4,30,1936,LT,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Bryant,Paul (Bear),Alabama,4,31,1936,TE,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Allman,Bob,Michigan St.,4,32,1936,TE,,,,,,,1936.0,1936.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Brett,Jeep,Washington St.,4,33,1936,TE,,,,,,,1936.0,1937.0,0.0,0.0,1.0,0.0,NFL,,,,,False
Ward,Theron,Idaho,4,34,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Beise,Sheldon,Minnesota,4,35,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Rose,Gene,Tennessee,4,36,1936,TE,,,,,,,1936.0,1936.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Shuford,Harry,SMU,5,37,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Groseclose,Wilson,TCU,5,38,1936,LT,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Sandefur,Dick,Purdue,5,39,1936,FB,,,,,,,1936.0,1937.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Wilson,Bobby,SMU,5,40,1936,HB,,,,,6-2,297.0,1936.0,1936.0,0.0,0.0,1.0,0.0,NFL,,"Chicago, Illinois",,,False
Riordan,Stan,Oregon,5,41,1936,TE,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Oech,Verne,Minnesota,5,42,1936,LG,,,,,,,1936.0,1937.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Lester,Darrell,TCU,5,43,1936,C,,,,,,,1936.0,1938.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Francis,Kavanaugh,Alabama,5,44,1936,C,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
