last_name,first_name,team,position,jersey,year,freshman_year,possible_draft_year,height_inches,weight,recruiting_year,recruiting_stars,recruiting_rating,national_ranking,home_city,home_state,home_country,season_year,player_id
Brown,Ben,Ole Miss,OL,55.0,3,,,77.0,315.0,,,,,Vicksburg,MS,USA,2020,32312
Rogers,Will,Mississippi State,QB,7.0,4,,,74.0,216.0,,,,,Brandon,MS,USA,2020,102597
Sanders,Trey,Alabama,RB,2.0,4,,,72.0,215.0,,,,,Port Saint Joe,FL,USA,2020,107494
Duncan,Matt,Temple,QB,,1,,,73.0,213.0,,,,,Summerville,SC,USA,2020,385291
McNeil,Patrick,Middle Tennessee,OL,78.0,3,,,73.0,320.0,,,,,Mobile,AL,USA,2020,501592
Davis,Aaron,Navy,LB,58.0,3,,,74.0,215.0,,,,,Upper Marlboro,MD,USA,2020,516230
DeLuca,Greg,Northern Illinois,RB,42.0,4,,,74.0,214.0,,,,,Boonton Township,NJ,USA,2020,517461
Brown,Randall,Coastal Carolina,RB,17.0,3,,,69.0,180.0,,,,,Lugoff,SC,USA,2020,533859
Smith,Ryan,Duke,LB,40.0,1,,,74.0,210.0,,,,,Las Vegas,NV,USA,2020,548077
Brown,Jordan,Fresno State,WR,81.0,4,,,69.0,177.0,,,,,Bellflower,CA,USA,2020,550577
Von Rosenberg,Zach,LSU,P,38.0,4,,,77.0,245.0,,,,,Zachary,LA,USA,2020,2561489
Fair,Tony,UAB,DL,90.0,4,,,75.0,335.0,,,,,South Bend,IN,USA,2020,3118460
Banks,Joey,Buffalo,S,9.0,4,,,70.0,200.0,,,,,Sacramento,CA,USA,2020,3120945
Neuville,Zander,Wisconsin,TE,85.0,4,,,77.0,252.0,,,,,Waupaca,WI,USA,2020,3121556
Reed,Justus,Virginia Tech,DL,9.0,4,,,75.0,255.0,,,,,Clearwater ,FL,USA,2020,3121655
Gubrud,Gage,Washington State,QB,4.0,4,,,74.0,208.0,,,,,Mcminnville,OR,USA,2020,3122176
Wade,Darius,Bowling Green,QB,6.0,4,,,73.0,225.0,,,,,Middletown,DE,USA,2020,3122790
Thomson,Kevin,Washington,QB,7.0,4,,,73.0,200.0,,,,,Dallas,TX,USA,2020,3125336
Walderzak,Clay,Central Michigan,OL,78.0,4,,,76.0,279.0,,,,,Standish,MI,USA,2020,3125803
Williams,LaMone,Oregon State,DL,96.0,4,,,75.0,277.0,,,,,Kahuku,HI,USA,2020,3127343
Jones,Chris,Florida Atlantic,LB,49.0,1,,,76.0,215.0,,,,,Pompano Beach,FL,USA,2020,3128870
Konowalski,David,Bowling Green,DL,8.0,4,,,75.0,242.0,,,,,Milwaukee,WI,USA,2020,3129436
Fonua,Kavika,BYU,LB,34.0,4,,,72.0,205.0,,,,,Syracuse,UT,USA,2020,3138827
El-Bakri,Bracken,BYU,DL,93.0,4,,,75.0,286.0,,,,,Cottonwood Heights,UT,USA,2020,3138841
Kapisi,Jared,BYU,DB,43.0,4,,,72.0,195.0,,,,,Maui,HI,USA,2020,3672814
Patchan,Scott,Colorado State,DL,1.0,4,,,78.0,255.0,,,,,Bradenton,FL,USA,2020,3672865
Tice,Ryan,Central Michigan,PK,12.0,4,,,73.0,170.0,,,,,Saline,MI,USA,2020,3672882
Cote,Cade,Arizona State,OL,72.0,4,,,75.0,280.0,,,,,Gilbert,AZ,USA,2020,3675273
Robertson,Zach,Louisiana,OL,51.0,4,,,77.0,297.0,,,,,Bellflower,CA,USA,2020,3675928
