Last Name,First Name,PAM,PID
Allen,Dennis,AllenDennis,
Allen,Paul,,127
Arians,Bruce,AriansBruce,
Benson,Gayle,,126
Bidwill,Bill,,106
Blank,,,101
Blank,Authur,,113
Bowlen,Pat,,103
Bowles,Todd,bowlestodd,5
Caldwell,Jim,CaldwellJim,
Callahan,Brian,callahanbrian_c_pro,30
Cam,Weber,,149
Campbell,Dan,campbelldan_c_pro,18
Canales,Dave,canalesdave,20
Carroll,Pete,carrolpete_c_pro,37
Chudzinski,Rob,chidzinskiRob,
Coen,Liam,coenlian_c_pro,33
Coughlin,Tom,CoughlinTom,
Cohwer,BIll,cowherBill,50
Culley,David,culleydavid,
Daboll,Brian,dabollBrian,15
Eberflus,Matt,eberflusMatt,0
Fangio,Vic,FangioVic_C_PRO,
Flores,Brian,FLoresBrian_C_PRO,
Gaffney,Peter,,3
Gannon,Jonathan,gannonJonathan,6
Glazer,Joe,,105
Glenn,Aaron,glennAaron_C_PRO,34
Gruden,Jon,GrudenJon_C_PRO,
Hackett,Nathaniel,hackettNathaniel,
Harbaugh,Jim,HarbaughJim_C_PRO,7
Harbaugh,John,HarbaughJohn,24
Hunt,Clark,,108
Irsay,Jim,,109
Johnson,Ben,JohnsonBen_C_PRO,35
Johnson,Jimmy,,92
Jones,Jerry,,110
Judge,Joe,JudgeJoe,
Kingsbury,Kliff,KingsburyKliff_C_PRO,
Khan,Shahid,,116
Kraft,Robert,,121
LaFleur,Matt,LaFleurMatt_C_PRO,19
Lombardi,Vince,LombardiVince,
Lurie,Jeff,,112
Macdonald,Mike,MacdonaldMike_C_PRO,27
Madden,John,maddenjohn,44
McCarthy,Mike,mcCarthyMike,10
McCaskey,Virgina,,100
McDaniel,Mike,mcDanielMike,11
McDaniels,Josh,McDanielsJosh,
McDermott,Sean,mcDermottSean_C_PRO,2
McNair,Robert,,131
McVay,Sean,mcVaySean_C_PRO,23
meyer,Urban,meyerUrban,
Moore,Kellen,MooreKellen_C_PRO,26
Morris,Raheem,MorrisRaheem_C_PRO,13
Murphy,Mark,,119
Nagy,Matt,NagyMatt,
O'Connell,Kevin,OConnellKevin,31
Payton,Sean,paytonSean,
Pegula,Terry,,102
Pederson,Doug,pedersonDoug,
Pierce,Antonio,pierceAntonio_C_PRO,
Quinn,Dan,QuinnDan,25
Reich,Frank,ReichFrank,
Reid,Andy,ReidAndy,8
Rhule,Matt,RhuleMatt,
Rivera,Ron,RiveraRon,
Rooney,Art,,128
Ross,Stephen,,111
Ryans,Demeco,ryansDemeco,29
Saleh,Robert,salehRobert,
Schottenheimer,Brian,schottenheimerBrian_C_PRO,36
Shanahan,Kyle,ShanahanKyle,14
Sirianni,Nick,sirianniNick,12
Smith,Arthur,smithArthur,
Smith,Lovie,smithLovie,
Staley,Brandon,staleyBrandon,
Spanos,Dean,,107
Stefanski,Kevin,StefanskiKevin,4
Steichen,Shane,steichenShane_C_PRO,9
Strunk,Amy,,129
Taylor,Zac,TaylorZac_C_PRO,1
Tisch,Steve,,115
Tomlin,Mike,tomlinMike_C_PRO,28
Ulbrich,Jeff,UlbrichJeff,32
Vrabel,Mike,VrbelMike,38
Wright,Jonathan,wrightJonathan,
York,Jed,,114
Zimmer,Mike,ZimmerMike,
