Last Name,First Name,College,Rank,Draft Class,Position,Jersey,Height,Weight,Class,wAV,Hometown,Homestate,Race,Photo
Abney II,Keith,Arizona State,60,2026,CB,,,,,,,,,
Abor,Omari,SMU,667,2026,EDGE,30,75,258,,,Duncanville,TX,,
Acheampong,Collins,Bowling Green,443,2026,EDGE,11,79,270,,,Cape Coast,Ghana,,
Adams,Tyree,LSU,452,2026,OT,71,79,310,,,Marrero,LA,,
Adebawore,Adepoju,Oklahoma,355,2026,EDGE,34,76,261,,,Kansas City,MO,,
Adeleye,Tunmise,UNLV,740,2026,DL,30,76,275,,,Katy,TX,,
Agu,Darren,New Mexico,710,2026,EDGE,10,78,244,,,London,,,
Aguero,Joenel,Georgia,410,2026,S,8,71,205,,,Lynn,MA,,
Aigbedion,Omar,Baylor,242,2026,IOL,68,75,310,,,Katy,TX,,
Akana,Tausili,BYU,421,2026,LB,13,75,235,,,Laie,HI,,
Alexander,Bear,Oregon,173,2026,DL,1,75,302,,,Terrell,TX,,
Alexander,Sedrick,Vanderbilt,568,2026,RB,28,69,200,,,Austin,TX,,
Alexander,Jeremiah,Clemson,593,2026,EDGE,35,74,230,,,Alabaster,AL,,
Alford,Xavion,Arizona State,862,2026,S,2,72,200,,,Pearland,TX,,
Alinen,Olaus,Alabama,485,2026,OT,73,78,322,,,Pori,Finland,,
Allar,Drew,Penn State,58,2026,QB,15,77,235,,20,Medina,OH,,
Allen,C.J.,Georgia,31,2026,LB,3,73,235,,,Barnesville,GA,,
Allen,Kaytron,Penn State,150,2026,RB,13,71,217,,56,Norfolk,VA,,
Allen,Marcus,North Carolina,700,2026,CB,29,74,190,,,Marietta,,,
Allen,Cyrus,Cincinnati,841,2026,WR,4,71,180,,,New Orleans,LA,,
Alliegro,Christian,Wisconsin,673,2026,LB,,76,245,,,Darien,CT,,
Altmyer,Luke,Illinois,788,2026,QB,9,74,205,,,Starkville,,,
Andersen,Teague,NC State,253,2026,IOL,54,77,319,,,Lehi,UT,,
Anderson,Aaron,LSU,128,2026,WR,1,68,188,,,New Orleans,LA,,
Anderson,Nic,LSU,176,2026,WR,4,76,208,,,Katy,TX,,
Anderson,Bryce,Texas A&M,244,2026,S,1,70,186,,,Beaumont,TX,,
Anderson,Markee,South Carolina,454,2026,IOL,58,76,326,,,Roebuck,SC,,
Anderson,Jarra,Arizona,550,2026,DL,93,74,270,,,Katy,TX,,
Anderson,Raheem,Western Michigan,800,2026,IOL,62,74,321,,,Detroit,MI,,
Anthony,Andrel,Duke,802,2026,WR,1,73,186,,,Lansing,,,
Anthony II,Vinny,Wisconsin,168,2026,WR,,,,,,,,,
Anthony Jr.,Vincent,Duke,162,2026,EDGE,,,,,,,,,
Arkin,Tanner,Illinois,243,2026,TE,85,76,265,,,Fort Collins,,,
Armella,Julian,UCLA,602,2026,IOL,74,78,320,,,Miami,FL,,
Arnold,Jackson,Auburn,332,2026,QB,11,73,219,,,Denton,TX,,
Atkinson,Beau,Ohio State,854,2026,EDGE,14,78,258,,,Raleigh,NC,,
Auburn,Bert,Miami (FL),856,2026,K,,,,,,,,,
Ausberry,Jaiden,Notre Dame,376,2026,LB,4,74,228,,,Baton Rouge,LA,,
Austin,Daylen,Oregon,444,2026,CB,,73,199,,,Long Beach,CA,,
Aybar,Wilfredo,Stanford,769,2026,EDGE,14,74,260,,,Fall River,MA,,
Azzopardi,Drew,Washington,279,2026,OT,74,79,315,,,Pacifica,CA,,
Babalade,Tree,South Carolina,438,2026,OT,51,77,330,,,Hyattsville,,,
Baer,Ryan,Pittsburgh,231,2026,IOL,70,79,325,,,Eastlake,OH,,
Bailey,David,Texas Tech,24,2026,EDGE,31,75,250,,,Irvine,CA,,
Bailey,Matthew,Illinois,896,2026,S,7,74,215,,,Moline,IL,,
Bain Jr.,Rueben,Miami (FL),2,2026,EDGE,,,,,60,,,,
Baker,Tosh,Notre Dame,867,2026,OT,79,80,320,,,Scottsdale,AZ,,
Ball,Cameron,Arkansas,715,2026,DL,5,77,326,,,Atlanta,GA,,
Ballard,Jayden,Wisconsin,761,2026,WR,4,74,205,,12,Massillon,,,
Banks,Caleb,Florida,27,2026,DL,88,78,330,,,Southfield,MI,,
Banks,Shadrach,UTSA,749,2026,LB,17,73,230,,,Houston,TX,,
Barber,Austin,Florida,61,2026,OT,58,78,314,,,Jacksonville,FL,,
Barham,Jaishawn,Michigan,66,2026,LB,1,75,243,,,District Heights,MD,,
Barnes,Khalil,Clemson,368,2026,S,7,72,200,,,Athens,GA,,
Barnes,Kyron,Nicholls,686,2026,OT,,,,,,,,,
Barnett,Caden,Wyoming,166,2026,OT,72,77,320,,,Justin,TX,,
Barton,Lander,Utah,133,2026,LB,8,77,236,,,Cottonwood Heights,UT,,
Bass,Jordan,Virginia Tech,426,2026,LB,6,75,205,,,Hampton,VA,,
Baxter,C.J.,Texas,196,2026,RB,,,,,,,,,
Baynes,Kobe,Kansas,209,2026,IOL,70,76,315,,,Jacksonville,FL,,
Becher,Liam,North Dakota,308,2026,IOL,67,79,320,,,Iowa City,IA,,
Becht,Rocco,Iowa State,346,2026,QB,3,73,210,,,Zephyrhills,FL,,
Beck,Carson,Miami (FL),117,2026,QB,,,,,50,,,,
Bedford,Matthew,Oregon,924,2026,OT,77,78,305,,,Cordova,TN,,
Bell,Chris,Louisville,41,2026,WR,,74,220,,,Yazoo City,MS,,
Bell,Skyler,UConn,318,2026,WR,1,72,185,,55,Bronx,NY,,
Bell,Dillon,Georgia,433,2026,WR,86,73,210,,,Houston,TX,,
Bennett,Braydon,Virginia Tech,910,2026,RB,24,73,205,,,Greenville,SC,,
Benny,Rayshaun,Michigan,134,2026,DL,26,76,305,,,Detroit,MI,,
Benson,Malik,Oregon,792,2026,WR,4,73,195,,,Lansing,,,
Benzschawel,J.P.,Wisconsin,768,2026,IOL,,,,,,,,,
Berger,Jalen,UCLA,906,2026,RB,,73,215,,,Newark,NJ,,
Bernard,Germie,Alabama,72,2026,WR,5,73,204,,,Henderson,NV,,
Berry,Zeke,Michigan,221,2026,S,10,71,196,,,Pittsburg,CA,,
Birchmeier,Alex,Penn State,407,2026,IOL,63,77,313,,,Ashburn,VA,,
Bisontis,Chase,Texas A&M,116,2026,IOL,71,77,315,,,Ramsey,NJ,,
Bissainthe,Wesley,Miami (FL),657,2026,LB,,,,,,,,,
Blay,David,Miami (FL),851,2026,DL,,,,,,,,,
Bock II,John,Tulane,713,2026,IOL,51,75,288,,,Fort Lauderdale,FL,,
Boettcher,Bryce,Oregon,364,2026,LB,28,74,232,,,Eugene,OR,,
