Last Name,First Name,College,Rank,Draft Class,Position,Jersey,Height,Weight,Class,wAV,Hometown,Homestate,Race,Photo,Archetype,Archetype_Detailed
Perkins,Harold,LSU,59.0,2026.0,LB,7.0,73.0,222.0,Sr.,70.0,Cypress,TX,,,Run Stopper,MLB Run Stopper
King,Haynes,Georgia Tech,876.0,2026.0,QB,10.0,75.0,215.0,Sr.,59.0,Longview,TX,,,Improviser,QB Improviser
Allen,Kaytron,Penn State,150.0,2026.0,RB,13.0,71.0,217.0,Sr.,56.0,Norfolk,VA,,,Elusive Back,HB Elusive Back
Bell,Skyler,UConn,318.0,2026.0,WR,1.0,72.0,185.0,Sr.,55.0,Bronx,NY,,,Slot,WR Shifty Route Runner
Delp,Oscar,Georgia,107.0,2026.0,TE,4.0,77.0,245.0,Sr.,55.0,Cumming,GA,,,Vertical Threat,TE Vertical Threat
Chambliss,Trinidad,Mississippi,146.0,2026.0,QB,6.0,73.0,200.0,Sr.,55.0,Grand Rapids,,,,Improviser,QB Improviser
Styles,Sonny,Ohio State,29.0,2026.0,LB,6.0,76.0,243.0,Sr.,50.0,Pickerington,OH,,,Run Stopper,MLB Run Stopper
Beck,Carson,Miami (FL),117.0,2026.0,QB,11.0,76.0,220.0,Sr.,50.0,Jacksonville,,,,Improviser,QB Improviser
Jackson,Kenyatta,Ohio State,149.0,2026.0,EDGE,97.0,78.0,265.0,Sr.,49.0,Hollywood,FL,,,,
Klubnik,Cade,Clemson,48.0,2026.0,QB,2.0,74.0,210.0,Sr.,45.0,Austin,TX,,,Improviser,QB Improviser
Igbinosun,Davison,Ohio State,76.0,2026.0,CB,1.0,74.0,195.0,Sr.,44.0,Union,NJ,,,Man To Man,CB Man-to-Man
Nussmeier,Garrett,LSU,16.0,2026.0,QB,18.0,73.0,205.0,Sr.,40.0,Lake Charles,LA,,,Improviser,QB Improviser
Powell,Mani,Purdue,930.0,2026.0,SAM,7.0,75.0,245.0,Sr.,40.0,Canton,OH,,,,
Trigg,Michael,Baylor,155.0,2026.0,TE,1.0,76.0,240.0,Sr.,40.0,Tampa,FL,,,Vertical Threat,TE Vertical Threat
Pavia,Diego,Vanderbilt,911.0,2026.0,QB,2.0,72.0,207.0,Sr.,35.0,Albuquerque,NM,,,Improviser,QB Improviser
Lockette,Tellek,Texas State,306.0,2026.0,IOL,74.0,75.0,327.0,Sr.,32.0,Miami,FL,,,,
Castellanos,Thomas,Florida State,562.0,2026.0,QB,1.0,71.0,201.0,Sr.,31.0,Waycross,GA,,,Improviser,QB Improviser
Spencer,Malik,Michigan State,313.0,2026.0,S,43.0,73.0,191.0,Sr.,28.0,Buford,GA,,,Man To Man,CB Man-to-Man
Gilliam,Kelvin,Virginia Tech,750.0,2026.0,DL,22.0,75.0,295.0,Sr.,28.0,Richmond,VA,,,,
Styles Jr.,Lorenzo,Ohio State,805.0,2026.0,CB,3.0,73.0,195.0,Sr.,25.0,Pickerington,OH,,,Man To Man,CB Man-to-Man
Brawley,Austin,New Mexico,932.0,2026.0,SS,21.0,70.0,192.0,Sr.,24.0,Massillon,OH,,,Man To Man,CB Man-to-Man
Hicks,C.J.,Ohio State,597.0,2026.0,EDGE,11.0,75.0,243.0,Sr.,22.0,Dayton,OH,,,,
