Last Name,First Name,College,Rank,Draft Class,Position,Jersey,Height ,Weight,2025 College Year,Awards ,Star Rating,Hometown,Homestate,Race,Photo
Mendoza,Fernando,Indiana,1,2026,QB,15,77,225,Senior,,,Miami,,,
Bain,Rueben,Miami (FL),2,2026,EDGE,,,,Senior,,,,,,
Moore,Dante,Oregon,3,2026,QB,5,75,206,Senior,,,Detroit,,,
Sellers,LaNorris,South Carolina,4,2026,QB,16,75,240,Senior,,,Florence,,,
Downs,Caleb,Ohio State,5,2026,S,2,72,205,Senior,,,Hoschton,,,
Tyson,Jordyn,Arizona State,6,2026,WR,,74,200,Senior,,,Allen,,,
Woods,Peter,Clemson,7,2026,DL,11,75,315,Senior,,,Alabaster,,,
Fano,Spencer,Utah,8,2026,OT,55,78,302,Senior,,,Spanish Fork,,,
Simpson,Ty,Alabama,9,2026,QB,15,74,208,Senior,,,Martin,,,
Faulk,Keldric,Auburn,10,2026,EDGE,15,78,285,Senior,,,Highland Home,,,
Mauigoa,Francis,Miami (FL),11,2026,OT,,,,Senior,,,,,,
Reese,Arvell,Ohio State,12,2026,LB,8,76,243,Senior,,,Cleveland,,,
Proctor,Kadyn,Alabama,13,2026,OT,74,79,366,Senior,,,Des Moines,,,
Parker,T.J.,Clemson,14,2026,EDGE,3,75,265,Senior,,,Phenix City,,,
McCoy,Jermod,Tennessee,15,2026,CB,3,72,193,Senior,,,Whitehouse,,,
Nussmeier,Garrett,LSU,16,2026,QB,18,73,205,Senior,,,Lake Charles,,,
Love,Jeremiyah,Notre Dame,17,2026,RB,4,72,214,Senior,,,Saint Louis,,,
Delane,Mansoor,LSU,18,2026,CB,4,72,190,Senior,,,Silver Spring,,,
Lemon,Makai,USC,19,2026,WR,6,71,195,Senior,,,Los Alamitos,,,
Sadiq,Kenyon,Oregon,20,2026,TE,18,75,245,Senior,,,Idaho Falls,,,
Tate,Carnell,Ohio State,21,2026,WR,17,75,195,Senior,,,Chicago,,,
Terrell,Avieon,Clemson,22,2026,CB,8,71,180,Senior,,,Atlanta,,,
Lomu,Caleb,Utah,23,2026,OT,71,78,304,Senior,,,Gilbert,,,
Bailey,David,Texas Tech,24,2026,EDGE,31,75,250,Senior,,,Irvine,,,
Overton,L.T.,Alabama,25,2026,EDGE,,,,Senior,,,,,,
Uiagalelei,Matayo,Oregon,26,2026,EDGE,10,77,272,Senior,,,Bellflower,,,
Banks,Caleb,Florida,27,2026,DL,88,78,330,Senior,,,Southfield,,,
Mateer,John,Oklahoma,28,2026,QB,10,73,224,Senior,,,Little Elm,,,
Styles,Sonny,Ohio State,29,2026,LB,6,76,243,Senior,,,Pickerington,,,
Boston,Denzel,Washington,30,2026,WR,12,76,209,Senior,,,South Hill,,,
Allen,C.J.,Georgia,31,2026,LB,3,73,235,Senior,,,Barnesville,,,
Hill Jr.,Anthony,Texas,32,2026,LB,,75,238,Senior,,,Denton,,,
Lew,Connor,Auburn,33,2026,IOL,75,75,300,Senior,,,Kennesaw,,,
Ioane,Olaivavega,Penn State,34,2026,IOL,,,,Senior,,,,,,
Dunker,Gennings,Iowa,35,2026,OT,67,77,315,Senior,,,Lena,,,
Howell,Cashius,Texas A&M,36,2026,EDGE,9,74,248,Senior,,,Kansas City,,,
World,Isaiah,Oregon,37,2026,OT,76,80,318,Senior,,,San Diego,,,
Brazzell,Chris,Tennessee,38,2026,WR,17,77,200,Senior,,,Midland,,,
Hood,Colton,Tennessee,39,2026,CB,8,72,195,Senior,,,Mcdonough,,,
Washington,A'Mauri,Oregon,40,2026,DL,52,75,330,Senior,,,Detroit,,,
Bell,Chris,Louisville,41,2026,WR,,74,220,Senior,,,Yazoo City,,,
Lane,Ja'Kobi,USC,42,2026,WR,8,76,200,Senior,,,Mesa,,,
Williams,Antonio,Clemson,43,2026,WR,,71,190,Senior,,,Irmo,,,
Harris,A.J.,Penn State,44,2026,CB,4,73,191,Senior,,,Phenix City,,,
Goosby,Trevor,Texas,45,2026,OT,74,79,312,Senior,,,Melissa,,,
Muhammad,Malik,Texas,46,2026,CB,5,72,188,Senior,,,Desoto,,,
Josephs,Joshua,Tennessee,47,2026,EDGE,19,75,240,Senior,,,Kennesaw,,,
Klubnik,Cade,Clemson,48,2026,QB,2,74,210,Senior,,,Austin,,,
Dennis-Sutton,Dani,Penn State,49,2026,EDGE,33,77,265,Senior,,,Millsboro,,,
