PLPO,FirstName,LastName,FullName,Filename,Description
plpo_legends_Abdul-JabbarKarim,Karim,Abdul-Jabbar,Karim Abdul-Jabbar,plpo_legends_Abdul-JabbarKarim.png,Legend - Karim Abdul-Jabbar
plpo_legends_AdaliusThomas,Thomas,Adalius,Thomas Adalius,plpo_legends_AdaliusThomas.png,Legend - Thomas Adalius
plpo_legends_AdamsSam,Sam,Adams,Sam Adams,plpo_legends_AdamsSam.png,Legend - Sam Adams
plpo_legends_AdderleyHerb,Herb,Adderley,Herb Adderley,plpo_legends_AdderleyHerb.png,Legend - Herb Adderley
plpo_legends_AkersDavid,David,Akers,David Akers,plpo_legends_AkersDavid.png,Legend - David Akers
plpo_legends_AlexanderShaun,Shaun,Alexander,Shaun Alexander,plpo_legends_AlexanderShaun.png,Legend - Shaun Alexander
plpo_legends_AllenEric,Eric,Allen,Eric Allen,plpo_legends_AllenEric.png,Legend - Eric Allen
plpo_legends_AllenJared,Jared,Allen,Jared Allen,plpo_legends_AllenJared.png,Legend - Jared Allen
plpo_legends_AllenLarry,Larry,Allen,Larry Allen,plpo_legends_AllenLarry.png,Legend - Larry Allen
plpo_legends_AllenMarcus,Marcus,Allen,Marcus Allen,plpo_legends_AllenMarcus.png,Legend - Marcus Allen
plpo_legends_AlstottMike,Mike,Alstott,Mike Alstott,plpo_legends_AlstottMike.png,Legend - Mike Alstott
plpo_legends_AlworthLance,Lance,Alworth,Lance Alworth,plpo_legends_AlworthLance.png,Legend - Lance Alworth
plpo_legends_AmobiOkoye,Okoye,Amobi,Okoye Amobi,plpo_legends_AmobiOkoye.png,Legend - Okoye Amobi
plpo_legends_AndersenMorten,Morten,Andersen,Morten Andersen,plpo_legends_AndersenMorten.png,Legend - Morten Andersen
plpo_legends_AndersonGary,Gary,Anderson,Gary Anderson,plpo_legends_AndersonGary.png,Legend - Gary Anderson
plpo_legends_AndersonOttis,Ottis,Anderson,Ottis Anderson,plpo_legends_AndersonOttis.png,Legend - Ottis Anderson
plpo_legends_AndersonWillie,Willie,Anderson,Willie Anderson,plpo_legends_AndersonWillie.png,Legend - Willie Anderson
plpo_legends_AqibTalib,Talib,Aqib,Talib Aqib,plpo_legends_AqibTalib.png,Legend - Talib Aqib
plpo_legends_ArcherDri,Dri,Archer,Dri Archer,plpo_legends_ArcherDri.png,Legend - Dri Archer
plpo_legends_ArchuletaAdam,Adam,Archuleta,Adam Archuleta,plpo_legends_ArchuletaAdam.png,Legend - Adam Archuleta
