PLPO,Generation,PAM,Type,Filename,Description
plpo_generic_bla_h_041,0,,ethnic,plpo_generic_bla_h_041.png,Generic Black Heavy #041
plpo_generic_bla_h_050,0,,ethnic,plpo_generic_bla_h_050.png,Generic Black Heavy #050
plpo_generic_bla_h_051,0,,ethnic,plpo_generic_bla_h_051.png,Generic Black Heavy #051
plpo_generic_bla_h_053,0,,ethnic,plpo_generic_bla_h_053.png,Generic Black Heavy #053
plpo_generic_bla_h_055,0,,ethnic,plpo_generic_bla_h_055.png,Generic Black Heavy #055
plpo_generic_bla_m_075,0,,ethnic,plpo_generic_bla_m_075.png,Generic Black Medium #075
plpo_generic_bla_m_160,0,,ethnic,plpo_generic_bla_m_160.png,Generic Black Medium #160
plpo_generic_bla_m_183,0,,ethnic,plpo_generic_bla_m_183.png,Generic Black Medium #183
plpo_generic_bla_m_184,0,,ethnic,plpo_generic_bla_m_184.png,Generic Black Medium #184
plpo_generic_bla_m_185,0,,ethnic,plpo_generic_bla_m_185.png,Generic Black Medium #185
plpo_generic_bla_m_189,0,,ethnic,plpo_generic_bla_m_189.png,Generic Black Medium #189
plpo_generic_bla_t_028,0,,ethnic,plpo_generic_bla_t_028.png,Generic Black Thin #028
plpo_generic_bla_t_069,0,,ethnic,plpo_generic_bla_t_069.png,Generic Black Thin #069
plpo_generic_bla_t_074,0,,ethnic,plpo_generic_bla_t_074.png,Generic Black Thin #074
plpo_generic_bla_t_079,0,,ethnic,plpo_generic_bla_t_079.png,Generic Black Thin #079
plpo_generic_CarterLandry,0,,named,plpo_generic_CarterLandry.png,Generic Face CarterLandry
plpo_generic_dbl_h_003,0,,ethnic,plpo_generic_dbl_h_003.png,Generic Dark Black Heavy #003
plpo_generic_dbl_m_009,0,,ethnic,plpo_generic_dbl_m_009.png,Generic Dark Black Medium #009
plpo_generic_dbl_m_019,0,,ethnic,plpo_generic_dbl_m_019.png,Generic Dark Black Medium #019
plpo_generic_dbl_m_036,0,,ethnic,plpo_generic_dbl_m_036.png,Generic Dark Black Medium #036
plpo_generic_dbl_m_055,0,,ethnic,plpo_generic_dbl_m_055.png,Generic Dark Black Medium #055
plpo_generic_dbl_t_011,0,,ethnic,plpo_generic_dbl_t_011.png,Generic Dark Black Thin #011
plpo_generic_dbl_t_016,0,,ethnic,plpo_generic_dbl_t_016.png,Generic Dark Black Thin #016
plpo_generic_lat_h_005,0,,ethnic,plpo_generic_lat_h_005.png,Generic Latino Heavy #005
