====================================================================================================
COLLEGES NEEDING MAPPING DECISIONS
====================================================================================================

Total colleges in Madden list: 493
Total unique colleges in source files: 1897
Colleges that match exactly: 415
Colleges needing mapping: 1482
Player instances affected: 31730

====================================================================================================
COLLEGES NEEDING MAPPING (sorted by frequency)
====================================================================================================

Source Name                                        Count      Status
----------------------------------------------------------------------------------------------------
Southern California                                2293       NEEDS DECISION
Louisiana State                                    1731       NEEDS DECISION
University of California Los Angeles               1551       NEEDS DECISION
Penn St.                                           1470       NEEDS DECISION
Ohio St.                                           1349       NEEDS DECISION
Mississippi                                        975        NEEDS DECISION
Virginia                                           945        NEEDS DECISION
West Virginia                                      891        NEEDS DECISION
Texas Christian                                    872        NEEDS DECISION
Virginia Tech                                      821        NEEDS DECISION
Brigham Young                                      706        NEEDS DECISION
Boston Col.                                        667        NEEDS DECISION
Wake Forest                                        665        NEEDS DECISION
Southern Methodist                                 661        NEEDS DECISION
North Carolina State                               437        NEEDS DECISION
Toledo                                             431        NEEDS DECISION
Louisiana Tech                                     395        NEEDS DECISION
Utah St.                                           364        NEEDS DECISION
Iowa St.                                           350        NEEDS DECISION
Central Florida                                    334        NEEDS DECISION
Bowling Green                                      314        NEEDS DECISION
Miami (OH)                                         310        NEEDS DECISION
Florida A&M                                        308        NEEDS DECISION
South Florida                                      286        NEEDS DECISION
Texas-El Paso                                      207        NEEDS DECISION
Pacific                                            191        NEEDS DECISION
Kent St.                                           147        NEEDS DECISION
S.F. Austin                                        142        NEEDS DECISION
Boston Univ.                                       139        NEEDS DECISION
Boise St.                                          139        NEEDS DECISION
La-Monroe                                          137        NEEDS DECISION
Western Carolina                                   132        NEEDS DECISION
Wash. St.                                          127        NEEDS DECISION
Texas St.                                          123        NEEDS DECISION
Middle Tenn. St.                                   121        NEEDS DECISION
Bethune-Cookman                                    120        NEEDS DECISION
MD-Eastern Shore                                   116        NEEDS DECISION
Florida International                              116        NEEDS DECISION
Florida Atlantic                                   116        NEEDS DECISION
Texas-Arlington                                    112        NEEDS DECISION
Ball St.                                           109        NEEDS DECISION
Santa Clara                                        109        NEEDS DECISION
Chattanooga                                        109        NEEDS DECISION
Weber St.                                          108        NEEDS DECISION
Miss. Valley St.                                   107        NEEDS DECISION
S.D. State                                         106        NEEDS DECISION
Southern Mississippi                               106        NEEDS DECISION
Wichita St.                                        105        NEEDS DECISION
Ark-Pine Bluff                                     104        NEEDS DECISION
Western Kentucky                                   103        NEEDS DECISION
Louisiana                                          102        NEEDS DECISION
Louisiana-Monroe                                   102        NEEDS DECISION
Western Michigan                                   99         NEEDS DECISION
Long Beach St.                                     98         NEEDS DECISION
Appalach. St.                                      97         NEEDS DECISION
Nevada-Las Vegas                                   94         NEEDS DECISION
