====================================================================================================
COLLEGE NAME MAPPING REVIEW
====================================================================================================

Top 100 missing colleges from source files (ROSTER, ALL_PLAYER, FutureDraft)
These college names appear in the data but are NOT in college_lookup.csv

Source Name                                        Count      Suggested Match
----------------------------------------------------------------------------------------------------
Southern California                                2293       [NEEDS REVIEW]
Louisiana State                                    1731       [NEEDS REVIEW]
University of California Los Angeles               1551       [NEEDS REVIEW]
Penn St.                                           1470       [NEEDS REVIEW]
Ohio St.                                           1349       [NEEDS REVIEW]
Mississippi                                        975        [NEEDS REVIEW]
Virginia                                           945        [NEEDS REVIEW]
West Virginia                                      891        [NEEDS REVIEW]
Texas Christian                                    872        [NEEDS REVIEW]
Virginia Tech                                      821        [NEEDS REVIEW]
Brigham Young                                      706        [NEEDS REVIEW]
Boston Col.                                        667        [NEEDS REVIEW]
Wake Forest                                        665        [NEEDS REVIEW]
Southern Methodist                                 661        [NEEDS REVIEW]
North Carolina State                               437        [NEEDS REVIEW]
Toledo                                             431        [NEEDS REVIEW]
Louisiana Tech                                     395        [NEEDS REVIEW]
Utah St.                                           364        [NEEDS REVIEW]
Iowa St.                                           350        [NEEDS REVIEW]
Central Florida                                    334        [NEEDS REVIEW]
Bowling Green                                      314        [NEEDS REVIEW]
Miami (OH)                                         310        [NEEDS REVIEW]
Florida A&M                                        308        [NEEDS REVIEW]
South Florida                                      286        [NEEDS REVIEW]
Texas-El Paso                                      207        [NEEDS REVIEW]
Pacific                                            191        [NEEDS REVIEW]
Kent St.                                           147        [NEEDS REVIEW]
S.F. Austin                                        142        [NEEDS REVIEW]
Boston Univ.                                       139        [NEEDS REVIEW]
Boise St.                                          139        [NEEDS REVIEW]
La-Monroe                                          137        [NEEDS REVIEW]
Western Carolina                                   132        [NEEDS REVIEW]
Wash. St.                                          127        [NEEDS REVIEW]
Texas St.                                          123        [NEEDS REVIEW]
Middle Tenn. St.                                   121        [NEEDS REVIEW]
Bethune-Cookman                                    120        [NEEDS REVIEW]
MD-Eastern Shore                                   116        [NEEDS REVIEW]
Florida International                              116        [NEEDS REVIEW]
Florida Atlantic                                   116        [NEEDS REVIEW]
Texas-Arlington                                    112        [NEEDS REVIEW]
Ball St.                                           109        [NEEDS REVIEW]
Santa Clara                                        109        [NEEDS REVIEW]
Chattanooga                                        109        [NEEDS REVIEW]
Weber St.                                          108        [NEEDS REVIEW]
Miss. Valley St.                                   107        [NEEDS REVIEW]
S.D. State                                         106        [NEEDS REVIEW]
Southern Mississippi                               106        [NEEDS REVIEW]
Wichita St.                                        105        [NEEDS REVIEW]
Ark-Pine Bluff                                     104        [NEEDS REVIEW]
Western Kentucky                                   103        [NEEDS REVIEW]
Louisiana                                          102        [NEEDS REVIEW]
Louisiana-Monroe                                   102        [NEEDS REVIEW]
Western Michigan                                   99         [NEEDS REVIEW]
Long Beach St.                                     98         [NEEDS REVIEW]
Appalach. St.                                      97         [NEEDS REVIEW]
Nevada-Las Vegas                                   94         [NEEDS REVIEW]
Pitt                                               91         [NEEDS REVIEW]
Cal Poly-San Luis Obispo                           88         [NEEDS REVIEW]
Cal State-Fullerton                                82         [NEEDS REVIEW]
Pennsylvania                                       80         [NEEDS REVIEW]
Miami (FL)                                         78         [NEEDS REVIEW]
Idaho St.                                          71         [NEEDS REVIEW]
Lamar                                              70         [NEEDS REVIEW]
Virginia Union                                     66         [NEEDS REVIEW]
Virginia State                                     59         [NEEDS REVIEW]
Tampa                                              59         [NEEDS REVIEW]
J. Madison                                         57         [NEEDS REVIEW]
Marquette                                          56         [NEEDS REVIEW]
Ga. Southern                                       56         [NEEDS REVIEW]
Detroit Mercy                                      53         [NEEDS REVIEW]
San Francisco                                      50         [NEEDS REVIEW]
Eastern Wash.                                      50         [NEEDS REVIEW]
Howard Payne                                       49         [NEEDS REVIEW]
Southeastern Louisiana                             48         [NEEDS REVIEW]
Langston                                           47         [NEEDS REVIEW]
Lincoln (MO)                                       46         [NEEDS REVIEW]
Miami Univ.                                        46         [NEEDS REVIEW]
Elizabeth City St.                                 45         [NEEDS REVIEW]
Angelo State (TX)                                  43         [NEEDS REVIEW]
Mid Tenn St.                                       41         [NEEDS REVIEW]
Kutztown (PA)                                      40         [NEEDS REVIEW]
Kentucky St.                                       39         [NEEDS REVIEW]
Ala-Birmingham                                     39         [NEEDS REVIEW]
Hardin-Simmons                                     38         [NEEDS REVIEW]
Elon                                               37         [NEEDS REVIEW]
Bishop                                             36         [NEEDS REVIEW]
New Mex. Highlands                                 36         [NEEDS REVIEW]
California,San Diego St.                           36         [NEEDS REVIEW]
Johnson C. Smith                                   35         [NEEDS REVIEW]
Sacramento St.                                     35         [NEEDS REVIEW]
American Int.                                      35         [NEEDS REVIEW]
Bradley                                            34         [NEEDS REVIEW]
WisconsinâLaCrosse                               34         [NEEDS REVIEW]
New Mex. St.                                       34         [NEEDS REVIEW]
Tenn-Chat                                          33         [NEEDS REVIEW]
San Francisco St.                                  32         [NEEDS REVIEW]
Amherst                                            31         [NEEDS REVIEW]
Millersville                                       31         [NEEDS REVIEW]
Denver                                             31         [NEEDS REVIEW]
Catawba                                            30         [NEEDS REVIEW]


====================================================================================================
INSTRUCTIONS:
====================================================================================================
Please review this list and provide mappings in the format:
  Source Name -> Target Name (or ADD if new college should be added)

For example:
  Southern California -> USC
  Louisiana State -> LSU
  Penn St. -> Penn State
  New College Name -> ADD (will add as new entry)
