id,name
5657,Aaitui
7553,Aaron
8677,Abanikanda
6693,Abbot
5788,Abbrederis
6356,Abdesmad
5,Abdul-Quddus
4,Abdullah
7554,Abel
7,Abernathy
8,Abiamiri
5543,Aboushi
9,Abraham
7281,Abram
11,Abrams
9044,Abrams-Draine
7555,Abreu
8665,Achane
15,Acho
5789,Acker
16,Ackerman
44,Ackers
7105,Acklin
5619,Acosta
32,Acy
7556,Adair
8006,Adam
19,Adams
7557,Adamson
20,Adcock
6257,Addae
21,Addai
7280,Adderley
8663,Addington
23,Addison
8732,Adebawore
8307,Adebo
6636,Adeboyejo
5620,Adeniji
6933,Adeniyi
25,Adeyanju
6406,Adeyemi
26,Adibi
6113,Adjei-Barimah
27,Adkins
28,Adkisson
7558,Adler
8536,Adomitis
5784,Adongo
29,Afalava
7860,Afriyie
8198,Agasiva
5790,Agholor
34,Agim
31,Agnew
6170,Aguayo
8512,Agude
6864,Agudosi
6694,Aguilar
7385,Aguilera
6695,Aguirre
6025,Agurs
35,Ah You
36,Ahanotu
8796,Ahlers
7559,Ahmad
6408,Ahmed
38,Aiken
5791,Aikens
39,Aikman
40,Ainge
37,Aiyuk
5621,Ajala
5792,Ajayi
41,Ajirotutu
42,Akbar
44,Akers
8223,Akindele
9170,Akingbesote
1,Akinmoladun
45,Akins
63,al-Jabbar
7327,Al-Shaair
47,Alabi
7277,Alaka
48,Alama-Francis
8031,Alba
50,Albert
7560,Albrecht
52,Albright
6026,Albury
8110,Alcantara
6027,Alden
7561,Aldrich
55,Aldridge
56,Alecxih
7486,Aleman
59,Alexander
60,Alexis
7310,Alfieri
8141,Alfonso
61,Alford
62,Ali
8190,Alicea
7809,Alie-Cox
9045,All
64,Allan
8886,Allar
7325,Allegretti
65,Alleman
64,Allen
7326,Allen-Williams
7937,Alley
8549,Allgeier
5622,Alli
68,Allison
70,Allotey
71,Allred
8159,Almonte
5582,Alonso
73,Alridge
7092,Alsadek
75,Alston
76,Alstott
9046,Alt
7562,Altman
8923,Altmyer
79,Alualu
43,Alufohai
6696,Alvarado
6708,Alvarez
7972,Alves
8297,Alworth
7320,Amadi
7487,Amador
8966,Amalfi
85,Amano
5694,Amaro
86,Amato
8844,Amatova
87,Amaya
89,Ambrose
9047,Amegadjie
90,Amendola
5594,Amerson
7488,Ames
93,Amey
6681,Amichia
5793,Amos
96,Amukamara
97,Amundson
46,Anae
49,Anchrum
101,Anderle
102,Anders
103,Andersen
103,Anderson
9139,Andreessen
8089,Andres
106,Andrew
107,Andrews
8548,Andries
108,Andrus
110,Anelli
8308,Anenih
7386,Angel
8309,Angeline
112,Anger
113,Angerer
116,Angulo
6834,Ankou
5794,Ankrah
118,Annand
5795,Annen
5570,Ansah
8281,Antetokounmpo
119,Anthony
6331,Anthrop
7563,Antonio
120,Antrim
8634,Antwine
8727,Anudike-Uzomah
6108,Anunike
122,Anunoby
9165,Anusiem
123,Anzalone
6954,Apke
6256,Apple
126,Applewhite
7387,Aquino
7388,Aragon
127,Araguz
8550,Araiza
7421,Arce
7240,Arcega-Whiteside
129,Arceneaux
130,Archambeau
5695,Archer
132,Archibald
8454,Archibong
133,Archuleta
8613,Arcuri
135,Arellanes
137,Arenas
140,Arians
7819,Arias
143,Arisman
145,Arkin
6677,Armah
6139,Armbrister
146,Armour
8610,Armour-Davis
147,Armstead
148,Armstrong
149,Arnaud
7962,Arndt
7564,Arnett
5796,Arnfelt
150,Arnold
151,Arnoux
153,Aromashodu
8811,Arora
155,Arrington
7820,Arrollo
8944,Arroyo
7212,Arthur
5797,Artis-Payne
158,Artmore
6943,Aruna
7812,Asafo-Adjei
160,Asamoah
161,Asante
162,Ash
7565,Ashby
163,Asher
6029,Ashley
165,Ashmore
8138,Ashton
51,Asiasi
166,Asiata
167,Asiodu
168,Askew
7322,Askew-Henry
170,Asomugha
172,Asper
8200,Aston
175,Atchison
6879,Ateman
176,Atkins
5798,Atkinson
5798,Atkinson III
179,Atogwe
5696,Attaochu
182,Atwater
8310,Atwell
7566,Atwood
5731,Aubrey
6827,Auclair
7940,Augustine
8715,Aumavae-Laulu
186,Ausberry
8311,Ausbon
6655,Austell
187,Austin
8492,Autman-Bell
188,Autry
189,Avant
8220,Average
6918,Averett
190,Avery
8706,Avila
7389,Aviles
191,Avril
192,Awasom
6350,Awe
8825,Awesome
8312,Awosika
6579,Awuzie
8977,Ayala
194,Ayanbadejo
195,Ayers
196,Ayi
197,Ayodele
8890,Ayomanor
198,Azumah
5623,Azur
199,Baadknews
200,Baas
8092,Babb
7489,Babcock
202,Baber
203,Babers
204,Babin
205,Babineaux
5691,Baca
8641,Baccellia
8171,Bach
53,Bachie
8060,Bachman
9014,Bachmeier
6205,Backman
207,Backus
208,Bacon
8480,Bada
209,Bademosi
7107,Badet
8891,Badger
6955,Badgley
8487,Badie
5800,Baer
8719,Bagent
7097,Baggett
211,Baggs
7567,Bagley
7874,Bail
212,Bailey
213,Bain
8718,Bainivalu
215,Bair
7167,Baird
7315,Baity
218,Bajema
219,Baker
220,Bakhtiari
8459,Bakstran
8733,Baldonado
222,Baldridge
6550,Balducci
223,Baldwin
8035,Bales
8826,Balkissoon
226,Ball
6900,Ballage
227,Ballantyne
228,Ballard
5799,Ballentine
230,Balmer
231,Balogh
232,Balogun
7865,Banda
54,Bandy
237,Baniewicz
5763,Banjo
238,Banks
239,Bankston
240,Bannan
6584,Banner
241,Bannister
242,Bannon
7269,Banogu
243,Banta
244,Banta-Cain
5690,Banyard
245,Baptiste
246,Barber
247,Barbieri
7568,Barbosa
246,Barbour
250,Barbre
251,Barclay
57,Barcoo
252,Barden
9011,Bardroff
8048,Barfield
7936,Barger
8763,Baringer
253,Barker
255,Barkley
8822,Barkow
256,Barksdale
258,Barlow
8313,Barmore
260,Barnard
5508,Barner
261,Barnes
262,Barnett
6401,Barney
264,Barnhardt
7422,Barnhart
266,Barnidge
8513,Barno
7569,Baron
8095,Barone
5697,Barr
270,Barret
270,Barrett
5687,Barrington
274,Barron
275,Barrow
276,Barry
6030,Bars
58,Bartch
278,Bartee
279,Bartel
280,Bartell
281,Barth
283,Bartholomew
6697,Bartlett
7570,Bartley
285,Barton
286,Bartrum
5733,Bartu
289,Barwin
290,Basanez
8476,Bascom
292,Basham
291,Bashir
8749,Baskerville
294,Baskett
295,Basnight
297,Bass
9207,Bassa
7423,Bassett
298,Bassey
299,Batch
7571,Bateman
301,Bates
7572,Batista
302,Batiste
7122,Batson
303,Battaglia
304,Batten
305,Battle
306,Battles
8991,Batty
6670,Bauer
307,Baugh
308,Baugher
7573,Baum
309,Bauman
7902,Baumann
66,Baun
6541,Bausby
5624,Bautista
8442,Bavaro
6975,Bawden
311,Baxter
5800,Bayer
312,Baylark
67,Bayless
313,Baylis
9029,Bazelak
314,Bazuin
315,Beach
316,Beachum
317,Beadles
318,Beal
7967,Beam
320,Bean
6698,Beard
8015,Bearden
323,Beasley
324,Beason
6375,Beathard
325,Beatty
325,Beaty
5585,Beauharnais
8748,Beauplan
7490,Beaver
6306,Beavers
328,Bech
329,Becht
330,Beck
6699,Becker
332,Beckett
333,Beckham
7868,Beckman
7304,Beckner
334,Beckum
335,Beckwith
5776,Becton
337,Bedell
7150,Bednarick
7150,Bednarik
8224,Bee
7108,Beebe
340,Beede
341,Beekman
342,Beeler
7574,Begay
8274,Begelton
346,Beisel
8080,Belanger
348,Belcher
350,Bell
351,Bellamy
352,Bellanca
8493,Bellinger
353,Bellisari
6847,Bello
354,Bellore
358,Belser
360,Belton
6700,Beltran
362,Benard
8107,Benavidez
363,Bender
364,Benedict
6172,Benenoch
365,Benford
7822,Benitez
366,Benjamin
6956,Benkert
367,Benn
368,Bennett
370,Benoit
8225,Benshaw
371,Benson
372,Bentley
6760,Benton
5801,Benwikere
69,Benzinger
7253,Benzschawel
373,Bequette
6329,Bercovici
6701,Berg
8737,Bergan
376,Bergen
5693,Berger
7424,Bergeron
7575,Bergman
7853,Bergstrand
380,Bergstrom
5802,Berhe
381,Beriault
382,Berlin
7576,Berman
7390,Bermudez
384,Bernadeau
8895,Bernadel
385,Bernard
8757,Bernard-Converse
8645,Bernhardt
7577,Bernstein
386,Bernstine
387,Berrian
6957,Berrios
388,Berry
8957,Berry-Johnson
8551,Berryhill
8201,Berryman
5803,Bersin
6353,Bertolet
389,Berton
8123,Bertrand
391,Bess
393,Best
7491,Betancourt
395,Bethea
396,Bethel
397,Bethel-Thompson
8202,Bethune
30,Betiku
400,Bettis
401,Betts
402,Beuerlein
403,Beverly
5800,Beyer
8814,Bhargava
72,Biadasz
404,Biakabutuka
406,Bialosuknia
407,Bias
5804,Bibbs
409,Bibla
412,Bickerstaff
8843,Bickley
8226,Bicknell
413,Biddle
404,Bidwell
6614,Biegel
415,Biekert
416,Bienemann
417,Bieniemy
418,Biermann
419,Bierria
420,Bigby
421,Biggers
7492,Biggs
8227,Biggums
6848,Bighill
8675,Bigsby
8289,Bilal
422,Bilbo
423,Biletnikoff
6299,Billings
424,Billingsley
9131,Bills
425,Billups
427,Bilukidi
428,Bing
429,Bingham
430,Binn
431,Binns
8158,Birch
432,Bird
433,Birdine
434,Birk
436,Birmingham
437,Bironas
438,Bishop
6592,Bisnowaty
440,Bissinger
5698,Bitonio
74,Bituli
7130,Bivens
443,Bjornson
444,Black
445,Blackburn
77,Blacklock
447,Blackman
447,Blackmon
7110,Blacknall
448,Blackshear
5805,Blackson
449,Blackstock
450,Blackwell
451,Blade
452,Blades
6031,Blair
453,Blaise
454,Blake
456,Blakley
457,Blalock
5676,Blanchard
5806,Blanchflower
8193,Blanco
7374,Bland
460,Blanda
6899,Blanding
9007,Blane
8061,Blank
461,Blankenship
8193,Blanko
463,Blanton
5527,Blasingame
466,Blaylock
9129,Blazek
469,Bledsoe
470,Blevins
7804,Blewitt
8189,Bliss
473,Blizzard
7493,Block
7180,Blonko
475,Bloom
7856,Blough
476,Blount
477,Blue
7578,Blum
1188,Blumberg
8203,Blunt
479,Bly
6206,Blythe
7138,Board
6032,Boatwright
8880,Bobby
405,Bobenmoyer
483,Bober
484,Bobo
485,Bock
486,Bodden
6986,Boddy-Calhoun
489,Bodiford
5737,Bodine
492,Body
6179,Boehm
6307,Boehringer
9008,Boelens
5625,Boenzi
493,Boerigter
7013,Boesen
7075,Boettger
5807,Boffeli
495,Bogan
496,Boger
497,Boggs
498,Bogle
8444,Bohanna
5518,Bohanon
501,Boiman
502,Boireau
503,Bojicic
7080,Bojorquez
504,Bolden
6667,Bolden Jr.
504,Boldin
505,Bolen
7879,Boles
506,Boley
8073,Bolin
507,Boling
509,Boller
6562,Bolles
508,Bollinger
5808,Bolser
510,Bolston
7174,Bolton
512,Bomar
5738,Bonani
513,Bond
8000,Bonds
7823,Bonea
515,Bonham
8514,Bonitto
7087,Bonnafon
517,Bonner
518,Bono
467,Book
519,Booker
520,Bookman
521,Boone
522,Booth
522,Boothe
8314,Bootle
523,Booty
7069,Boozer
524,Bordano
525,Bordelon
7579,Borden
6858,Borders
526,Borel
527,Boren
8552,Borghi
5699,Borland
8315,Borom
8316,Borregales
5700,Bortles
9048,Bortolini
530,Borum
6117,Bosa
7042,Bosch
531,Boschetti
532,Boselli
533,Bosher
534,Boss
535,Bostic
535,Bostick
537,Boston
5809,Boswell
539,Bosworth
8050,Bouchard
7425,Boucher
7580,Boudreaux
542,Boulware
543,Bouman
8036,Bourgeois
6831,Bourne
8720,Boutte
5752,Bouye
5810,Bowanko
546,Bowden
547,Bowe
548,Bowen
549,Bowens
6656,Bower
550,Bowers
551,Bowie
6033,Bowles
507,Bowling
553,Bowman
554,Bowser
