DraftYear,PlayerName,Height,Weight,Position,College,BirthState
1988,Eric Allen,5-10,184,DB,Arizona St.,CA
2004,Jared Allen,6-6,270,DE,Idaho St.,TX
0,Antonio Gates,6-4,255,TE,Kent St.,MI
1988,Sterling Sharpe,6-0,207,WR,South Carolina,IL
2002,Dwight Freeney,6-1,268,DE,Syracuse,CT
1974,Randy Gradishar,6-3,233,LB,Ohio St.,OH
2006,Devin Hester,5-11,190,PR,Miami (FL),FL
2003,Andre Johnson,6-3,229,WR,Miami (FL),FL
1980,Steve McMichael,6-2,270,DT,Texas,TX
2002,Julius Peppers,6-7,295,DE,North Carolina,NC
2007,Patrick Willis,6-1,242,LB,Mississippi,TN
1997,Ronde Barber,5-10,184,DB,Virginia,VA
1958,Chuck Howley,6-3,228,LB,West Virginia,WV
1977,Joe Klecko,6-3,263,DT,Temple,PA
2007,Darrelle Revis,5-11,198,DB,Pittsburgh,PA
1969,Ken Riley,5-11,181,DB,Florida A&M,FL
2007,Joe Thomas,6-6,312,T,Wisconsin,WI
1996,Zach Thomas,5-11,228,LB,Texas Tech,TX
2005,DeMarcus Ware,6-4,258,LB,Troy,AL
1995,Tony Boselli,6-7,324,T,USC,CA
1972,Cliff Branch,5-11,170,WR,Colorado,TX
1990,LeRoy Butler,6-0,197,DB,Florida St.,FL
0,Sam Mills,5-9,229,LB,Montclair St.,NJ
2001,Richard Seymour,6-6,317,DE,Georgia,SC
1994,Bryant Young,6-3,291,DT,Notre Dame,IL
1998,Alan Faneca,6-5,316,G,LSU,LA
2007,Calvin Johnson,6-5,237,WR,Georgia Tech,GA
1993,John Lynch,6-2,220,DB,Stanford,IL
1998,Peyton Manning,6-5,230,QB,Tennessee,LA
0,Drew Pearson,6-0,184,WR,Tulsa,NJ
1998,Charles Woodson,6-1,210,DB,Michigan,OH
1989,Steve Atwater,6-3,218,DB,Arkansas,IL
1994,Isaac Bruce,6-0,188,WR,West Los Angeles College,FL
1971,Harold Carmichael,6-8,225,WR,Southern,FL
1983,Jimbo Covert,6-4,277,T,Pittsburgh,PA
1952,Bobby Dillon,6-1,180,DB,Texas,TX
0,Cliff Harris,6-0,188,DB,Ouachita Baptist,AR
1963,Winston Hill,6-4,270,T,Texas Southern,TX
2001,Steve Hutchinson,6-5,313,G,Michigan,FL
1999,Edgerrin James,6-0,219,RB,Miami (FL),FL
1958,Alex Karras,6-2,248,DT,Iowa,IN
