====================================================================================================
REMAINING COLLEGES THAT NEED MAPPING
====================================================================================================

Total unmapped colleges: 884
Total affected players: 5743

College Name                                        Count
----------------------------------------------------------------------------------------------------
  1. Boston Univ.                                          139
  2. MD-Eastern Shore                                      116
  3. Texas-Arlington                                       112
  4. Santa Clara                                           109
  5. Chattanooga                                           109
  6. Wichita St.                                           105
  7. Long Beach St.                                         98
  8. Tampa                                                  59
  9. Marquette                                              56
 10. Detroit Mercy                                          53
 11. San Francisco                                          50
 12. Howard Payne                                           49
 13. Langston                                               47
 14. Elizabeth City St.                                     45
 15. Angelo State (TX)                                      43
 16. Kentucky St.                                           39
 17. Hardin-Simmons                                         38
 18. Bishop                                                 36
 19. San Diego St.                                          36
 20. Johnson C. Smith                                       35
 21. American Int.                                          35
 22. Bradley                                                34
 23. WisconsinâLaCrosse                                   34
 24. Tenn-Chat                                              33
 25. San Francisco St.                                      32
 26. Amherst                                                31
 27. Millersville                                           31
 28. Denver                                                 31
 29. Fisk                                                   30
 30. California Lutheran                                    29
 31. George Washington                                      26
 32. Clark (GA)                                             26
 33. Xavier (OH)                                            26
 34. Abilene Chr.                                           26
 35. S. Dakota St.                                          26
 36. Eastern New Mexico                                     25
 37. Southern Connecticut St.                               25
 38. NE State (OK)                                          24
 39. WisconsinâWhitewater                                 24
 40. Concordia-Moorhead (MN)                                23
 41. Kansas St.                                             23
 42. St. Louis                                              23
 43. Los Angeles St.                                        22
 44. Indiana (PA)                                           22
 45. Adams St.                                              21
 46. Widener                                                21
 47. Wabash                                                 21
 48. Sacranento State                                       21
 49. Jackson St.                                            20
 50. Livingstone                                            20
 51. Milton                                                 20
 52. San Diego St.                                          19
 53. Benedictine                                            19
 54. Waynesburg                                             18
 55. San Jose St.                                           18
 56. Cameron                                                18
 57. Western St. (CO)                                       18
 58. St. Thomas                                             18
 59. Appalachian St.                                        18
 60. California-Davis                                       18
 61. Arkansas P.B.                                          18
 62. Jacksonv. St.                                          18
 63. East Central (OK)                                      17
 64. Long Beach St.                                         17
 65. Montclair St.                                          17
 66. Towson State                                           17
 67. Washington & Lee                                       17
 68. UC Santa Barbara                                       16
 69. St. Lawrence                                           16
 70. Salem                                                  16
 71. Carthage                                               16
 72. New Haven                                              16
 73. St. Mary's (CA)                                        16
 74. Gustavus Adolphus                                      16
 75. UT Martin                                              16
 76. McMurry                                                16
 77. Wake                                                   16
 78. Trinity (TX)                                           15
 79. Cal State-Chico                                        15
 80. Williams                                               15
 81. Yankton                                                15
 82. Fort Hays St.                                          15
 83. C.W. Post                                              15
 84. Cheyney                                                15
 85. N'western St.                                          15
 86. N.C. AT                                                15
 87. Scranton                                               15
 88. Trinity Valley CC (TX)                                 14
 89. Allen                                                  14
 90. Arkansas Tech                                          14
 91. U.S. International                                     14
 92. Bishop                                                 14
 93. Central College (IA)                                   14
 94. Doane                                                  14
 95. UC Riverside                                           14
 96. North Dakota St.                                       14
 97. Widener                                                14
 98. Knoxville                                              14
 99. Shepherd                                               14
100. Millikin                                               14
101. Arkansas St.                                           14
102. Occidental                                             14
103. Graceland College (IA)                                 14
104. Washington St.                                         14
105. Grossmont College (CA)                                 14
106. Linfield                                               13
107. Minnesota-Duluth                                       13
108. Colorado Mesa                                          13
109. South Carolina St.                                     13
110. Walla Walla CC (WA)                                    13
111. Western Wash.                                          13
112. Case Western Reserve                                   13
113. Wisconsin–Superior                                     12
114. Hamline                                                12
115. Whittier                                               12
116. Colorado State-Pueblo                                  12
117. Tennessee St.                                          12
118. Delta St.                                              12
119. Colorado Mesa                                          12
120. Ferrum                                                 12
121. Florida St.                                            12
122. Saginaw Valley St.                                     12
123. San Jose St.                                           12
124. T A&M K'ville                                          12
125. Loyola Marymount                                       12
126. TTech                                                  12
127. Mizzou                                                 12
128. Newberry                                               11
129. Texas-Arlington                                        11
130. King Alfred's (England)                                11
131. San Diego St.                                          11
132. WisconsinâMilwaukee                                  11
133. Cal Poly-Pomona                                        11
134. West Texas A&M                                         11
135. San Diego St.                                          11
136. Pacific Lutheran                                       11
137. Hinds CC                                               11
138. Florida St.                                            11
139. Wake Technical CC                                      11
140. Emporia St.                                            11
141. Western Illinois                                       11
142. Muhlenberg                                             11
143. St. Bonaventure                                        11
144. UMass                                                  11
145. Kent                                                   11
146. JMU                                                    11
147. Delta St.                                              10
