Historical Player,Position,Race,Type,DDS Filename,Recycled From
Sam Adams,DT,7,REAL,plpo_legends_AdamsSam.dds,Has own portrait
Ray Agnew,DT,7,REAL,plpo_AgnewRay.dds,Has own portrait
Eric Allen,CB,7,REAL,plpo_legends_AllenEric.dds,Has own portrait
Larry Allen,LG,7,REAL,plpo_legends_AllenLarry.dds,Has own portrait
Marcus Allen,HB,7,REAL,plpo_AllenMarcus.dds,Has own portrait
Carl Banks,MLB,7,REAL,plpo_legends_BanksCarl.dds,Has own portrait
Cornelius Bennett,MLB,7,REAL,plpo_legends_CorneliusBennett.dds,Has own portrait
Jerome Bettis,HB,7,REAL,plpo_legends_JeromeBettis.dds,Has own portrait
Drew Bledsoe,QB,7,REAL,plpo_legends_BledsoeDrew.dds,Has own portrait
Tony Boselli,LT,7,REAL,plpo_legends_BoselliTony.dds,Has own portrait
Derrick Brooks,MLB,7,REAL,plpo_legends_BrooksDerrick.dds,Has own portrait
Anthony Brown,LT,7,REAL,N/A,Has own portrait
James Brown,LT,7,REAL,plpo_BrownJames.dds,Has own portrait
Ruben Brown,LG,7,REAL,plpo_legends_BrownRuben.dds,Has own portrait
Tim Brown,WR,7,REAL,plpo_legends_BrownTim.dds,Has own portrait
Tony Brown,CB,7,REAL,plpo_BrownTony.dds,Has own portrait
Vincent Brown,MLB,7,REAL,plpo_BrownVincent.dds,Has own portrait
Isaac Bruce,WR,7,REAL,plpo_legends_Bruce_Isaac.dds,Has own portrait
Terrell Buckley,CB,7,REAL,plpo_legends_BuckleyTerrell.dds,Has own portrait
Devin Bush Sr.,CB,7,REAL,N/A,Has own portrait
Keith Byars,HB,7,REAL,plpo_KeithByars.dds,Has own portrait
Darren Carrington,CB,7,REAL,plpo_CarringtonDarren.dds,Has own portrait
Kevin Carter,LE,7,REAL,plpo_legends_CarterKevin.dds,Has own portrait
Bryan Cox,MLB,7,REAL,plpo_CoxBryan.dds,Has own portrait
Ray Crockett,CB,7,REAL,plpo_legends_CrockettRay.dds,Has own portrait
Randall Cunningham,QB,7,REAL,plpo_legends_Cunningham_Randall.dds,Has own portrait
Anthony Davis,MLB,7,REAL,plpo_DavisAnthony.dds,Has own portrait
Mike Davis,CB,7,REAL,plpo_DavisMike.dds,Has own portrait
Terrell Davis,HB,7,REAL,plpo_legends_DavisTerrell.dds,Has own portrait
Dermontti Dawson,C,7,REAL,plpo_legends_DawsonDermontti.dds,Has own portrait
Josh Evans,DT,7,REAL,N/A,Has own portrait
Marshall Faulk,HB,7,REAL,plpo_legends_MarshallFaulk_Profile.dds,Has own portrait
Mark Fields,MLB,7,REAL,plpo_FieldsMark.dds,Has own portrait
Doug Flutie,QB,7,REAL,plpo_legends_FlutieDoug.dds,Has own portrait
Irving Fryar,WR,7,REAL,plpo_legends_FryarIrving.dds,Has own portrait
Corey Fuller,CB,7,REAL,plpo_FullerCorey.dds,Has own portrait
Joey Galloway,WR,7,REAL,plpo_legends_GallowayJoey.dds,Has own portrait
Jason Gildon,MLB,7,REAL,plpo_HackenbergChristian.dds,Has own portrait
Aaron Glenn,CB,7,REAL,plpo_legends_GlennAaron.dds,Has own portrait
Kevin Glover,C,7,REAL,plpo_legends_GloverKevin.dds,Has own portrait
Derwin Gray,CB,7,REAL,plpo_GrayDerwin.dds,Has own portrait
Darrell Green,CB,7,REAL,plpo_legends_GreenDarrell.dds,Has own portrait
Trent Green,QB,7,REAL,plpo_GreenTrent.dds,Has own portrait
Charles Haley,LE,7,REAL,plpo_legends_HaleyCharles.dds,Has own portrait
Keith Hamilton,DT,7,REAL,plpo_legends_HamiltonKeith.dds,Has own portrait
Merton Hanks,CB,7,REAL,plpo_legends_HanksMerton.dds,Has own portrait
Rodney Harrison,CB,7,REAL,plpo_legends_HarrisonRodney.dds,Has own portrait
Chris Hinton,LT,7,REAL,plpo_HintonChris.dds,Has own portrait
Mark Ingram,WR,7,REAL,plpo_IngramMark.dds,Has own portrait
Michael Irvin,WR,7,REAL,plpo_legends_MichaelIrvin_Profile.dds,Has own portrait
Rocket Ismail,WR,7,REAL,plpo_legends_IsmailRaghib.dds,Has own portrait
Michael Jackson,WR,7,REAL,plpo_JacksonMichael.dds,Has own portrait
Rickey Jackson,MLB,7,REAL,plpo_legends_JacksonRickey.dds,Has own portrait
Jesse James,C,7,REAL,plpo_JamesJesse.dds,Has own portrait
Anthony Johnson,HB,7,REAL,plpo_JohnsonAnthony.dds,Has own portrait
Charles Johnson,WR,7,REAL,plpo_JohnsonCharles.dds,Has own portrait
D.J. Johnson,CB,7,REAL,plpo_JohnsonDJ.dds,Has own portrait
John Johnson,MLB,7,REAL,plpo_JohnsonJohn.dds,Has own portrait
Kevin Johnson,DT,7,REAL,plpo_JohnsonKevin.dds,Has own portrait
Lonnie Johnson,TE,7,REAL,plpo_JohnsonLonnie.dds,Has own portrait
Aaron Jones,LE,7,REAL,plpo_JonesAaron.dds,Has own portrait
Chris Jones,WR,7,RECYCLABLE,plpo_AaituiIsaako.dds,Isaako Aaitui
Ernest Jones,DT,7,REAL,plpo_JonesErnest.dds,Has own portrait
James Jones,DT,7,REAL,plpo_JonesJames.dds,Has own portrait
Mike Jones,LE,7,REAL,plpo_legends_JonesMike.dds,Has own portrait
Robert Jones,MLB,7,REAL,plpo_JonesRobert.dds,Has own portrait
