Year,Season_Team,Player_Name,First_Name,Last_Name,Position,Jersey,Age,Height,Weight,College,BirthDate,Years_Pro,Games,Games_Started,AV,Draft_Year,POVR,PID,PAM,Position_Normalized,Position_Group,lookup_key,wAV,AP1,PB
1970,ATL,Tom McCauley,Tom,McCauley,FS,20.0,23,75,193,Wisconsin,5/3/1947,1,14,12,7.0,1969.0,0,0,0,FS,DB,tom_mccauley,13.0,0.0,0.0
1970,ATL,Ken Reaves,Ken,Reaves,LCB,36.0,26,75,210,Norfolk St.,10/29/1944,4,14,13,7.0,1966.0,0,0,0,LCB,DB,ken_reaves,52.0,0.0,1.0
1970,ATL,Rudy Redmond,Rudy,Redmond,RCB,47.0,23,73,196,Pacific,8/25/1947,1,14,14,6.0,1969.0,0,0,0,RCB,DB,rudy_redmond,21.0,0.0,0.0
1970,ATL,Al Lavan,Al,Lavan,SS,49.0,24,73,202,Colorado St.,9/13/1946,1,13,9,5.0,1968.0,0,0,0,SS,DB,al_lavan,8.0,0.0,0.0
1970,ATL,John Mallory,John,Mallory,SS,22.0,24,72,184,West Virginia,7/24/1946,2,14,5,5.0,1968.0,0,0,0,SS,DB,john_mallory,18.0,0.0,0.0
1970,ATL,Mike Freeman,Mike,Freeman,DB,28.0,26,71,179,Fresno St.,7/13/1944,2,14,2,3.0,1968.0,0,0,0,DB,DB,mike_freeman,8.0,0.0,0.0
1970,ATL,Grady Cavness,Grady,Cavness,DB,32.0,23,71,187,Texas-El Paso,3/1/1947,1,4,0,2.0,1969.0,0,0,0,DB,DB,grady_cavness,7.0,0.0,0.0
1970,CHI,Phil Clark,Phil,Clark,SS,39.0,25,75,208,Northwestern,4/28/1945,3,13,13,7.0,1967.0,0,0,0,SS,DB,phil_clark,18.0,0.0,0.0
1970,CHI,Dick Daniels,Dick,Daniels,FS,23.0,26,69,180,Pacific (OR),10/19/1944,4,13,13,7.0,,0,0,0,FS,DB,dick_daniels,0.0,0.0,0.0
1970,CHI,Bennie McRae,Bennie,McRae,LCB,26.0,31,72,180,Michigan,12/8/1939,8,13,13,7.0,1962.0,0,0,0,LCB,DB,bennie_mcrae,52.0,0.0,0.0
1970,CHI,Joe Taylor,Joe,Taylor,RCB,20.0,31,73,200,North Carolina A&T,8/27/1939,3,11,10,6.0,1962.0,0,0,0,RCB,DB,joe_taylor,37.0,0.0,0.0
1970,CHI,Ron Smith,Ron,Smith,DB,48.0,27,73,195,Wisconsin,5/3/1943,5,14,4,5.0,,0,0,0,DB,DB,ron_smith,5.0,0.0,0.0
1970,CHI,Ron Smith,Ron,Smith,DB,48.0,27,73,195,Wisconsin,5/3/1943,5,14,4,5.0,,0,0,0,DB,DB,ron_smith,0.0,0.0,1.0
1970,CHI,Ron Smith,Ron,Smith,DB,48.0,27,73,195,Wisconsin,5/3/1943,5,14,4,5.0,,0,0,0,DB,DB,ron_smith,12.0,0.0,0.0
1970,CHI,Butch Davis,Butch,Davis,DB,47.0,22,71,183,Missouri,7/3/1948,Rook,10,2,2.0,1970.0,0,0,0,DB,DB,butch_davis,2.0,0.0,0.0
1970,CHI,Garry Lyle,Garry,Lyle,DB,44.0,25,74,198,George Washington,10/20/1945,2,14,1,2.0,1967.0,0,0,0,DB,DB,garry_lyle,21.0,0.0,0.0
1970,CIN,Lemar Parrish,Lemar,Parrish,LCB,20.0,23,71,185,Lincoln (MO),12/13/1947,Rook,14,11,14.0,1970.0,0,0,0,LCB,DB,lemar_parrish,95.0,1.0,8.0
1970,CIN,Ken Riley,Ken,Riley,RCB,13.0,23,71,181,Florida A&M,8/6/1947,1,14,14,9.0,1969.0,0,0,0,RCB,DB,ken_riley,96.0,1.0,0.0
1970,CIN,Ken Riley,Ken,Riley,RCB,13.0,23,71,181,Florida A&M,8/6/1947,1,14,14,9.0,1969.0,0,0,0,RCB,DB,ken_riley,0.0,0.0,0.0
1970,CIN,Fletcher Smith,Fletcher,Smith,SS,31.0,27,72,178,Tennessee St.,10/10/1943,4,14,12,8.0,1966.0,0,0,0,SS,DB,fletcher_smith,27.0,0.0,0.0
1970,CIN,Ken Dyer,Ken,Dyer,FS,27.0,24,75,190,Arizona St.,3/16/1946,2,12,6,5.0,1968.0,0,0,0,FS,DB,ken_dyer,9.0,0.0,0.0
1970,CIN,Al Coleman,Al,Coleman,FS,23.0,26,73,183,"Jackson St.,Tennessee St.",12/27/1944,3,11,6,4.0,1967.0,0,0,0,FS,DB,al_coleman,16.0,0.0,0.0
1970,CIN,Kenny Graham,Kenny,Graham,SS,33.0,29,72,210,Washington St.,11/25/1941,6,5,5,4.0,1964.0,0,0,0,SS,DB,kenny_graham,52.0,1.0,4.0
1970,CIN,Sandy Durko,Sandy,Durko,DB,29.0,22,73,185,USC,8/29/1948,Rook,1,1,1.0,1970.0,0,0,0,DB,DB,sandy_durko,15.0,0.0,0.0
1970,CIN,John Guillory,John,Guillory,DB,28.0,25,70,190,Stanford,7/28/1945,1,7,1,1.0,,0,0,0,DB,DB,john_guillory,0.0,0.0,0.0
1970,CLE,Erich Barnes,Erich,Barnes,LCB,40.0,35,74,201,Purdue,7/4/1935,12,14,14,8.0,1958.0,0,0,0,LCB,DB,erich_barnes,76.0,1.0,6.0
1970,CLE,Mike Howell,Mike,Howell,FS,34.0,27,73,195,Grambling St.,7/5/1943,5,14,14,6.0,1965.0,0,0,0,FS,DB,mike_howell,38.0,0.0,0.0
1970,CLE,Ernie Kellermann,Ernie,Kellermann,SS,24.0,27,72,183,Miami (OH),12/17/1943,4,14,14,6.0,1965.0,0,0,0,SS,DB,ernie_kellermann,38.0,0.0,1.0
1970,CLE,Walt Sumner,Walt,Sumner,RCB,29.0,23,73,195,Florida St.,2/2/1947,1,12,12,6.0,1969.0,0,0,0,RCB,DB,walt_sumner,32.0,0.0,0.0
1970,CLE,Freddie Summers,Freddie,Summers,DB,20.0,23,73,180,Wake Forest,2/16/1947,1,12,0,3.0,1969.0,0,0,0,DB,DB,freddie_summers,5.0,0.0,0.0
1970,CLE,Tom Schoen,Tom,Schoen,DB,33.0,24,71,185,Notre Dame,1/30/1946,Rook,4,0,2.0,1968.0,0,0,0,DB,DB,tom_schoen,2.0,0.0,0.0
1970,CLE,Ben Davis,Ben,Davis,RCB,28.0,25,71,180,Defiance,10/30/1945,3,7,2,1.0,1967.0,0,0,0,RCB,DB,ben_davis,41.0,0.0,0.0
1970,CLE,Ricky Stevenson,Ricky,Stevenson,DB,23.0,22,71,198,Arizona,6/27/1948,Rook,1,0,0.0,1970.0,0,0,0,DB,DB,ricky_stevenson,0.0,0.0,0.0
1970,CLT,Jerry Logan,Jerry,Logan,SS,20.0,29,73,185,West Texas A&M,8/27/1941,7,14,14,12.0,1963.0,0,0,0,SS,DB,jerry_logan,69.0,0.0,3.0
1970,CLT,Rick Volk,Rick,Volk,FS,21.0,25,75,195,Michigan,3/15/1945,3,12,12,8.0,1967.0,0,0,0,FS,DB,rick_volk,74.0,1.0,3.0
1970,CLT,Ron Gardin,Ron,Gardin,DB,30.0,26,71,180,"Cameron,Arizona",9/25/1944,Rook,13,0,5.0,1970.0,0,0,0,DB,DB,ron_gardin,8.0,0.0,0.0
1970,CLT,Tommy Maxwell,Tommy,Maxwell,RCB,42.0,23,74,195,Texas A&M,5/5/1947,1,14,10,5.0,1969.0,0,0,0,RCB,DB,tommy_maxwell,20.0,0.0,0.0
1970,CLT,Charlie Stukes,Charlie,Stukes,LCB,47.0,27,75,212,MD-Eastern Shore,9/13/1943,3,11,8,5.0,1967.0,0,0,0,LCB,DB,charlie_stukes,43.0,0.0,0.0
1970,CLT,Tom Curtis,Tom,Curtis,DB,25.0,23,73,196,Michigan,11/1/1947,Rook,10,2,2.0,1970.0,0,0,0,DB,DB,tom_curtis,6.0,0.0,0.0
1970,CRD,Larry Wilson,Larry,Wilson,FS,8.0,32,72,190,Utah,3/24/1938,10,13,13,14.0,1960.0,0,0,0,FS,DB,larry_wilson,91.0,5.0,8.0
1970,CRD,Roger Wehrli,Roger,Wehrli,RCB,22.0,23,72,190,Missouri,11/26/1947,1,14,14,12.0,1969.0,0,0,0,RCB,DB,roger_wehrli,91.0,3.0,7.0
1970,CRD,Miller Farr,Miller,Farr,LCB,20.0,27,73,190,Wichita St.,4/8/1943,5,14,14,8.0,1965.0,0,0,0,LCB,DB,miller_farr,0.0,0.0,0.0
