Height,Weight,Age,wAV,AP1,PB,POVR,PSPD,PACC,PAGI,PSTR,PAWR,PCTH,PMCV,PZCV,PPRS,PPRC,PJMP,PHTP
73,190.0,32.0,61.0,0.0,1.0,83.0,82.0,80.0,80.0,53.0,91.0,59.0,0.0,0.0,0.0,0.0,70.0,0.0
73,190.0,32.0,66.0,0.0,3.0,83.0,82.0,80.0,80.0,53.0,91.0,59.0,0.0,0.0,0.0,0.0,70.0,0.0
71,205.0,26.0,19.0,0.0,0.0,82.0,83.0,85.0,84.0,59.0,80.0,61.0,0.0,0.0,0.0,0.0,76.0,0.0
72,213.0,35.0,81.0,0.0,2.0,79.0,86.0,89.0,88.0,57.0,88.0,55.0,0.0,0.0,0.0,0.0,85.0,0.0
74,210.0,28.0,36.0,0.0,0.0,78.0,84.0,77.0,83.0,57.0,82.0,57.0,0.0,0.0,0.0,0.0,71.0,0.0
72,190.0,29.0,18.0,0.0,0.0,77.0,87.0,92.0,89.0,51.0,78.0,63.0,0.0,0.0,0.0,0.0,86.0,0.0
70,180.0,29.0,57.0,0.0,0.0,77.0,89.0,92.0,86.0,44.0,80.0,63.0,0.0,0.0,0.0,0.0,79.0,0.0
70,200.0,29.0,0.0,0.0,0.0,74.0,72.0,73.0,71.0,56.0,81.0,59.0,0.0,0.0,0.0,0.0,78.0,0.0
71,185.0,32.0,67.0,1.0,2.0,72.0,87.0,86.0,89.0,50.0,77.0,53.0,0.0,0.0,0.0,0.0,82.0,0.0
71,190.0,26.0,17.0,0.0,0.0,72.0,86.0,87.0,87.0,50.0,80.0,52.0,0.0,0.0,0.0,0.0,75.0,0.0
71,196.0,32.0,50.0,0.0,0.0,72.0,75.0,80.0,75.0,52.0,81.0,47.0,0.0,0.0,0.0,0.0,78.0,0.0
69,195.0,27.0,0.0,0.0,0.0,69.0,81.0,82.0,78.0,62.0,69.0,50.0,0.0,0.0,0.0,0.0,69.0,0.0
71,190.0,29.0,42.0,0.0,0.0,68.0,90.0,89.0,86.0,38.0,66.0,64.0,0.0,0.0,0.0,0.0,81.0,0.0
74,205.0,26.0,0.0,0.0,0.0,67.0,79.0,76.0,76.0,53.0,69.0,62.0,0.0,0.0,0.0,0.0,68.0,0.0
72,199.0,26.0,8.0,0.0,0.0,64.0,79.0,78.0,74.0,51.0,67.0,54.0,0.0,0.0,0.0,0.0,69.0,0.0
69,185.0,29.0,17.0,0.0,0.0,62.0,84.0,80.0,83.0,44.0,66.0,50.0,0.0,0.0,0.0,0.0,87.0,0.0
71,186.0,24.0,0.0,0.0,0.0,61.0,83.0,78.0,83.0,55.0,62.0,40.0,0.0,0.0,0.0,0.0,76.0,0.0
70,191.0,24.0,0.0,0.0,0.0,61.0,77.0,71.0,76.0,55.0,65.0,45.0,0.0,0.0,0.0,0.0,72.0,0.0
72,210.0,34.0,40.0,0.0,0.0,61.0,78.0,71.0,70.0,53.0,61.0,57.0,0.0,0.0,0.0,0.0,75.0,0.0
69,190.0,26.0,6.0,0.0,0.0,60.0,81.0,79.0,74.0,52.0,62.0,62.0,0.0,0.0,0.0,0.0,73.0,0.0
68,170.0,26.0,7.0,0.0,0.0,59.0,84.0,82.0,82.0,40.0,66.0,46.0,0.0,0.0,0.0,0.0,79.0,0.0
72,170.0,25.0,0.0,0.0,0.0,59.0,81.0,76.0,84.0,42.0,61.0,50.0,0.0,0.0,0.0,0.0,67.0,0.0
67,170.0,30.0,35.0,0.0,0.0,58.0,84.0,82.0,82.0,43.0,59.0,50.0,0.0,0.0,0.0,0.0,84.0,0.0
70,175.0,28.0,0.0,0.0,0.0,58.0,83.0,78.0,81.0,46.0,63.0,50.0,0.0,0.0,0.0,0.0,79.0,0.0
70,175.0,28.0,0.0,0.0,0.0,58.0,83.0,78.0,81.0,46.0,63.0,50.0,0.0,0.0,0.0,0.0,79.0,0.0
68,170.0,30.0,24.0,0.0,0.0,56.0,85.0,81.0,84.0,38.0,47.0,56.0,0.0,0.0,0.0,0.0,81.0,0.0
70,182.0,31.0,21.0,0.0,0.0,56.0,82.0,78.0,76.0,41.0,68.0,44.0,0.0,0.0,0.0,0.0,79.0,0.0
70,187.0,27.0,6.0,0.0,0.0,56.0,79.0,80.0,81.0,38.0,60.0,62.0,0.0,0.0,0.0,0.0,71.0,0.0
70,187.0,27.0,19.0,0.0,0.0,56.0,79.0,80.0,81.0,38.0,60.0,62.0,0.0,0.0,0.0,0.0,71.0,0.0
71,185.0,29.0,20.0,0.0,0.0,55.0,85.0,80.0,79.0,44.0,55.0,49.0,0.0,0.0,0.0,0.0,77.0,0.0
70,195.0,27.0,2.0,0.0,0.0,53.0,77.0,72.0,74.0,53.0,53.0,51.0,0.0,0.0,0.0,0.0,64.0,0.0
70,195.0,25.0,0.0,0.0,0.0,52.0,77.0,72.0,70.0,50.0,55.0,45.0,0.0,0.0,0.0,0.0,80.0,0.0
70,195.0,25.0,0.0,0.0,0.0,52.0,77.0,72.0,70.0,50.0,55.0,45.0,0.0,0.0,0.0,0.0,80.0,0.0
70,195.0,25.0,0.0,0.0,0.0,52.0,77.0,72.0,70.0,50.0,55.0,45.0,0.0,0.0,0.0,0.0,80.0,0.0
72,210.0,26.0,0.0,0.0,0.0,51.0,79.0,72.0,76.0,55.0,49.0,45.0,0.0,0.0,0.0,0.0,77.0,0.0
70,181.0,24.0,3.0,0.0,0.0,49.0,81.0,78.0,74.0,38.0,56.0,48.0,0.0,0.0,0.0,0.0,77.0,0.0
71,199.0,27.0,2.0,0.0,0.0,49.0,77.0,71.0,66.0,50.0,49.0,45.0,0.0,0.0,0.0,0.0,62.0,0.0
73,215.0,28.0,0.0,0.0,0.0,49.0,76.0,68.0,77.0,53.0,49.0,50.0,0.0,0.0,0.0,0.0,71.0,0.0
70,199.0,25.0,2.0,0.0,0.0,44.0,78.0,78.0,75.0,33.0,47.0,48.0,0.0,0.0,0.0,0.0,77.0,0.0
70,190.0,27.0,2.0,0.0,0.0,42.0,70.0,67.0,68.0,51.0,49.0,41.0,0.0,0.0,0.0,0.0,59.0,0.0
73,200.0,23.0,115.0,3.0,9.0,98.0,98.0,95.0,97.0,54.0,94.0,73.0,0.0,0.0,0.0,0.0,94.0,0.0
71,185.0,26.0,86.0,2.0,4.0,97.0,96.0,96.0,95.0,55.0,96.0,71.0,0.0,0.0,0.0,0.0,89.0,0.0
72,205.0,35.0,142.0,6.0,11.0,97.0,89.0,85.0,86.0,59.0,98.0,71.0,0.0,0.0,0.0,0.0,80.0,0.0
74,220.0,28.0,0.0,0.0,0.0,96.0,85.0,90.0,85.0,68.0,96.0,61.0,0.0,0.0,0.0,0.0,75.0,0.0
74,220.0,28.0,88.0,2.0,9.0,96.0,85.0,90.0,85.0,68.0,96.0,61.0,0.0,0.0,0.0,0.0,75.0,0.0
73,184.0,22.0,117.0,3.0,12.0,96.0,98.0,96.0,97.0,53.0,92.0,73.0,0.0,0.0,0.0,0.0,91.0,0.0
72,208.0,26.0,78.0,1.0,4.0,95.0,84.0,88.0,85.0,67.0,94.0,66.0,0.0,0.0,0.0,0.0,72.0,0.0
74,210.0,24.0,89.0,2.0,5.0,94.0,87.0,88.0,88.0,62.0,90.0,69.0,0.0,0.0,0.0,0.0,86.0,0.0
73,207.0,27.0,69.0,2.0,2.0,93.0,84.0,86.0,83.0,65.0,95.0,59.0,0.0,0.0,0.0,0.0,73.0,0.0
71,205.0,30.0,59.0,0.0,3.0,92.0,87.0,88.0,83.0,58.0,93.0,68.0,0.0,0.0,0.0,0.0,78.0,0.0
72,195.0,25.0,58.0,0.0,1.0,92.0,98.0,97.0,92.0,55.0,90.0,64.0,0.0,0.0,0.0,0.0,93.0,0.0
72,175.0,24.0,64.0,1.0,1.0,92.0,93.0,94.0,93.0,53.0,90.0,69.0,0.0,0.0,0.0,0.0,93.0,0.0
73,219.0,31.0,81.0,3.0,5.0,91.0,84.0,86.0,83.0,65.0,95.0,58.0,0.0,0.0,0.0,0.0,74.0,0.0
71,202.0,32.0,110.0,3.0,8.0,90.0,92.0,96.0,91.0,52.0,97.0,62.0,0.0,0.0,0.0,0.0,84.0,0.0
73,206.0,23.0,70.0,1.0,3.0,90.0,93.0,93.0,93.0,57.0,89.0,63.0,0.0,0.0,0.0,0.0,93.0,0.0
69,203.0,30.0,57.0,0.0,4.0,90.0,81.0,85.0,82.0,64.0,92.0,60.0,0.0,0.0,0.0,0.0,74.0,0.0
71,195.0,29.0,0.0,0.0,1.0,90.0,83.0,87.0,84.0,62.0,89.0,65.0,0.0,0.0,0.0,0.0,71.0,0.0
71,195.0,29.0,0.0,0.0,1.0,90.0,83.0,87.0,84.0,62.0,89.0,65.0,0.0,0.0,0.0,0.0,71.0,0.0
71,200.0,26.0,104.0,4.0,9.0,89.0,86.0,88.0,86.0,63.0,87.0,65.0,0.0,0.0,0.0,0.0,75.0,0.0
73,208.0,31.0,42.0,0.0,0.0,89.0,86.0,84.0,80.0,61.0,89.0,70.0,0.0,0.0,0.0,0.0,76.0,0.0
70,192.0,26.0,52.0,0.0,1.0,88.0,91.0,90.0,88.0,53.0,92.0,69.0,0.0,0.0,0.0,0.0,89.0,0.0
72,194.0,30.0,90.0,1.0,5.0,88.0,90.0,93.0,91.0,53.0,93.0,65.0,0.0,0.0,0.0,0.0,87.0,0.0
73,207.0,33.0,83.0,1.0,5.0,88.0,85.0,83.0,85.0,61.0,93.0,64.0,0.0,0.0,0.0,0.0,71.0,0.0
72,203.0,32.0,87.0,4.0,4.0,88.0,83.0,80.0,84.0,64.0,92.0,61.0,0.0,0.0,0.0,0.0,69.0,0.0
71,200.0,26.0,88.0,2.0,5.0,88.0,92.0,92.0,91.0,54.0,92.0,64.0,0.0,0.0,0.0,0.0,85.0,0.0
74,195.0,25.0,35.0,0.0,1.0,87.0,87.0,85.0,85.0,63.0,86.0,65.0,0.0,0.0,0.0,0.0,76.0,0.0
74,210.0,29.0,37.0,0.0,0.0,86.0,90.0,89.0,88.0,58.0,92.0,65.0,0.0,0.0,0.0,0.0,89.0,0.0
70,170.0,26.0,33.0,0.0,0.0,86.0,89.0,90.0,90.0,50.0,88.0,65.0,0.0,0.0,0.0,0.0,91.0,0.0
72,202.0,30.0,0.0,0.0,0.0,84.0,82.0,83.0,84.0,58.0,86.0,67.0,0.0,0.0,0.0,0.0,74.0,0.0
71,190.0,24.0,68.0,1.0,3.0,84.0,90.0,88.0,87.0,54.0,86.0,66.0,0.0,0.0,0.0,0.0,86.0,0.0
69,185.0,28.0,63.0,0.0,1.0,84.0,88.0,91.0,85.0,51.0,93.0,60.0,0.0,0.0,0.0,0.0,89.0,0.0
71,210.0,30.0,0.0,0.0,0.0,84.0,84.0,79.0,83.0,61.0,86.0,60.0,0.0,0.0,0.0,0.0,67.0,0.0
69,200.0,22.0,0.0,0.0,0.0,83.0,86.0,86.0,85.0,62.0,78.0,64.0,0.0,0.0,0.0,0.0,78.0,0.0
69,200.0,22.0,56.0,1.0,1.0,83.0,86.0,86.0,85.0,62.0,78.0,64.0,0.0,0.0,0.0,0.0,78.0,0.0
70,205.0,24.0,49.0,0.0,0.0,83.0,84.0,87.0,84.0,61.0,84.0,56.0,0.0,0.0,0.0,0.0,75.0,0.0
70,184.0,25.0,109.0,3.0,5.0,83.0,89.0,90.0,89.0,50.0,86.0,62.0,0.0,0.0,0.0,0.0,90.0,0.0
73,190.0,32.0,61.0,0.0,1.0,83.0,82.0,80.0,80.0,53.0,91.0,59.0,0.0,0.0,0.0,0.0,70.0,0.0
73,190.0,32.0,66.0,0.0,3.0,83.0,82.0,80.0,80.0,53.0,91.0,59.0,0.0,0.0,0.0,0.0,70.0,0.0
73,198.0,33.0,127.0,6.0,8.0,83.0,91.0,96.0,87.0,45.0,92.0,70.0,0.0,0.0,0.0,0.0,88.0,0.0
72,205.0,24.0,0.0,0.0,0.0,83.0,85.0,84.0,81.0,61.0,85.0,58.0,0.0,0.0,0.0,0.0,72.0,0.0
71,205.0,30.0,60.0,1.0,0.0,83.0,82.0,82.0,79.0,61.0,91.0,49.0,0.0,0.0,0.0,0.0,67.0,0.0
73,214.0,27.0,32.0,0.0,0.0,83.0,85.0,82.0,84.0,59.0,86.0,61.0,0.0,0.0,0.0,0.0,76.0,0.0
75,216.0,26.0,0.0,0.0,0.0,82.0,89.0,89.0,86.0,53.0,88.0,60.0,0.0,0.0,0.0,0.0,85.0,0.0
75,216.0,26.0,52.0,0.0,1.0,82.0,89.0,89.0,86.0,53.0,88.0,60.0,0.0,0.0,0.0,0.0,85.0,0.0
71,205.0,26.0,19.0,0.0,0.0,82.0,83.0,85.0,84.0,59.0,80.0,61.0,0.0,0.0,0.0,0.0,76.0,0.0
74,210.0,26.0,41.0,0.0,0.0,82.0,88.0,87.0,87.0,59.0,81.0,67.0,0.0,0.0,0.0,0.0,92.0,0.0
70,185.0,34.0,0.0,0.0,0.0,82.0,84.0,87.0,88.0,52.0,91.0,66.0,0.0,0.0,0.0,0.0,87.0,0.0
70,185.0,34.0,96.0,1.0,6.0,82.0,84.0,87.0,88.0,52.0,91.0,66.0,0.0,0.0,0.0,0.0,87.0,0.0
72,197.0,32.0,0.0,0.0,0.0,81.0,82.0,84.0,82.0,55.0,90.0,54.0,0.0,0.0,0.0,0.0,65.0,0.0
72,197.0,32.0,55.0,1.0,1.0,81.0,82.0,84.0,82.0,55.0,90.0,54.0,0.0,0.0,0.0,0.0,65.0,0.0
72,195.0,27.0,43.0,0.0,0.0,81.0,90.0,92.0,86.0,53.0,84.0,60.0,0.0,0.0,0.0,0.0,88.0,0.0
69,185.0,28.0,71.0,0.0,3.0,81.0,90.0,89.0,86.0,48.0,87.0,66.0,0.0,0.0,0.0,0.0,80.0,0.0
71,192.0,27.0,63.0,0.0,0.0,81.0,88.0,88.0,84.0,52.0,87.0,61.0,0.0,0.0,0.0,0.0,86.0,0.0
72,198.0,25.0,24.0,0.0,0.0,80.0,87.0,86.0,84.0,53.0,87.0,66.0,0.0,0.0,0.0,0.0,85.0,0.0
72,213.0,27.0,0.0,0.0,0.0,80.0,83.0,81.0,82.0,60.0,83.0,52.0,0.0,0.0,0.0,0.0,71.0,0.0
72,202.0,30.0,53.0,0.0,1.0,79.0,82.0,82.0,81.0,55.0,82.0,60.0,0.0,0.0,0.0,0.0,77.0,0.0
72,202.0,30.0,0.0,0.0,0.0,79.0,82.0,82.0,81.0,55.0,82.0,60.0,0.0,0.0,0.0,0.0,77.0,0.0
68,180.0,23.0,62.0,0.0,3.0,79.0,88.0,91.0,89.0,51.0,80.0,60.0,0.0,0.0,0.0,0.0,84.0,0.0
72,213.0,35.0,81.0,0.0,2.0,79.0,86.0,89.0,88.0,57.0,88.0,55.0,0.0,0.0,0.0,0.0,85.0,0.0
74,215.0,23.0,31.0,0.0,0.0,79.0,83.0,80.0,82.0,55.0,83.0,50.0,0.0,0.0,0.0,0.0,72.0,0.0
75,225.0,26.0,37.0,0.0,0.0,79.0,84.0,87.0,76.0,60.0,81.0,52.0,0.0,0.0,0.0,0.0,66.0,0.0
72,190.0,31.0,60.0,0.0,1.0,79.0,87.0,91.0,88.0,55.0,85.0,56.0,0.0,0.0,0.0,0.0,90.0,0.0
72,190.0,24.0,48.0,0.0,0.0,79.0,89.0,87.0,87.0,54.0,83.0,58.0,0.0,0.0,0.0,0.0,85.0,0.0
73,197.0,37.0,29.0,0.0,0.0,79.0,81.0,79.0,83.0,57.0,79.0,68.0,0.0,0.0,0.0,0.0,74.0,0.0
71,200.0,26.0,23.0,0.0,0.0,79.0,87.0,82.0,79.0,57.0,74.0,64.0,0.0,0.0,0.0,0.0,79.0,0.0
68,184.0,40.0,103.0,1.0,7.0,79.0,94.0,89.0,83.0,46.0,93.0,52.0,0.0,0.0,0.0,0.0,79.0,0.0
73,198.0,29.0,34.0,0.0,0.0,78.0,82.0,83.0,80.0,59.0,85.0,49.0,0.0,0.0,0.0,0.0,68.0,0.0
74,210.0,28.0,36.0,0.0,0.0,78.0,84.0,77.0,83.0,57.0,82.0,57.0,0.0,0.0,0.0,0.0,71.0,0.0
70,174.0,23.0,38.0,0.0,0.0,78.0,88.0,91.0,87.0,54.0,81.0,54.0,0.0,0.0,0.0,0.0,89.0,0.0
73,216.0,25.0,45.0,0.0,0.0,78.0,83.0,85.0,82.0,63.0,75.0,60.0,0.0,0.0,0.0,0.0,65.0,0.0
74,214.0,26.0,29.0,0.0,0.0,78.0,82.0,85.0,81.0,56.0,79.0,56.0,0.0,0.0,0.0,0.0,77.0,0.0
73,217.0,27.0,0.0,0.0,0.0,78.0,80.0,80.0,80.0,58.0,80.0,54.0,0.0,0.0,0.0,0.0,71.0,0.0
72,190.0,24.0,24.0,0.0,0.0,77.0,88.0,90.0,89.0,52.0,76.0,61.0,0.0,0.0,0.0,0.0,86.0,0.0
69,196.0,30.0,47.0,0.0,0.0,77.0,80.0,78.0,81.0,55.0,81.0,50.0,0.0,0.0,0.0,0.0,78.0,0.0
72,190.0,29.0,18.0,0.0,0.0,77.0,87.0,92.0,89.0,51.0,78.0,63.0,0.0,0.0,0.0,0.0,86.0,0.0
70,180.0,29.0,57.0,0.0,0.0,77.0,89.0,92.0,86.0,44.0,80.0,63.0,0.0,0.0,0.0,0.0,79.0,0.0
73,201.0,27.0,30.0,0.0,0.0,77.0,80.0,81.0,79.0,56.0,82.0,54.0,0.0,0.0,0.0,0.0,60.0,0.0
72,206.0,27.0,47.0,0.0,0.0,77.0,84.0,81.0,81.0,58.0,77.0,55.0,0.0,0.0,0.0,0.0,71.0,0.0
73,190.0,27.0,36.0,0.0,0.0,76.0,88.0,88.0,85.0,41.0,84.0,56.0,0.0,0.0,0.0,0.0,83.0,0.0
70,184.0,33.0,60.0,0.0,0.0,76.0,85.0,86.0,87.0,51.0,87.0,54.0,0.0,0.0,0.0,0.0,84.0,0.0
70,195.0,29.0,30.0,0.0,0.0,76.0,84.0,75.0,81.0,54.0,81.0,57.0,0.0,0.0,0.0,0.0,78.0,0.0
73,210.0,30.0,42.0,0.0,0.0,76.0,81.0,77.0,77.0,54.0,84.0,51.0,0.0,0.0,0.0,0.0,75.0,0.0
71,199.0,28.0,0.0,0.0,0.0,76.0,81.0,82.0,77.0,55.0,75.0,61.0,0.0,0.0,0.0,0.0,74.0,0.0
71,205.0,22.0,0.0,0.0,0.0,75.0,86.0,85.0,83.0,56.0,69.0,57.0,0.0,0.0,0.0,0.0,82.0,0.0
71,190.0,23.0,45.0,0.0,2.0,75.0,89.0,92.0,87.0,49.0,65.0,65.0,0.0,0.0,0.0,0.0,92.0,0.0
73,196.0,29.0,39.0,0.0,0.0,75.0,82.0,80.0,75.0,57.0,70.0,62.0,0.0,0.0,0.0,0.0,70.0,0.0
69,180.0,22.0,9.0,0.0,0.0,75.0,89.0,90.0,93.0,43.0,69.0,68.0,0.0,0.0,0.0,0.0,88.0,0.0
