Height,Weight,Age,wAV,AP1,PB,POVR,PSPD,PACC,PAGI,PSTR,PAWR,PTAK,PPWM,PFNM,PBSH,PPUR,PPRC,PHTP
75,306.0,32.0,97.0,3.0,8.0,83.0,55.0,73.0,50.0,86.0,91.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
74,285.0,29.0,55.0,0.0,0.0,80.0,65.0,69.0,67.0,79.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
73,270.0,31.0,41.0,0.0,0.0,76.0,62.0,64.0,63.0,81.0,83.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
73,280.0,29.0,0.0,0.0,0.0,76.0,59.0,66.0,61.0,85.0,80.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
77,291.0,31.0,35.0,0.0,0.0,76.0,60.0,70.0,52.0,82.0,80.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
77,310.0,37.0,58.0,0.0,0.0,74.0,56.0,56.0,48.0,90.0,76.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
76,270.0,31.0,96.0,1.0,6.0,73.0,63.0,65.0,61.0,78.0,83.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
76,278.0,25.0,12.0,0.0,0.0,71.0,64.0,61.0,64.0,78.0,79.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
73,289.0,31.0,34.0,0.0,0.0,70.0,53.0,64.0,48.0,83.0,71.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
77,275.0,33.0,36.0,0.0,0.0,70.0,60.0,65.0,65.0,76.0,75.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
78,291.0,34.0,34.0,0.0,0.0,69.0,51.0,59.0,50.0,80.0,76.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
77,285.0,30.0,48.0,0.0,0.0,67.0,60.0,58.0,60.0,80.0,77.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
75,270.0,33.0,23.0,0.0,0.0,66.0,48.0,58.0,42.0,82.0,76.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
77,305.0,29.0,22.0,0.0,0.0,66.0,61.0,50.0,64.0,73.0,71.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
73,320.0,35.0,66.0,1.0,3.0,65.0,48.0,46.0,44.0,79.0,84.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
77,265.0,31.0,16.0,0.0,0.0,65.0,61.0,60.0,66.0,76.0,63.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
78,280.0,32.0,38.0,0.0,1.0,63.0,58.0,54.0,63.0,73.0,70.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
78,280.0,32.0,0.0,0.0,0.0,63.0,58.0,54.0,63.0,73.0,70.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
74,272.0,26.0,10.0,0.0,0.0,62.0,58.0,63.0,52.0,77.0,69.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
73,315.0,23.0,12.0,0.0,0.0,62.0,52.0,57.0,50.0,82.0,56.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
76,286.0,26.0,56.0,0.0,0.0,62.0,58.0,51.0,58.0,74.0,65.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
76,286.0,26.0,27.0,0.0,0.0,62.0,58.0,51.0,58.0,74.0,65.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
74,286.0,29.0,6.0,0.0,0.0,61.0,58.0,59.0,51.0,80.0,62.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
78,277.0,30.0,19.0,0.0,0.0,59.0,57.0,57.0,58.0,73.0,65.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
77,280.0,28.0,0.0,0.0,0.0,59.0,56.0,46.0,62.0,71.0,55.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
76,307.0,31.0,38.0,0.0,0.0,58.0,42.0,55.0,47.0,81.0,65.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
76,280.0,31.0,0.0,0.0,0.0,58.0,49.0,54.0,46.0,80.0,68.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
76,257.0,29.0,0.0,0.0,0.0,58.0,57.0,48.0,57.0,70.0,66.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
76,257.0,29.0,7.0,0.0,0.0,58.0,57.0,48.0,57.0,70.0,66.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
73,277.0,33.0,35.0,0.0,0.0,57.0,52.0,51.0,50.0,79.0,60.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
77,310.0,31.0,0.0,0.0,0.0,57.0,40.0,56.0,45.0,80.0,66.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
78,260.0,25.0,0.0,0.0,0.0,57.0,60.0,52.0,62.0,76.0,54.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
