Year,Season_Team,Player_Name,First_Name,Last_Name,Position,Jersey,Age,Height,Weight,College,BirthDate,Years_Pro,Games,Games_Started,AV,Draft_Year,POVR,PID,PAM,Position_Normalized,Position_Group,lookup_key,wAV,AP1,PB
1970,ATL,Billy Lothridge,Billy,Lothridge,P,26.0,28,73,194,Georgia Tech,1/1/1942,6,14,0,1.0,1964.0,0,0,0,P,K,billy_lothridge,16.0,0.0,0.0
1970,ATL,Ken Vinyard,Ken,Vinyard,K,8.0,23,70,190,Texas Tech,6/18/1947,Rook,14,0,-1.0,1969.0,0,0,0,K,K,ken_vinyard,-1.0,0.0,0.0
1970,CHI,Mac Percival,Mac,Percival,K,83.0,30,76,220,Texas Tech,2/26/1940,3,14,0,4.0,,0,0,0,K,K,mac_percival,0.0,0.0,0.0
1970,CHI,Bobby Joe Green,Bobby,Joe Green,P,88.0,34,71,175,Florida,5/7/1936,10,14,0,3.0,1959.0,0,0,0,P,K,bobby_joe green,0.0,0.0,0.0
1970,CIN,Horst Muhlmann,Horst,Muhlmann,K,16.0,30,73,215,,1/2/1940,1,14,0,6.0,,0,0,0,K,K,horst_muhlmann,0.0,0.0,0.0
1970,CLE,Don Cockroft,Don,Cockroft,K,12.0,25,74,195,Adams St.,2/6/1945,2,14,0,5.0,1967.0,0,0,0,K,K,don_cockroft,54.0,0.0,0.0
1970,CLT,David Lee,David,Lee,P,49.0,27,76,230,Louisiana Tech,11/8/1943,4,14,0,3.0,,0,0,0,P,K,david_lee,0.0,0.0,0.0
1970,CLT,Jim O'Brien,Jim,O'Brien,K,80.0,23,72,195,Cincinnati,2/2/1947,Rook,14,0,2.0,1970.0,0,0,0,K,K,jim_o'brien,0.0,0.0,0.0
1970,CLT,Jim O'Brien,Jim,O'Brien,K,80.0,23,72,195,Cincinnati,2/2/1947,Rook,14,0,2.0,1970.0,0,0,0,K,K,jim_o'brien,10.0,0.0,0.0
1970,CRD,Jim Bakken,Jim,Bakken,K,25.0,30,71,200,Wisconsin,11/2/1940,8,14,0,5.0,1962.0,0,0,0,K,K,jim_bakken,51.0,2.0,4.0
1970,DAL,Mike Clark,Mike,Clark,K,83.0,30,73,205,Texas A&M,11/7/1940,7,14,0,3.0,,0,0,0,K,K,mike_clark,0.0,0.0,1.0
1970,DAL,Mike Clark,Mike,Clark,K,83.0,30,73,205,Texas A&M,11/7/1940,7,14,0,3.0,,0,0,0,K,K,mike_clark,2.0,0.0,0.0
1970,DAL,Ron Widby,Ron,Widby,P,10.0,25,76,210,Tennessee,3/9/1945,2,14,0,2.0,1967.0,0,0,0,P,K,ron_widby,13.0,0.0,1.0
1970,DEN,Bobby Howfield,Bobby,Howfield,K,3.0,34,69,180,,12/3/1936,2,14,0,4.0,,0,0,0,K,K,bobby_howfield,0.0,0.0,0.0
1970,DET,Errol Mann,Errol,Mann,K,12.0,29,72,200,North Dakota,6/27/1941,2,14,0,6.0,,0,0,0,K,K,errol_mann,0.0,0.0,0.0
1970,DET,Herman Weaver,Herman,Weaver,P,18.0,22,76,210,Tennessee,11/17/1948,Rook,14,0,2.0,1970.0,0,0,0,P,K,herman_weaver,18.0,0.0,0.0
1970,GNB,Dale Livingston,Dale,Livingston,K,37.0,25,72,210,"Eastern Michigan,Western Michigan",3/12/1945,2,14,0,0.0,1968.0,0,0,0,K,K,dale_livingston,5.0,0.0,0.0
1970,KAN,Jan Stenerud,Jan,Stenerud,K,3.0,28,74,187,Montana St.,11/26/1942,3,14,0,7.0,1966.0,0,0,0,K,K,jan_stenerud,0.0,0.0,0.0
1970,KAN,Jerrel Wilson,Jerrel,Wilson,P,44.0,29,74,222,Southern Miss,10/4/1941,7,14,0,4.0,1963.0,0,0,0,P,K,jerrel_wilson,33.0,0.0,3.0
1970,MIA,Garo Yepremian,Garo,Yepremian,K,1.0,26,68,175,,6/2/1944,4,13,0,7.0,,0,0,0,K,K,garo_yepremian,0.0,0.0,1.0
1970,MIA,Larry Seiple,Larry,Seiple,P,20.0,25,72,214,Kentucky,2/14/1945,3,14,0,3.0,1967.0,0,0,0,P,K,larry_seiple,28.0,0.0,0.0
1970,MIA,Karl Kremser,Karl,Kremser,K,15.0,25,72,175,"Army,Tennessee",8/3/1945,1,1,0,0.0,1969.0,0,0,0,K,K,karl_kremser,3.0,0.0,0.0
1970,MIN,Fred Cox,Fred,Cox,K,14.0,32,71,200,Pittsburgh,12/11/1938,7,14,0,5.0,1961.0,0,0,0,K,K,fred_cox,46.0,0.0,1.0
1970,MIN,Tom McNeill,Tom,McNeill,P,12.0,28,73,195,S.F. Austin,8/12/1942,3,14,0,1.0,,0,0,0,P,K,tom_mcneill,0.0,0.0,0.0
1970,NOR,Tom Dempsey,Tom,Dempsey,K,19.0,23,74,255,Palomar (CA),1/12/1947,1,14,0,3.0,,0,0,0,K,K,tom_dempsey,0.0,0.0,1.0
1970,NOR,Julian Fagan,Julian,Fagan,P,10.0,22,75,205,Mississippi,2/21/1948,Rook,14,0,2.0,1970.0,0,0,0,P,K,julian_fagan,7.0,0.0,0.0
1970,NWE,Gino Cappelletti,Gino,Cappelletti,K,20.0,36,72,190,Minnesota,3/26/1934,10,13,0,0.0,,0,0,0,K,K,gino_cappelletti,0.0,0.0,1.0
1970,NWE,Charlie Gogolak,Charlie,Gogolak,K,7.0,26,70,165,Princeton,12/29/1944,4,6,0,0.0,1966.0,0,0,0,K,K,charlie_gogolak,12.0,0.0,0.0
1970,NYG,Pete Gogolak,Pete,Gogolak,K,3.0,28,73,190,Cornell,4/18/1942,6,14,0,4.0,1964.0,0,0,0,K,K,pete_gogolak,29.0,0.0,1.0
1970,NYG,Bill Johnson,Bill,Johnson,P,36.0,26,74,208,West Alabama,7/9/1944,Rook,11,0,1.0,,0,0,0,P,K,bill_johnson,0.0,0.0,0.0
1970,NYG,Bill Johnson,Bill,Johnson,P,36.0,26,74,208,West Alabama,7/9/1944,Rook,11,0,1.0,,0,0,0,P,K,bill_johnson,0.0,0.0,0.0
1970,NYG,Bill Johnson,Bill,Johnson,P,36.0,26,74,208,West Alabama,7/9/1944,Rook,11,0,1.0,,0,0,0,P,K,bill_johnson,0.0,0.0,0.0
1970,NYG,Bill Johnson,Bill,Johnson,P,36.0,26,74,208,West Alabama,7/9/1944,Rook,11,0,1.0,,0,0,0,P,K,bill_johnson,0.0,0.0,0.0
1970,NYG,Bill Johnson,Bill,Johnson,P,36.0,26,74,208,West Alabama,7/9/1944,Rook,11,0,1.0,,0,0,0,P,K,bill_johnson,0.0,0.0,0.0
