Height,Weight,Age,wAV,AP1,PB,POVR,PKPW,PKAC
71,170.0,36.0,0.0,0.0,1.0,81.0,87.0,88.0
72,180.0,29.0,28.0,0.0,0.0,72.0,86.0,84.0
74,222.0,40.0,51.0,3.0,7.0,72.0,84.0,83.0
74,228.0,37.0,20.0,0.0,0.0,67.0,85.0,80.0
73,195.0,28.0,0.0,0.0,0.0,67.0,90.0,78.0
74,180.0,32.0,0.0,0.0,0.0,64.0,89.0,79.0
70,202.0,38.0,0.0,0.0,0.0,63.0,82.0,79.0
71,190.0,30.0,0.0,0.0,0.0,58.0,77.0,81.0
71,185.0,29.0,18.0,0.0,0.0,56.0,79.0,79.0
71,194.0,33.0,33.0,1.0,0.0,54.0,79.0,79.0
73,195.0,24.0,0.0,0.0,0.0,53.0,84.0,76.0
73,193.0,28.0,0.0,0.0,0.0,53.0,78.0,79.0
73,230.0,25.0,0.0,0.0,0.0,51.0,84.0,74.0
69,179.0,24.0,0.0,0.0,0.0,48.0,82.0,77.0
74,220.0,34.0,0.0,0.0,0.0,42.0,71.0,79.0
72,203.0,26.0,0.0,0.0,0.0,41.0,86.0,70.0
71,178.0,32.0,45.0,1.0,1.0,98.0,89.0,96.0
68,170.0,24.0,17.0,0.0,1.0,97.0,96.0,90.0
70,190.0,27.0,0.0,0.0,0.0,96.0,92.0,93.0
77,235.0,35.0,0.0,0.0,1.0,95.0,95.0,91.0
71,200.0,30.0,43.0,0.0,3.0,94.0,98.0,88.0
72,220.0,30.0,0.0,0.0,0.0,94.0,89.0,93.0
72,197.0,26.0,0.0,0.0,0.0,94.0,89.0,96.0
77,210.0,30.0,0.0,0.0,1.0,93.0,91.0,92.0
77,210.0,30.0,0.0,0.0,0.0,93.0,91.0,92.0
76,217.0,28.0,21.0,0.0,2.0,93.0,93.0,90.0
76,225.0,34.0,29.0,1.0,1.0,89.0,87.0,93.0
74,210.0,27.0,0.0,0.0,0.0,89.0,91.0,90.0
73,200.0,30.0,29.0,1.0,1.0,87.0,88.0,89.0
71,182.0,30.0,48.0,0.0,2.0,87.0,91.0,87.0
67,178.0,28.0,0.0,0.0,1.0,85.0,89.0,89.0
77,220.0,27.0,0.0,0.0,0.0,85.0,89.0,89.0
74,200.0,35.0,0.0,0.0,0.0,83.0,88.0,89.0
73,190.0,26.0,20.0,0.0,0.0,82.0,87.0,89.0
74,199.0,36.0,0.0,0.0,0.0,82.0,86.0,88.0
75,205.0,29.0,25.0,1.0,2.0,82.0,88.0,89.0
71,170.0,36.0,0.0,0.0,1.0,81.0,87.0,88.0
69,170.0,22.0,17.0,0.0,0.0,79.0,87.0,86.0
70,180.0,25.0,0.0,0.0,0.0,79.0,87.0,86.0
70,170.0,25.0,0.0,0.0,0.0,79.0,90.0,85.0
77,215.0,34.0,19.0,0.0,0.0,78.0,91.0,82.0
74,205.0,28.0,0.0,0.0,1.0,78.0,85.0,90.0
70,204.0,23.0,26.0,0.0,0.0,78.0,86.0,87.0
75,219.0,30.0,0.0,0.0,0.0,78.0,86.0,89.0
75,219.0,30.0,0.0,0.0,0.0,78.0,86.0,89.0
74,255.0,22.0,41.0,0.0,1.0,77.0,99.0,79.0
71,179.0,41.0,3.0,0.0,0.0,77.0,84.0,86.0
71,179.0,41.0,51.0,1.0,4.0,77.0,84.0,86.0
71,179.0,41.0,42.0,0.0,1.0,77.0,84.0,86.0
70,198.0,30.0,41.0,0.0,1.0,76.0,87.0,88.0
73,220.0,24.0,44.0,6.0,7.0,76.0,89.0,84.0
72,197.0,31.0,0.0,0.0,0.0,74.0,84.0,84.0
72,197.0,31.0,0.0,0.0,0.0,74.0,84.0,84.0
76,200.0,24.0,0.0,0.0,0.0,73.0,85.0,85.0
72,190.0,32.0,0.0,0.0,0.0,72.0,82.0,85.0
74,212.0,23.0,20.0,0.0,0.0,72.0,88.0,82.0
72,180.0,29.0,28.0,0.0,0.0,72.0,86.0,84.0
74,222.0,40.0,51.0,3.0,7.0,72.0,84.0,83.0
72,200.0,27.0,0.0,0.0,0.0,72.0,87.0,82.0
77,215.0,35.0,0.0,0.0,0.0,71.0,86.0,81.0
71,190.0,25.0,0.0,0.0,0.0,70.0,83.0,86.0
75,229.0,23.0,0.0,0.0,0.0,70.0,82.0,88.0
74,217.0,23.0,18.0,0.0,0.0,69.0,85.0,89.0
74,217.0,23.0,5.0,0.0,0.0,69.0,85.0,89.0
73,232.0,31.0,0.0,0.0,1.0,69.0,83.0,83.0
77,237.0,32.0,0.0,0.0,1.0,69.0,88.0,83.0
71,190.0,30.0,0.0,0.0,0.0,69.0,88.0,81.0
71,190.0,30.0,3.0,0.0,0.0,69.0,88.0,81.0
74,193.0,26.0,0.0,0.0,0.0,68.0,84.0,85.0
70,209.0,27.0,25.0,2.0,3.0,68.0,88.0,80.0
72,215.0,38.0,0.0,0.0,0.0,67.0,81.0,82.0
74,228.0,37.0,20.0,0.0,0.0,67.0,85.0,80.0
73,195.0,28.0,0.0,0.0,0.0,67.0,90.0,78.0
74,200.0,38.0,0.0,0.0,0.0,67.0,77.0,85.0
74,200.0,38.0,25.0,0.0,0.0,67.0,77.0,85.0
73,207.0,34.0,0.0,0.0,1.0,67.0,79.0,87.0
