Year,Season_Team,Player_Name,First_Name,Last_Name,Position,Jersey,Age,Height,Weight,College,BirthDate,Years_Pro,Games,Games_Started,AV,Draft_Year,POVR,PID,PAM,Position_Normalized,Position_Group,lookup_key,wAV,AP1,PB
1970,ATL,Tommy Nobis,Tommy,Nobis,MLB,60.0,27,74,240,Texas,9/20/1943,4,14,14,10.0,1966.0,0,0,0,MLB,LB,tommy_nobis,58.0,1.0,5.0
1970,ATL,Dean Halverson,Dean,Halverson,LB,59.0,24,74,230,Washington,8/24/1946,2,7,0,3.0,1968.0,0,0,0,LB,LB,dean_halverson,16.0,0.0,0.0
1970,ATL,Ron Acks,Ron,Acks,LB,52.0,26,74,214,Illinois,10/3/1944,2,8,2,2.0,1966.0,0,0,0,LB,LB,ron_acks,26.0,0.0,0.0
1970,ATL,Ted Cottrell,Ted,Cottrell,LB,51.0,23,74,233,Delaware Valley,6/13/1947,1,14,1,2.0,1969.0,0,0,0,LB,LB,ted_cottrell,5.0,0.0,0.0
1970,CHI,Dick Butkus,Dick,Butkus,MLB,51.0,28,75,245,Illinois,12/9/1942,5,14,14,13.0,1965.0,0,0,0,MLB,LB,dick_butkus,82.0,5.0,8.0
1970,CHI,Ross Brupbacher,Ross,Brupbacher,LB,31.0,22,75,215,Texas A&M,4/7/1948,Rook,14,0,4.0,1970.0,0,0,0,LB,LB,ross_brupbacher,29.0,0.0,0.0
1970,CHI,Jimmy Gunn,Jimmy,Gunn,LB,30.0,22,73,220,USC,11/27/1948,Rook,14,0,3.0,1970.0,0,0,0,LB,LB,jimmy_gunn,22.0,0.0,0.0
1970,CHI,John Neidert,John,Neidert,LB,63.0,24,74,230,Louisville,6/18/1946,2,3,0,1.0,1968.0,0,0,0,LB,LB,john_neidert,8.0,0.0,0.0
1970,CIN,Bill Bergey,Bill,Bergey,MLB,66.0,25,76,243,Arkansas St.,2/9/1945,1,14,14,8.0,1969.0,0,0,0,MLB,LB,bill_bergey,87.0,2.0,5.0
1970,CIN,Larry Ely,Larry,Ely,LB,59.0,23,73,230,Iowa,12/19/1947,Rook,11,0,3.0,1970.0,0,0,0,LB,LB,larry_ely,10.0,0.0,0.0
1970,CIN,Wayne McClure,Wayne,McClure,LB,65.0,28,73,225,Mississippi,7/2/1942,2,14,0,3.0,1968.0,0,0,0,LB,LB,wayne_mcclure,4.0,0.0,0.0
1970,CIN,Bill Peterson,Bill,Peterson,LB,53.0,25,75,230,San Jose St.,6/6/1945,2,14,1,1.0,,0,0,0,LB,LB,bill_peterson,0.0,0.0,0.0
