Height,Weight,Age,wAV,AP1,PB,POVR,PSPD,PACC,PAGI,PSTR,PAWR,PTAK,PBSH,PPUR,PPRC,PMCV,PZCV,PHTP,PPRS
76,250.0,32.0,67.0,0.0,3.0,80.0,70.0,66.0,70.0,73.0,89.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,245.0,30.0,32.0,0.0,0.0,79.0,73.0,73.0,69.0,74.0,84.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,254.0,33.0,0.0,0.0,0.0,77.0,68.0,69.0,71.0,72.0,86.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,255.0,31.0,34.0,0.0,0.0,76.0,70.0,65.0,67.0,79.0,79.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,251.0,34.0,46.0,0.0,0.0,76.0,70.0,65.0,69.0,79.0,75.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,244.0,30.0,29.0,0.0,0.0,75.0,73.0,63.0,67.0,79.0,78.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,248.0,30.0,32.0,0.0,0.0,73.0,68.0,67.0,74.0,70.0,81.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,248.0,30.0,11.0,0.0,0.0,73.0,68.0,67.0,74.0,70.0,81.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,245.0,29.0,54.0,0.0,1.0,72.0,70.0,70.0,70.0,67.0,79.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,31.0,0.0,0.0,0.0,72.0,69.0,67.0,68.0,75.0,76.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,254.0,29.0,41.0,0.0,1.0,71.0,74.0,63.0,71.0,68.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,240.0,35.0,91.0,1.0,5.0,69.0,70.0,59.0,66.0,64.0,84.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,248.0,32.0,64.0,0.0,0.0,66.0,70.0,63.0,66.0,64.0,78.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,27.0,0.0,0.0,0.0,65.0,70.0,60.0,70.0,68.0,66.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,27.0,0.0,0.0,0.0,65.0,70.0,60.0,70.0,68.0,66.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,27.0,27.0,0.0,0.0,65.0,70.0,60.0,70.0,68.0,66.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
