Year,Season_Team,Player_Name,First_Name,Last_Name,Position,Jersey,Age,Height,Weight,College,BirthDate,Years_Pro,Games,Games_Started,AV,Draft_Year,POVR,PID,PAM,Position_Normalized,Position_Group,lookup_key,wAV,AP1,PB
1970,ATL,Mal Snider,Mal,Snider,LT,67.0,23,76,251,Stanford,4/5/1947,1,14,14,5.0,1969.0,0,0,0,LT,OL,mal_snider,29.0,0.0,0.0
1970,ATL,Jeff Van Note,Jeff,Van Note,C,57.0,24,74,247,Kentucky,2/7/1946,1,14,14,5.0,1969.0,0,0,0,C,OL,jeff_van note,0.0,0.0,0.0
1970,ATL,Dick Enderle,Dick,Enderle,RG,63.0,23,74,250,Minnesota,11/6/1947,1,12,10,4.0,1969.0,0,0,0,RG,OL,dick_enderle,29.0,0.0,0.0
1970,ATL,Andy Maurer,Andy,Maurer,LG,64.0,22,75,265,Oregon,9/30/1948,Rook,14,9,4.0,1970.0,0,0,0,LG,OL,andy_maurer,41.0,0.0,0.0
1970,ATL,George Kunz,George,Kunz,RT,75.0,23,77,257,Notre Dame,7/5/1947,1,9,9,3.0,1969.0,0,0,0,RT,OL,george_kunz,77.0,1.0,7.0
1970,ATL,John Matlock,John,Matlock,C,53.0,26,76,249,Miami (FL),10/19/1944,3,14,0,3.0,,0,0,0,C,OL,john_matlock,0.0,0.0,0.0
1970,ATL,Gary Roberts,Gary,Roberts,RG,62.0,24,74,242,Purdue,11/30/1946,Rook,11,6,3.0,1969.0,0,0,0,RG,OL,gary_roberts,3.0,0.0,0.0
1970,ATL,Bob Breitenstein,Bob,Breitenstein,LT,65.0,27,75,265,Tulsa,4/8/1943,5,7,6,2.0,1965.0,0,0,0,LT,OL,bob_breitenstein,15.0,0.0,0.0
1970,ATL,Dave Hettema,Dave,Hettema,T,68.0,28,77,250,New Mexico,11/7/1942,3,6,0,2.0,1965.0,0,0,0,T,OL,dave_hettema,5.0,0.0,0.0
1970,ATL,Bill Sandeman,Bill,Sandeman,T,61.0,28,78,252,"Delta College,Pacific",11/30/1942,4,6,2,1.0,,0,0,0,T,OL,bill_sandeman,0.0,0.0,0.0
1970,CHI,Bob Hyland,Bob,Hyland,C,50.0,25,77,255,Boston Col.,7/21/1945,3,14,14,6.0,1967.0,0,0,0,C,OL,bob_hyland,34.0,0.0,0.0
1970,CHI,Wayne Mass,Wayne,Mass,RT,74.0,24,76,240,Clemson,3/11/1946,2,14,14,6.0,1968.0,0,0,0,RT,OL,wayne_mass,15.0,0.0,0.0
1970,CHI,Jim Cadile,Jim,Cadile,RG,72.0,30,76,240,San Jose St.,7/16/1940,8,12,12,5.0,1962.0,0,0,0,RG,OL,jim_cadile,41.0,0.0,0.0
1970,CHI,Glen Holloway,Glen,Holloway,LG,61.0,22,75,250,North Texas,9/16/1948,Rook,14,9,4.0,1970.0,0,0,0,LG,OL,glen_holloway,19.0,0.0,0.0
1970,CHI,Randy Jackson,Randy,Jackson,LT,65.0,26,77,250,Florida,3/6/1944,3,10,10,4.0,1966.0,0,0,0,LT,OL,randy_jackson,32.0,0.0,0.0
1970,CHI,Randy Jackson,Randy,Jackson,LT,65.0,26,77,250,Florida,3/6/1944,3,10,10,4.0,1966.0,0,0,0,LT,OL,randy_jackson,1.0,0.0,0.0
1970,CHI,Jeff Curchin,Jeff,Curchin,T,70.0,23,79,260,Florida St.,12/17/1947,Rook,14,4,3.0,1970.0,0,0,0,T,OL,jeff_curchin,5.0,0.0,0.0
1970,CHI,Howard Mudd,Howard,Mudd,LG,68.0,28,74,254,"Michigan St.,Hillsdale",2/10/1942,6,10,7,3.0,1964.0,0,0,0,LG,OL,howard_mudd,39.0,1.0,3.0
1970,CHI,Ted Wheeler,Ted,Wheeler,T,69.0,25,75,245,West Texas A&M,9/16/1945,3,6,0,3.0,1967.0,0,0,0,T,OL,ted_wheeler,7.0,0.0,0.0
1970,CIN,Bob Johnson,Bob,Johnson,C,54.0,24,77,262,Tennessee,8/19/1946,2,14,14,8.0,1968.0,0,0,0,C,OL,bob_johnson,0.0,0.0,0.0
1970,CIN,Bob Johnson,Bob,Johnson,C,54.0,24,77,262,Tennessee,8/19/1946,2,14,14,8.0,1968.0,0,0,0,C,OL,bob_johnson,0.0,0.0,0.0
1970,CIN,Bob Johnson,Bob,Johnson,C,54.0,24,77,262,Tennessee,8/19/1946,2,14,14,8.0,1968.0,0,0,0,C,OL,bob_johnson,0.0,0.0,0.0
1970,CIN,Bob Johnson,Bob,Johnson,C,54.0,24,77,262,Tennessee,8/19/1946,2,14,14,8.0,1968.0,0,0,0,C,OL,bob_johnson,62.0,0.0,1.0
1970,CIN,Bob Johnson,Bob,Johnson,C,54.0,24,77,262,Tennessee,8/19/1946,2,14,14,8.0,1968.0,0,0,0,C,OL,bob_johnson,0.0,0.0,0.0
1970,CIN,Rufus Mayes,Rufus,Mayes,LG,71.0,23,77,260,Ohio St.,12/5/1947,1,14,14,8.0,1969.0,0,0,0,LG,OL,rufus_mayes,53.0,0.0,0.0
1970,CIN,Ernie Wright,Ernie,Wright,LT,75.0,31,76,270,Ohio St.,11/6/1939,10,14,14,8.0,1961.0,0,0,0,LT,OL,ernie_wright,0.0,0.0,1.0
1970,CIN,Ernie Wright,Ernie,Wright,LT,75.0,31,76,270,Ohio St.,11/6/1939,10,14,14,8.0,1961.0,0,0,0,LT,OL,ernie_wright,61.0,0.0,3.0
1970,CIN,Mike Wilson,Mike,Wilson,RT,67.0,23,75,245,Dayton,10/20/1947,1,14,12,7.0,1969.0,0,0,0,RT,OL,mike_wilson,12.0,0.0,0.0
1970,CIN,Mike Wilson,Mike,Wilson,RT,67.0,23,75,245,Dayton,10/20/1947,1,14,12,7.0,1969.0,0,0,0,RT,OL,mike_wilson,73.0,0.0,0.0
1970,CIN,Mike Wilson,Mike,Wilson,RT,67.0,23,75,245,Dayton,10/20/1947,1,14,12,7.0,1969.0,0,0,0,RT,OL,mike_wilson,22.0,0.0,0.0
1970,CIN,Pat Matson,Pat,Matson,RG,73.0,26,73,245,Oregon,7/22/1944,4,14,9,6.0,,0,0,0,RG,OL,pat_matson,0.0,0.0,0.0
1970,CIN,Guy Dennis,Guy,Dennis,RG,63.0,23,74,255,Florida,2/28/1947,1,14,5,4.0,1969.0,0,0,0,RG,OL,guy_dennis,21.0,0.0,0.0
1970,CIN,Howard Fest,Howard,Fest,T,72.0,24,78,262,Texas,4/11/1946,2,14,2,2.0,1968.0,0,0,0,T,OL,howard_fest,48.0,0.0,0.0
1970,CLE,Gene Hickerson,Gene,Hickerson,RG,66.0,35,75,248,Mississippi,2/15/1935,12,14,14,8.0,1957.0,0,0,0,RG,OL,gene_hickerson,88.0,3.0,6.0
1970,CLE,John Demarie,John,Demarie,LG,65.0,25,75,246,LSU,8/28/1945,3,14,14,6.0,1967.0,0,0,0,LG,OL,john_demarie,43.0,0.0,0.0
1970,CLE,Fred Hoaglin,Fred,Hoaglin,C,54.0,26,76,250,Pittsburgh,1/28/1944,4,14,14,6.0,1966.0,0,0,0,C,OL,fred_hoaglin,42.0,0.0,1.0
1970,CLE,Dick Schafrath,Dick,Schafrath,LT,77.0,33,75,253,Ohio St.,3/21/1937,11,14,14,6.0,1959.0,0,0,0,LT,OL,dick_schafrath,94.0,3.0,6.0
1970,CLE,Joe Taffoni,Joe,Taffoni,RT,62.0,25,75,255,"West Virginia,UT Martin",3/27/1945,3,14,14,6.0,1967.0,0,0,0,RT,OL,joe_taffoni,25.0,0.0,0.0
1970,CLE,Jim Copeland,Jim,Copeland,G,64.0,25,75,243,Virginia,3/5/1945,3,14,0,3.0,1967.0,0,0,0,G,OL,jim_copeland,18.0,0.0,0.0
1970,CLE,Bob McKay,Bob,McKay,T,78.0,23,77,260,Texas,12/27/1947,Rook,8,0,3.0,1970.0,0,0,0,T,OL,bob_mckay,36.0,0.0,0.0
1970,CLE,Chuck Reynolds,Chuck,Reynolds,C,55.0,24,74,240,"TCU,Tulsa",10/5/1946,1,14,0,3.0,1969.0,0,0,0,C,OL,chuck_reynolds,6.0,0.0,0.0
1970,CLE,Al Jenkins,Al,Jenkins,T,60.0,24,74,245,"Southern Illinois,Tulsa",7/15/1946,1,5,0,2.0,1969.0,0,0,0,T,OL,al_jenkins,10.0,0.0,0.0
1970,CLT,Dan Sullivan,Dan,Sullivan,RT,71.0,31,75,250,Boston Col.,9/1/1939,8,14,14,9.0,1962.0,0,0,0,RT,OL,dan_sullivan,52.0,0.0,0.0
1970,CLT,Bob Vogel,Bob,Vogel,LT,72.0,29,77,250,Ohio St.,9/23/1941,7,14,14,9.0,1963.0,0,0,0,LT,OL,bob_vogel,78.0,0.0,5.0
1970,CLT,John Williams,John,Williams,RG,75.0,25,75,256,Minnesota,10/27/1945,2,14,14,9.0,1968.0,0,0,0,RG,OL,john_williams,0.0,0.0,0.0
1970,CLT,John Williams,John,Williams,RG,75.0,25,75,256,Minnesota,10/27/1945,2,14,14,9.0,1968.0,0,0,0,RG,OL,john_williams,59.0,0.0,0.0
1970,CLT,John Williams,John,Williams,RG,75.0,25,75,256,Minnesota,10/27/1945,2,14,14,9.0,1968.0,0,0,0,RG,OL,john_williams,65.0,0.0,2.0
1970,CLT,John Williams,John,Williams,RG,75.0,25,75,256,Minnesota,10/27/1945,2,14,14,9.0,1968.0,0,0,0,RG,OL,john_williams,0.0,0.0,0.0
1970,CLT,Bill Curry,Bill,Curry,C,50.0,28,75,235,Georgia Tech,10/21/1942,5,14,12,8.0,1964.0,0,0,0,C,OL,bill_curry,0.0,0.0,0.0
1970,CLT,Bill Curry,Bill,Curry,C,50.0,28,75,235,Georgia Tech,10/21/1942,5,14,12,8.0,1964.0,0,0,0,C,OL,bill_curry,47.0,0.0,2.0
1970,CLT,Glenn Ressler,Glenn,Ressler,LG,62.0,27,75,250,Penn St.,5/21/1943,5,13,11,7.0,1965.0,0,0,0,LG,OL,glenn_ressler,47.0,0.0,0.0
1970,CLT,Cornelius Johnson,Cornelius,Johnson,G,61.0,27,74,245,Virginia Union,6/12/1943,2,14,2,3.0,1967.0,0,0,0,G,OL,cornelius_johnson,18.0,0.0,0.0
1970,CLT,Cornelius Johnson,Cornelius,Johnson,G,61.0,27,74,245,Virginia Union,6/12/1943,2,14,2,3.0,1967.0,0,0,0,G,OL,cornelius_johnson,0.0,0.0,0.0
1970,CLT,Sam Ball,Sam,Ball,T,73.0,26,76,250,Kentucky,6/1/1944,4,12,2,2.0,1966.0,0,0,0,T,OL,sam_ball,25.0,0.0,0.0
1970,CLT,Tom Goode,Tom,Goode,C,54.0,32,75,245,"East Mississippi CC,Mississippi St.",12/1/1938,8,1,0,1.0,1961.0,0,0,0,C,OL,tom_goode,34.0,0.0,1.0
1970,CLT,Dennis Nelson,Dennis,Nelson,T,68.0,24,77,260,Illinois St.,2/2/1946,Rook,6,1,1.0,1969.0,0,0,0,T,OL,dennis_nelson,21.0,0.0,0.0
1970,CRD,Ernie McMillan,Ernie,McMillan,RT,73.0,32,77,275,Illinois,2/21/1938,9,14,14,10.0,1961.0,0,0,0,RT,OL,ernie_mcmillan,71.0,0.0,4.0
1970,CRD,Irv Goode,Irv,Goode,LG,55.0,30,77,255,Kentucky,10/12/1940,8,14,14,8.0,1962.0,0,0,0,LG,OL,irv_goode,58.0,0.0,2.0
1970,CRD,Wayne Mulligan,Wayne,Mulligan,C,50.0,23,75,250,Clemson,5/5/1947,1,14,14,8.0,1969.0,0,0,0,C,OL,wayne_mulligan,32.0,0.0,0.0
1970,CRD,Bob Reynolds,Bob,Reynolds,LT,71.0,31,77,265,Bowling Green,1/22/1939,7,14,14,8.0,1963.0,0,0,0,LT,OL,bob_reynolds,0.0,0.0,0.0
1970,CRD,Bob Reynolds,Bob,Reynolds,LT,71.0,31,77,265,Bowling Green,1/22/1939,7,14,14,8.0,1963.0,0,0,0,LT,OL,bob_reynolds,51.0,0.0,3.0
1970,CRD,Clyde Williams,Clyde,Williams,RG,63.0,30,75,250,Southern,7/27/1940,3,14,14,8.0,,0,0,0,RG,OL,clyde_williams,0.0,0.0,0.0
1970,CRD,Vern Emerson,Vern,Emerson,T,76.0,25,77,260,Minnesota-Duluth,9/2/1945,1,14,0,4.0,1968.0,0,0,0,T,OL,vern_emerson,8.0,0.0,0.0
1970,CRD,Mike LaHood,Mike,LaHood,G,66.0,26,75,250,Wyoming,12/11/1944,1,14,0,4.0,1968.0,0,0,0,G,OL,mike_lahood,13.0,0.0,0.0
1970,CRD,Chuck Hutchison,Chuck,Hutchison,G,65.0,22,75,250,Ohio St.,11/17/1948,Rook,7,0,3.0,1970.0,0,0,0,G,OL,chuck_hutchison,14.0,0.0,0.0
1970,DAL,John Niland,John,Niland,LG,76.0,26,75,245,Iowa,2/29/1944,4,14,12,10.0,1966.0,0,0,0,LG,OL,john_niland,76.0,3.0,6.0
1970,DAL,Dave Manders,Dave,Manders,C,51.0,29,74,250,Michigan St.,2/20/1941,6,14,14,9.0,,0,0,0,C,OL,dave_manders,0.0,0.0,1.0
1970,DAL,Rayfield Wright,Rayfield,Wright,RT,70.0,25,78,255,Fort Valley St.,8/23/1945,3,14,14,9.0,1967.0,0,0,0,RT,OL,rayfield_wright,83.0,3.0,6.0
1970,DAL,Blaine Nye,Blaine,Nye,RG,61.0,24,76,251,Stanford,3/29/1946,2,14,12,8.0,1968.0,0,0,0,RG,OL,blaine_nye,55.0,0.0,2.0
1970,DAL,Tony Liscio,Tony,Liscio,LT,72.0,30,77,264,Tulsa,7/2/1940,7,11,7,5.0,1963.0,0,0,0,LT,OL,tony_liscio,42.0,0.0,0.0
1970,DAL,Bob Asher,Bob,Asher,C,78.0,22,77,250,Vanderbilt,6/13/1948,Rook,6,0,4.0,1970.0,0,0,0,C,OL,bob_asher,19.0,0.0,0.0
1970,DAL,Halvor Hagen,Halvor,Hagen,C,64.0,23,77,245,Weber St.,2/4/1947,1,6,0,4.0,1969.0,0,0,0,C,OL,halvor_hagen,22.0,0.0,0.0
1970,DEN,Mike Current,Mike,Current,RT,74.0,25,77,274,Ohio St.,9/17/1945,3,14,14,7.0,1967.0,0,0,0,RT,OL,mike_current,61.0,0.0,1.0
1970,DEN,George Goeddeke,George,Goeddeke,LG,67.0,25,75,253,Notre Dame,7/29/1945,3,14,14,7.0,1967.0,0,0,0,LG,OL,george_goeddeke,25.0,0.0,1.0
1970,DEN,Larry Kaminski,Larry,Kaminski,C,59.0,25,74,245,Purdue,1/6/1945,4,14,14,7.0,,0,0,0,C,OL,larry_kaminski,0.0,0.0,1.0
1970,DEN,Sam Brunelli,Sam,Brunelli,LT,72.0,27,74,270,Colorado St.,12/13/1943,4,13,12,6.0,,0,0,0,LT,OL,sam_brunelli,0.0,0.0,0.0
1970,DEN,Bob Young,Bob,Young,RG,60.0,28,73,270,"Texas,Texas St.,Howard Payne",9/3/1942,4,14,12,6.0,1964.0,0,0,0,RG,OL,bob_young,0.0,0.0,0.0
1970,DEN,Bob Young,Bob,Young,RG,60.0,28,73,270,"Texas,Texas St.,Howard Payne",9/3/1942,4,14,12,6.0,1964.0,0,0,0,RG,OL,bob_young,57.0,1.0,2.0
1970,DEN,Bob Young,Bob,Young,RG,60.0,28,73,270,"Texas,Texas St.,Howard Payne",9/3/1942,4,14,12,6.0,1964.0,0,0,0,RG,OL,bob_young,0.0,0.0,0.0
1970,DEN,Mike Schnitker,Mike,Schnitker,G,64.0,24,75,245,Colorado,12/30/1946,1,14,2,2.0,1969.0,0,0,0,G,OL,mike_schnitker,19.0,0.0,0.0
1970,DEN,Steve Alexakos,Steve,Alexakos,G,68.0,24,74,250,"Arizona St.,San Jose St.",12/15/1946,Rook,8,1,1.0,1969.0,0,0,0,G,OL,steve_alexakos,4.0,0.0,0.0
1970,DEN,Jay Bachman,Jay,Bachman,C,56.0,25,75,250,Cincinnati,12/8/1945,2,11,1,1.0,1967.0,0,0,0,C,OL,jay_bachman,9.0,0.0,0.0
1970,DET,Ed Flanagan,Ed,Flanagan,C,54.0,26,75,245,Purdue,2/23/1944,5,14,14,10.0,1965.0,0,0,0,C,OL,ed_flanagan,64.0,0.0,4.0
