Height,Weight,Age,wAV,AP1,PB,POVR,PSPD,PACC,PAGI,PSTR,PAWR,PRBK,PPBK,PIBL,PRBP,PRBF,PPBP,PPBF,PLDB
77,291.0,34.0,0.0,0.0,1.0,89.0,49.0,62.0,54.0,92.0,92.0,95.0,86.0,0.0,0,0,0,0,0
77,291.0,34.0,8.0,0.0,0.0,89.0,49.0,62.0,54.0,92.0,92.0,95.0,86.0,0.0,0,0,0,0,0
78,311.0,31.0,69.0,2.0,4.0,89.0,54.0,64.0,55.0,98.0,94.0,94.0,84.0,0.0,0,0,0,0,0
74,292.0,35.0,96.0,6.0,7.0,86.0,49.0,58.0,58.0,89.0,92.0,90.0,85.0,0.0,0,0,0,0,0
76,295.0,34.0,82.0,0.0,6.0,85.0,41.0,56.0,52.0,90.0,92.0,92.0,88.0,0.0,0,0,0,0,0
79,330.0,35.0,73.0,0.0,3.0,83.0,43.0,47.0,48.0,95.0,88.0,88.0,82.0,0.0,0,0,0,0,0
76,282.0,32.0,52.0,0.0,3.0,80.0,52.0,50.0,55.0,84.0,85.0,85.0,83.0,0.0,0,0,0,0,0
79,323.0,28.0,22.0,0.0,0.0,76.0,47.0,47.0,51.0,92.0,79.0,85.0,76.0,0.0,0,0,0,0,0
75,318.0,33.0,69.0,0.0,3.0,75.0,46.0,50.0,51.0,87.0,88.0,79.0,78.0,0.0,0,0,0,0,0
74,320.0,31.0,0.0,0.0,0.0,75.0,47.0,49.0,50.0,89.0,79.0,82.0,79.0,0.0,0,0,0,0,0
78,320.0,29.0,33.0,0.0,0.0,74.0,48.0,48.0,53.0,91.0,79.0,81.0,77.0,0.0,0,0,0,0,0
77,296.0,30.0,35.0,0.0,0.0,74.0,47.0,50.0,53.0,88.0,81.0,79.0,79.0,0.0,0,0,0,0,0
76,315.0,30.0,56.0,0.0,0.0,74.0,48.0,50.0,50.0,91.0,78.0,78.0,80.0,0.0,0,0,0,0,0
78,300.0,32.0,36.0,0.0,0.0,72.0,40.0,51.0,52.0,86.0,79.0,81.0,80.0,0.0,0,0,0,0,0
78,300.0,32.0,0.0,0.0,0.0,72.0,40.0,51.0,52.0,86.0,79.0,81.0,80.0,0.0,0,0,0,0,0
78,371.0,31.0,41.0,0.0,0.0,71.0,48.0,51.0,50.0,89.0,79.0,74.0,79.0,0.0,0,0,0,0,0
77,315.0,33.0,0.0,0.0,0.0,68.0,45.0,46.0,46.0,83.0,77.0,80.0,77.0,0.0,0,0,0,0,0
77,315.0,33.0,0.0,0.0,0.0,68.0,45.0,46.0,46.0,83.0,77.0,80.0,77.0,0.0,0,0,0,0,0
77,315.0,33.0,27.0,0.0,0.0,68.0,45.0,46.0,46.0,83.0,77.0,80.0,77.0,0.0,0,0,0,0,0
77,315.0,33.0,32.0,0.0,0.0,68.0,45.0,46.0,46.0,83.0,77.0,80.0,77.0,0.0,0,0,0,0,0
77,315.0,33.0,34.0,0.0,0.0,68.0,45.0,46.0,46.0,83.0,77.0,80.0,77.0,0.0,0,0,0,0,0
77,310.0,27.0,11.0,0.0,0.0,67.0,46.0,45.0,49.0,90.0,69.0,77.0,77.0,0.0,0,0,0,0,0
77,300.0,30.0,0.0,0.0,0.0,66.0,40.0,43.0,45.0,86.0,70.0,81.0,75.0,0.0,0,0,0,0,0
78,354.0,25.0,24.0,0.0,0.0,66.0,40.0,48.0,43.0,92.0,72.0,74.0,77.0,0.0,0,0,0,0,0
78,325.0,34.0,0.0,0.0,0.0,66.0,34.0,47.0,43.0,90.0,75.0,77.0,73.0,0.0,0,0,0,0,0
78,298.0,33.0,60.0,0.0,0.0,65.0,44.0,45.0,49.0,84.0,80.0,71.0,74.0,0.0,0,0,0,0,0
77,315.0,27.0,0.0,0.0,0.0,65.0,38.0,52.0,48.0,87.0,69.0,75.0,76.0,0.0,0,0,0,0,0
77,315.0,27.0,23.0,0.0,0.0,65.0,38.0,52.0,48.0,87.0,69.0,75.0,76.0,0.0,0,0,0,0,0
76,304.0,26.0,0.0,0.0,0.0,62.0,43.0,46.0,47.0,83.0,65.0,76.0,71.0,0.0,0,0,0,0,0
77,300.0,24.0,0.0,0.0,0.0,61.0,46.0,48.0,50.0,79.0,66.0,75.0,68.0,0.0,0,0,0,0,0
77,300.0,23.0,0.0,0.0,0.0,61.0,51.0,55.0,50.0,82.0,56.0,75.0,75.0,0.0,0,0,0,0,0
78,305.0,27.0,6.0,0.0,0.0,61.0,38.0,51.0,46.0,86.0,67.0,72.0,71.0,0.0,0,0,0,0,0
77,305.0,31.0,18.0,0.0,0.0,60.0,40.0,49.0,45.0,85.0,68.0,74.0,67.0,0.0,0,0,0,0,0
78,295.0,26.0,7.0,0.0,0.0,58.0,38.0,52.0,50.0,82.0,55.0,78.0,71.0,0.0,0,0,0,0,0
74,291.0,24.0,0.0,0.0,0.0,55.0,40.0,42.0,41.0,81.0,48.0,75.0,71.0,0.0,0,0,0,0,0
76,315.0,29.0,1.0,0.0,0.0,54.0,35.0,44.0,45.0,81.0,62.0,67.0,70.0,0.0,0,0,0,0,0
77,358.0,24.0,0.0,0.0,0.0,54.0,39.0,44.0,45.0,84.0,65.0,72.0,75.0,0.0,0,0,0,0,0
76,283.0,27.0,14.0,0.0,0.0,53.0,38.0,39.0,41.0,76.0,66.0,72.0,64.0,0.0,0,0,0,0,0
74,318.0,30.0,15.0,0.0,0.0,53.0,40.0,41.0,45.0,79.0,65.0,68.0,67.0,0.0,0,0,0,0,0
76,300.0,31.0,9.0,0.0,0.0,50.0,42.0,44.0,43.0,80.0,62.0,66.0,62.0,0.0,0,0,0,0,0
77,315.0,27.0,0.0,0.0,0.0,50.0,32.0,47.0,46.0,82.0,56.0,66.0,65.0,0.0,0,0,0,0,0
73,288.0,24.0,0.0,0.0,0.0,42.0,40.0,40.0,45.0,81.0,48.0,58.0,60.0,0.0,0,0,0,0,0
75,301.0,23.0,0.0,0.0,0.0,40.0,35.0,36.0,39.0,74.0,47.0,66.0,57.0,0.0,0,0,0,0,0
73,295.0,27.0,12.0,0.0,0.0,33.0,40.0,40.0,40.0,76.0,49.0,50.0,50.0,0.0,0,0,0,0,0
80,335.0,26.0,95.0,4.0,11.0,99.0,57.0,67.0,58.0,98.0,98.0,99.0,94.0,0.0,0,0,0,0,0
79,318.0,28.0,66.0,3.0,5.0,97.0,56.0,67.0,58.0,99.0,96.0,95.0,96.0,0.0,0,0,0,0,0
79,320.0,24.0,104.0,3.0,7.0,97.0,56.0,67.0,59.0,95.0,96.0,94.0,98.0,0.0,0,0,0,0,0
75,321.0,28.0,113.0,2.0,12.0,96.0,55.0,56.0,59.0,96.0,95.0,95.0,92.0,0.0,0,0,0,0,0
75,326.0,28.0,0.0,0.0,0.0,96.0,53.0,57.0,55.0,98.0,92.0,98.0,92.0,0.0,0,0,0,0,0
75,326.0,28.0,101.0,6.0,11.0,96.0,53.0,57.0,55.0,98.0,92.0,98.0,92.0,0.0,0,0,0,0,0
74,286.0,29.0,102.0,2.0,5.0,95.0,58.0,55.0,60.0,94.0,93.0,97.0,90.0,0.0,0,0,0,0,0
77,312.0,30.0,111.0,4.0,11.0,95.0,55.0,65.0,58.0,97.0,97.0,93.0,93.0,0.0,0,0,0,0,0
76,305.0,29.0,108.0,3.0,8.0,94.0,56.0,57.0,59.0,96.0,93.0,93.0,93.0,0.0,0,0,0,0,0
79,320.0,26.0,79.0,0.0,1.0,93.0,56.0,63.0,58.0,92.0,93.0,93.0,94.0,0.0,0,0,0,0,0
75,304.0,28.0,78.0,0.0,9.0,92.0,50.0,57.0,55.0,97.0,92.0,94.0,91.0,0.0,0,0,0,0,0
74,326.0,29.0,41.0,0.0,1.0,91.0,54.0,53.0,55.0,94.0,91.0,93.0,89.0,0.0,0,0,0,0,0
74,285.0,31.0,62.0,0.0,3.0,90.0,55.0,57.0,57.0,92.0,94.0,89.0,89.0,0.0,0,0,0,0,0
77,305.0,39.0,138.0,7.0,14.0,90.0,45.0,56.0,49.0,90.0,94.0,94.0,90.0,0.0,0,0,0,0,0
75,287.0,35.0,129.0,7.0,12.0,89.0,45.0,49.0,49.0,93.0,95.0,89.0,92.0,0.0,0,0,0,0,0
77,291.0,34.0,0.0,0.0,1.0,89.0,49.0,62.0,54.0,92.0,92.0,95.0,86.0,0.0,0,0,0,0,0
77,291.0,34.0,8.0,0.0,0.0,89.0,49.0,62.0,54.0,92.0,92.0,95.0,86.0,0.0,0,0,0,0,0
78,311.0,31.0,69.0,2.0,4.0,89.0,54.0,64.0,55.0,98.0,94.0,94.0,84.0,0.0,0,0,0,0,0
79,312.0,26.0,53.0,0.0,0.0,89.0,52.0,65.0,58.0,92.0,85.0,90.0,95.0,0.0,0,0,0,0,0
76,295.0,33.0,102.0,2.0,8.0,89.0,49.0,54.0,54.0,92.0,93.0,94.0,86.0,0.0,0,0,0,0,0
77,299.0,26.0,51.0,0.0,0.0,88.0,53.0,62.0,56.0,92.0,86.0,88.0,94.0,0.0,0,0,0,0,0
77,315.0,28.0,71.0,0.0,1.0,88.0,52.0,62.0,54.0,92.0,90.0,88.0,92.0,0.0,0,0,0,0,0
78,335.0,29.0,74.0,1.0,3.0,88.0,53.0,60.0,54.0,93.0,90.0,95.0,86.0,0.0,0,0,0,0,0
76,300.0,29.0,78.0,0.0,2.0,88.0,53.0,54.0,56.0,93.0,91.0,87.0,90.0,0.0,0,0,0,0,0
76,315.0,30.0,54.0,0.0,1.0,88.0,51.0,56.0,54.0,96.0,93.0,92.0,92.0,0.0,0,0,0,0,0
74,281.0,26.0,51.0,0.0,0.0,87.0,50.0,52.0,55.0,89.0,90.0,91.0,87.0,0.0,0,0,0,0,0
79,349.0,25.0,72.0,0.0,3.0,87.0,49.0,62.0,54.0,94.0,84.0,92.0,90.0,0.0,0,0,0,0,0
75,306.0,29.0,71.0,0.0,2.0,87.0,51.0,64.0,55.0,90.0,87.0,95.0,87.0,0.0,0,0,0,0,0
78,315.0,33.0,102.0,2.0,7.0,86.0,51.0,62.0,53.0,91.0,91.0,87.0,91.0,0.0,0,0,0,0,0
77,340.0,25.0,93.0,3.0,4.0,86.0,51.0,60.0,54.0,92.0,87.0,92.0,87.0,0.0,0,0,0,0,0
74,292.0,35.0,96.0,6.0,7.0,86.0,49.0,58.0,58.0,89.0,92.0,90.0,85.0,0.0,0,0,0,0,0
75,305.0,36.0,66.0,0.0,1.0,86.0,51.0,53.0,56.0,92.0,92.0,84.0,88.0,0.0,0,0,0,0,0
74,321.0,29.0,0.0,0.0,0.0,86.0,53.0,54.0,54.0,93.0,88.0,90.0,85.0,0.0,0,0,0,0,0
76,295.0,34.0,82.0,0.0,6.0,85.0,41.0,56.0,52.0,90.0,92.0,92.0,88.0,0.0,0,0,0,0,0
78,316.0,29.0,75.0,0.0,2.0,85.0,54.0,64.0,56.0,92.0,89.0,84.0,87.0,0.0,0,0,0,0,0
78,302.0,24.0,55.0,0.0,0.0,85.0,53.0,58.0,57.0,92.0,84.0,88.0,88.0,0.0,0,0,0,0,0
77,300.0,26.0,98.0,4.0,9.0,85.0,50.0,64.0,56.0,90.0,87.0,86.0,89.0,0.0,0,0,0,0,0
77,335.0,24.0,87.0,0.0,3.0,84.0,46.0,57.0,53.0,92.0,85.0,87.0,90.0,0.0,0,0,0,0,0
76,310.0,29.0,42.0,0.0,0.0,84.0,52.0,59.0,54.0,91.0,87.0,88.0,86.0,0.0,0,0,0,0,0
75,319.0,22.0,59.0,0.0,1.0,84.0,55.0,57.0,57.0,92.0,86.0,84.0,86.0,0.0,0,0,0,0,0
75,315.0,27.0,54.0,1.0,1.0,84.0,49.0,50.0,53.0,87.0,90.0,88.0,89.0,0.0,0,0,0,0,0
76,335.0,26.0,45.0,0.0,1.0,84.0,49.0,60.0,52.0,91.0,89.0,89.0,86.0,0.0,0,0,0,0,0
76,300.0,29.0,0.0,0.0,0.0,83.0,51.0,55.0,55.0,94.0,78.0,86.0,86.0,0.0,0,0,0,0,0
79,330.0,35.0,73.0,0.0,3.0,83.0,43.0,47.0,48.0,95.0,88.0,88.0,82.0,0.0,0,0,0,0,0
77,300.0,24.0,52.0,1.0,0.0,83.0,45.0,54.0,51.0,88.0,85.0,90.0,89.0,0.0,0,0,0,0,0
75,289.0,30.0,0.0,0.0,0.0,82.0,50.0,59.0,53.0,90.0,84.0,88.0,87.0,0.0,0,0,0,0,0
76,300.0,31.0,48.0,0.0,0.0,82.0,55.0,63.0,57.0,90.0,82.0,89.0,83.0,0.0,0,0,0,0,0
77,292.0,27.0,63.0,0.0,0.0,82.0,45.0,49.0,55.0,90.0,87.0,85.0,88.0,0.0,0,0,0,0,0
