Year,Season_Team,Player_Name,First_Name,Last_Name,Position,Jersey,Age,Height,Weight,College,BirthDate,Years_Pro,Games,Games_Started,AV,Draft_Year,POVR,PID,PAM,Position_Normalized,Position_Group,lookup_key,wAV,AP1,PB
1970,ATL,Bob Berry,Bob,Berry,QB,17.0,28,71,185,Oregon,3/10/1942,5,12,12,7.0,1964.0,0,0,0,QB,QB,bob_berry,38.0,0.0,1.0
1970,ATL,Randy Johnson,Randy,Johnson,QB,12.0,26,75,205,Texas A&M-Kingsville,6/17/1944,4,4,2,2.0,1966.0,0,0,0,QB,QB,randy_johnson,24.0,0.0,0.0
1970,ATL,Randy Johnson,Randy,Johnson,QB,12.0,26,75,205,Texas A&M-Kingsville,6/17/1944,4,4,2,2.0,1966.0,0,0,0,QB,QB,randy_johnson,2.0,0.0,0.0
1970,CHI,Jack Concannon,Jack,Concannon,QB,11.0,27,75,205,Boston Col.,2/25/1943,6,14,13,10.0,1964.0,0,0,0,QB,QB,jack_concannon,26.0,0.0,0.0
1970,CHI,Bobby Douglass,Bobby,Douglass,QB,10.0,23,76,225,Kansas,6/22/1947,1,3,1,1.0,1969.0,0,0,0,QB,QB,bobby_douglass,37.0,0.0,0.0
1970,CHI,Kent Nix,Kent,Nix,QB,16.0,26,74,195,TCU,3/12/1944,3,1,0,0.0,,0,0,0,QB,QB,kent_nix,0.0,0.0,0.0
1970,CIN,Virgil Carter,Virgil,Carter,QB,11.0,25,73,192,BYU,11/9/1945,2,13,11,11.0,1967.0,0,0,0,QB,QB,virgil_carter,26.0,0.0,0.0
1970,CIN,Dave Lewis,Dave,Lewis,QB,15.0,25,74,216,Stanford,10/16/1945,1,14,0,5.0,1967.0,0,0,0,QB,QB,dave_lewis,13.0,1.0,0.0
1970,CIN,Dave Lewis,Dave,Lewis,QB,15.0,25,74,216,Stanford,10/16/1945,1,14,0,5.0,1967.0,0,0,0,QB,QB,dave_lewis,40.0,0.0,1.0
1970,CIN,Sam Wyche,Sam,Wyche,QB,14.0,25,76,218,Furman,1/5/1945,2,14,3,3.0,,0,0,0,QB,QB,sam_wyche,0.0,0.0,0.0
1970,CLE,Bill Nelsen,Bill,Nelsen,QB,16.0,29,72,195,USC,1/29/1941,7,12,12,9.0,1963.0,0,0,0,QB,QB,bill_nelsen,54.0,0.0,1.0
1970,CLE,Mike Phipps,Mike,Phipps,QB,15.0,23,75,208,Purdue,11/19/1947,Rook,14,1,3.0,1970.0,0,0,0,QB,QB,mike_phipps,40.0,0.0,0.0
1970,CLE,Don Gault,Don,Gault,QB,11.0,24,74,190,Hofstra,8/30/1946,Rook,2,1,0.0,,0,0,0,QB,QB,don_gault,0.0,0.0,0.0
1970,CLT,Johnny Unitas,Johnny,Unitas,QB,19.0,37,73,194,Louisville,5/7/1933,14,14,13,10.0,1955.0,0,0,0,QB,QB,johnny_unitas,113.0,5.0,10.0
1970,CLT,Earl Morrall,Earl,Morrall,QB,15.0,36,73,205,Michigan St.,5/17/1934,14,14,1,3.0,1956.0,0,0,0,QB,QB,earl_morrall,68.0,2.0,2.0
1970,CRD,Jim Hart,Jim,Hart,QB,17.0,26,73,215,Southern Illinois,4/29/1944,4,14,14,12.0,,0,0,0,QB,QB,jim_hart,0.0,0.0,1.0
1970,CRD,Pete Beathard,Pete,Beathard,QB,10.0,28,73,200,USC,3/7/1942,6,4,0,1.0,1964.0,0,0,0,QB,QB,pete_beathard,26.0,0.0,0.0
1970,DAL,Craig Morton,Craig,Morton,QB,14.0,27,76,214,California,2/5/1943,5,12,11,11.0,1965.0,0,0,0,QB,QB,craig_morton,84.0,0.0,0.0
