Height,Weight,Age,wAV,AP1,PB,POVR,PSPD,PACC,PAGI,PSTR,PAWR,PTHP,PTAS,PTAM,PTAD,PTUP,PPLA,PTOR,PBRS
76,229.0,28.0,51.0,0.0,1.0,74.0,54.0,54.0,57.0,62.0,80.0,87.0,0.0,0.0,0.0,0,0.0,0.0,0
73,233.0,32.0,24.0,0.0,0.0,66.0,66.0,55.0,64.0,76.0,72.0,18.0,0.0,0.0,0.0,0,0.0,0.0,0
69,185.0,27.0,0.0,0.0,0.0,64.0,81.0,76.0,80.0,50.0,56.0,13.0,0.0,0.0,0.0,0,0.0,0.0,0
76,223.0,33.0,26.0,0.0,0.0,61.0,51.0,49.0,56.0,56.0,62.0,79.0,0.0,0.0,0.0,0,0.0,0.0,0
73,210.0,37.0,0.0,0.0,0.0,61.0,45.0,49.0,50.0,50.0,77.0,73.0,0.0,0.0,0.0,0,0.0,0.0,0
73,208.0,26.0,6.0,0.0,0.0,59.0,50.0,45.0,48.0,48.0,72.0,67.0,0.0,0.0,0.0,0,0.0,0.0,0
74,220.0,29.0,8.0,0.0,0.0,57.0,50.0,51.0,56.0,54.0,62.0,77.0,0.0,0.0,0.0,0,0.0,0.0,0
75,220.0,26.0,14.0,0.0,0.0,55.0,50.0,52.0,50.0,53.0,62.0,75.0,0.0,0.0,0.0,0,0.0,0.0,0
73,202.0,24.0,0.0,0.0,0.0,50.0,58.0,58.0,58.0,57.0,49.0,77.0,0.0,0.0,0.0,0,0.0,0.0,0
76,238.0,31.0,0.0,0.0,0.0,42.0,63.0,59.0,67.0,64.0,48.0,71.0,0.0,0.0,0.0,0,0.0,0.0,0
73,206.0,31.0,1.0,0.0,0.0,39.0,55.0,50.0,57.0,50.0,55.0,64.0,0.0,0.0,0.0,0,0.0,0.0,0
76,225.0,26.0,0.0,0.0,0.0,38.0,59.0,58.0,65.0,57.0,49.0,64.0,0.0,0.0,0.0,0,0.0,0.0,0
77,230.0,24.0,176.0,7.0,14.0,97.0,50.0,55.0,62.0,61.0,96.0,95.0,0.0,0.0,0.0,0,0.0,0.0,0
74,220.0,30.0,158.0,3.0,11.0,97.0,55.0,55.0,63.0,62.0,97.0,99.0,0.0,0.0,0.0,0,0.0,0.0,0
74,220.0,29.0,0.0,0.0,0.0,95.0,45.0,53.0,53.0,61.0,96.0,96.0,0.0,0.0,0.0,0,0.0,0.0,0
75,210.0,34.0,97.0,2.0,4.0,92.0,72.0,70.0,72.0,61.0,92.0,82.0,0.0,0.0,0.0,0,0.0,0.0,0
76,255.0,23.0,86.0,0.0,3.0,92.0,76.0,72.0,75.0,70.0,80.0,98.0,0.0,0.0,0.0,0,0.0,0.0,0
74,226.0,23.0,107.0,0.0,6.0,90.0,80.0,77.0,79.0,65.0,80.0,92.0,0.0,0.0,0.0,0,0.0,0.0,0
73,216.0,29.0,96.0,0.0,3.0,86.0,64.0,64.0,67.0,60.0,86.0,87.0,0.0,0.0,0.0,0,0.0,0.0,0
77,233.0,28.0,105.0,0.0,4.0,86.0,44.0,51.0,49.0,65.0,91.0,93.0,0.0,0.0,0.0,0,0.0,0.0,0
73,195.0,30.0,0.0,0.0,1.0,85.0,63.0,61.0,66.0,55.0,84.0,84.0,0.0,0.0,0.0,0,0.0,0.0,0
75,215.0,25.0,54.0,0.0,1.0,85.0,56.0,58.0,58.0,61.0,85.0,87.0,0.0,0.0,0.0,0,0.0,0.0,0
75,220.0,35.0,69.0,0.0,1.0,83.0,49.0,48.0,54.0,60.0,86.0,84.0,0.0,0.0,0.0,0,0.0,0.0,0
70,178.0,37.0,53.0,0.0,1.0,83.0,74.0,67.0,74.0,44.0,86.0,76.0,0.0,0.0,0.0,0,0.0,0.0,0
74,225.0,27.0,99.0,0.0,3.0,83.0,70.0,70.0,73.0,67.0,81.0,88.0,0.0,0.0,0.0,0,0.0,0.0,0
77,224.0,31.0,76.0,0.0,2.0,82.0,50.0,49.0,53.0,61.0,88.0,87.0,0.0,0.0,0.0,0,0.0,0.0,0
77,237.0,30.0,48.0,0.0,1.0,82.0,49.0,51.0,57.0,61.0,87.0,86.0,0.0,0.0,0.0,0,0.0,0.0,0
77,250.0,27.0,83.0,0.0,2.0,81.0,49.0,52.0,55.0,60.0,83.0,90.0,0.0,0.0,0.0,0,0.0,0.0,0
75,215.0,30.0,94.0,0.0,2.0,80.0,50.0,55.0,56.0,60.0,85.0,86.0,0.0,0.0,0.0,0,0.0,0.0,0
76,227.0,23.0,30.0,0.0,0.0,79.0,57.0,55.0,60.0,60.0,74.0,89.0,0.0,0.0,0.0,0,0.0,0.0,0
76,215.0,32.0,0.0,0.0,0.0,78.0,47.0,48.0,54.0,61.0,80.0,94.0,0.0,0.0,0.0,0,0.0,0.0,0
76,215.0,32.0,66.0,0.0,0.0,78.0,47.0,48.0,54.0,61.0,80.0,94.0,0.0,0.0,0.0,0,0.0,0.0,0
76,205.0,24.0,66.0,0.0,0.0,78.0,70.0,68.0,73.0,60.0,71.0,89.0,0.0,0.0,0.0,0,0.0,0.0,0
72,210.0,29.0,69.0,0.0,1.0,77.0,63.0,61.0,67.0,60.0,75.0,90.0,0.0,0.0,0.0,0,0.0,0.0,0
77,235.0,36.0,97.0,0.0,2.0,76.0,44.0,44.0,46.0,59.0,85.0,87.0,0.0,0.0,0.0,0,0.0,0.0,0
72,225.0,23.0,19.0,0.0,0.0,74.0,63.0,61.0,66.0,53.0,75.0,77.0,0.0,0.0,0.0,0,0.0,0.0,0
76,229.0,28.0,51.0,0.0,1.0,74.0,54.0,54.0,57.0,62.0,80.0,87.0,0.0,0.0,0.0,0,0.0,0.0,0
74,197.0,25.0,77.0,0.0,1.0,73.0,67.0,65.0,71.0,57.0,74.0,87.0,0.0,0.0,0.0,0,0.0,0.0,0
74,220.0,25.0,34.0,0.0,0.0,73.0,58.0,59.0,56.0,62.0,76.0,83.0,0.0,0.0,0.0,0,0.0,0.0,0
76,220.0,24.0,87.0,0.0,3.0,73.0,53.0,58.0,57.0,60.0,73.0,84.0,0.0,0.0,0.0,0,0.0,0.0,0
75,228.0,34.0,60.0,0.0,1.0,73.0,49.0,51.0,55.0,59.0,79.0,82.0,0.0,0.0,0.0,0,0.0,0.0,0
76,212.0,27.0,21.0,0.0,0.0,72.0,53.0,54.0,53.0,58.0,76.0,88.0,0.0,0.0,0.0,0,0.0,0.0,0
75,230.0,29.0,57.0,0.0,1.0,72.0,50.0,54.0,55.0,55.0,79.0,84.0,0.0,0.0,0.0,0,0.0,0.0,0
73,209.0,21.0,92.0,0.0,4.0,72.0,89.0,84.0,85.0,63.0,53.0,90.0,0.0,0.0,0.0,0,0.0,0.0,0
73,212.0,27.0,60.0,0.0,1.0,72.0,74.0,76.0,73.0,61.0,69.0,82.0,0.0,0.0,0.0,0,0.0,0.0,0
74,217.0,27.0,0.0,0.0,0.0,71.0,50.0,54.0,60.0,58.0,73.0,81.0,0.0,0.0,0.0,0,0.0,0.0,0
71,213.0,22.0,167.0,1.0,13.0,71.0,63.0,61.0,63.0,55.0,67.0,79.0,0.0,0.0,0.0,0,0.0,0.0,0
76,225.0,27.0,43.0,0.0,0.0,71.0,55.0,57.0,62.0,60.0,69.0,90.0,0.0,0.0,0.0,0,0.0,0.0,0
73,213.0,23.0,8.0,0.0,0.0,70.0,67.0,66.0,69.0,58.0,68.0,80.0,0.0,0.0,0.0,0,0.0,0.0,0
75,225.0,24.0,55.0,0.0,0.0,70.0,51.0,52.0,57.0,58.0,69.0,86.0,0.0,0.0,0.0,0,0.0,0.0,0
75,196.0,30.0,0.0,0.0,0.0,69.0,47.0,49.0,55.0,52.0,76.0,81.0,0.0,0.0,0.0,0,0.0,0.0,0
71,205.0,38.0,39.0,0.0,0.0,69.0,59.0,57.0,62.0,57.0,78.0,78.0,0.0,0.0,0.0,0,0.0,0.0,0
74,217.0,28.0,0.0,0.0,0.0,69.0,58.0,54.0,57.0,54.0,73.0,81.0,0.0,0.0,0.0,0,0.0,0.0,0
75,214.0,28.0,0.0,0.0,0.0,69.0,65.0,64.0,70.0,56.0,70.0,78.0,0.0,0.0,0.0,0,0.0,0.0,0
