Year,Season_Team,Player_Name,First_Name,Last_Name,Position,Jersey,Age,Height,Weight,College,BirthDate,Years_Pro,Games,Games_Started,AV,Draft_Year,POVR,PID,PAM,Position_Normalized,Position_Group,lookup_key,wAV,AP1,PB
1970,ATL,Cannonball Butler,Cannonball,Butler,RB,33.0,27,69,194,Edward Waters,5/4/1943,5,14,12,6.0,1965.0,0,0,0,RB,RB,cannonball_butler,32.0,0.0,1.0
1970,ATL,Harmon Wages,Harmon,Wages,FB,5.0,24,73,215,Florida,5/18/1946,2,13,11,5.0,,0,0,0,FB,RB,harmon_wages,0.0,0.0,0.0
1970,ATL,Paul Gipson,Paul,Gipson,RB,40.0,24,72,210,Houston,3/21/1946,1,13,2,3.0,1969.0,0,0,0,RB,RB,paul_gipson,6.0,0.0,0.0
1970,ATL,Sonny Campbell,Sonny,Campbell,RB,45.0,22,71,192,Northern Arizona,3/5/1948,Rook,11,0,2.0,,0,0,0,RB,RB,sonny_campbell,0.0,0.0,0.0
1970,ATL,Art Malone,Art,Malone,RB,25.0,22,71,211,Arizona St.,3/20/1948,Rook,14,3,1.0,1970.0,0,0,0,RB,RB,art_malone,33.0,0.0,0.0
1970,ATL,Mike Brunson,Mike,Brunson,RB,19.0,23,73,190,"Colorado Mesa,Arizona St.",7/30/1947,Rook,8,0,0.0,1970.0,0,0,0,RB,RB,mike_brunson,0.0,0.0,0.0
1970,CHI,Don Shy,Don,Shy,RB,24.0,25,73,210,San Diego St.,11/15/1945,3,8,3,4.0,1967.0,0,0,0,RB,RB,don_shy,20.0,0.0,0.0
1970,CHI,Ronnie Bull,Ronnie,Bull,FB,29.0,30,72,200,Baylor,2/2/1940,8,12,5,3.0,1962.0,0,0,0,FB,RB,ronnie_bull,36.0,0.0,0.0
1970,CHI,Ross Montgomery,Ross,Montgomery,RB,22.0,24,75,220,TCU,12/10/1946,1,14,8,3.0,1969.0,0,0,0,RB,RB,ross_montgomery,3.0,0.0,0.0
1970,CHI,Mike Hull,Mike,Hull,FB,33.0,25,75,220,USC,1/2/1945,2,13,5,2.0,1968.0,0,0,0,FB,RB,mike_hull,3.0,0.0,0.0
1970,CHI,Mike Hull,Mike,Hull,FB,33.0,25,75,220,USC,1/2/1945,2,13,5,2.0,1968.0,0,0,0,FB,RB,mike_hull,0.0,0.0,0.0
1970,CHI,Craig Baynham,Craig,Baynham,FB,46.0,26,73,204,Georgia Tech,7/24/1944,3,5,5,1.0,1966.0,0,0,0,FB,RB,craig_baynham,10.0,0.0,0.0
1970,CHI,Ralph Kurek,Ralph,Kurek,RB,32.0,27,74,210,Wisconsin,2/23/1943,5,11,0,0.0,1965.0,0,0,0,RB,RB,ralph_kurek,6.0,0.0,0.0
1970,CHI,Gale Sayers,Gale,Sayers,RB,40.0,27,72,198,Kansas,5/30/1943,5,2,2,0.0,1965.0,0,0,0,RB,RB,gale_sayers,60.0,5.0,4.0
1970,CIN,Paul Robinson,Paul,Robinson,RB,18.0,26,72,198,Arizona,12/19/1944,2,14,14,9.0,1968.0,0,0,0,RB,RB,paul_robinson,30.0,1.0,2.0
1970,CIN,Jess Phillips,Jess,Phillips,FB,30.0,23,73,210,Michigan St.,2/28/1947,2,14,14,8.0,1968.0,0,0,0,FB,RB,jess_phillips,36.0,0.0,0.0
1970,CIN,Essex Johnson,Essex,Johnson,RB,19.0,24,69,201,Grambling St.,10/15/1946,2,13,0,6.0,1968.0,0,0,0,RB,RB,essex_johnson,45.0,0.0,0.0
1970,CIN,Doug Dressler,Doug,Dressler,RB,44.0,22,75,228,Cal State-Chico,8/19/1948,Rook,14,0,1.0,,0,0,0,RB,RB,doug_dressler,0.0,0.0,0.0
1970,CIN,Paul Dunn,Paul,Dunn,RB,21.0,22,72,210,"San Francisco St.,U.S. International",7/14/1948,Rook,5,0,0.0,1970.0,0,0,0,RB,RB,paul_dunn,0.0,0.0,0.0
1970,CIN,Ron Lamb,Ron,Lamb,RB,40.0,27,74,225,South Carolina,2/4/1943,2,14,0,0.0,1966.0,0,0,0,RB,RB,ron_lamb,2.0,0.0,0.0
1970,CLE,Bo Scott,Bo,Scott,FB,35.0,27,75,215,Ohio St.,3/30/1943,1,13,13,10.0,1965.0,0,0,0,FB,RB,bo_scott,28.0,0.0,0.0
1970,CLE,Leroy Kelly,Leroy,Kelly,RB,44.0,28,72,202,Morgan St.,5/20/1942,6,13,13,8.0,1964.0,0,0,0,RB,RB,leroy_kelly,87.0,3.0,6.0
1970,CLE,Reece Morrison,Reece,Morrison,RB,26.0,25,72,207,Texas St.,10/21/1945,2,14,2,3.0,1968.0,0,0,0,RB,RB,reece_morrison,8.0,0.0,0.0
1970,CLE,Ken Brown,Ken,Brown,RB,30.0,25,70,203,,11/8/1945,Rook,11,0,0.0,,0,0,0,RB,RB,ken_brown,0.0,0.0,0.0
1970,CLE,Ken Brown,Ken,Brown,RB,30.0,25,70,203,,11/8/1945,Rook,11,0,0.0,,0,0,0,RB,RB,ken_brown,0.0,0.0,0.0
1970,CLE,Ken Brown,Ken,Brown,RB,30.0,25,70,203,,11/8/1945,Rook,11,0,0.0,,0,0,0,RB,RB,ken_brown,0.0,0.0,0.0
1970,CLE,Steve Engel,Steve,Engel,RB,36.0,23,73,218,Colorado,10/13/1947,Rook,3,0,0.0,1970.0,0,0,0,RB,RB,steve_engel,0.0,0.0,0.0
1970,CLE,Randy Minniear,Randy,Minniear,RB,27.0,27,73,210,Purdue,12/27/1943,3,8,0,0.0,1966.0,0,0,0,RB,RB,randy_minniear,5.0,0.0,0.0
1970,CLT,Norm Bulaich,Norm,Bulaich,RB,36.0,24,73,218,TCU,12/25/1946,Rook,12,12,6.0,1970.0,0,0,0,RB,RB,norm_bulaich,50.0,0.0,1.0
1970,CLT,Sam Havrilak,Sam,Havrilak,RB,17.0,23,74,195,Bucknell,12/13/1947,1,13,1,4.0,1969.0,0,0,0,RB,RB,sam_havrilak,10.0,0.0,0.0
1970,CLT,Jack Maitland,Jack,Maitland,RB,23.0,22,74,211,Williams,2/8/1948,Rook,14,2,3.0,1970.0,0,0,0,RB,RB,jack_maitland,4.0,0.0,0.0
1970,CLT,Tom Nowatzke,Tom,Nowatzke,FB,34.0,28,75,230,Indiana,9/30/1942,5,11,4,3.0,1965.0,0,0,0,FB,RB,tom_nowatzke,14.0,0.0,0.0
1970,CLT,Jerry Hill,Jerry,Hill,FB,45.0,31,71,210,Wyoming,10/12/1939,9,12,6,2.0,1961.0,0,0,0,FB,RB,jerry_hill,34.0,0.0,0.0
1970,CLT,Jerry Hill,Jerry,Hill,FB,45.0,31,71,210,Wyoming,10/12/1939,9,12,6,2.0,1961.0,0,0,0,FB,RB,jerry_hill,0.0,0.0,0.0
1970,CLT,Larry Conjar,Larry,Conjar,RB,48.0,25,73,214,Notre Dame,10/28/1945,3,3,1,0.0,1967.0,0,0,0,RB,RB,larry_conjar,2.0,0.0,0.0
1970,CLT,Tom Matte,Tom,Matte,RB,41.0,31,72,214,Ohio St.,6/14/1939,9,2,2,0.0,1961.0,0,0,0,RB,RB,tom_matte,68.0,0.0,2.0
1970,CRD,MacArthur Lane,MacArthur,Lane,FB,36.0,28,73,220,Utah St.,3/16/1942,2,14,14,15.0,1968.0,0,0,0,FB,RB,macarthur_lane,64.0,0.0,1.0
1970,CRD,Johnny Roland,Johnny,Roland,RB,23.0,27,74,220,Missouri,5/21/1943,4,14,6,6.0,1965.0,0,0,0,RB,RB,johnny_roland,40.0,0.0,2.0
1970,CRD,Cid Edwards,Cid,Edwards,RB,39.0,27,75,230,Tennessee St.,10/10/1943,2,11,8,5.0,,0,0,0,RB,RB,cid_edwards,0.0,0.0,0.0
1970,CRD,Roy Shivers,Roy,Shivers,RB,27.0,29,71,200,Utah St.,7/5/1941,4,12,0,2.0,1965.0,0,0,0,RB,RB,roy_shivers,11.0,0.0,0.0
1970,CRD,Charlie Pittman,Charlie,Pittman,RB,28.0,22,73,200,Penn St.,1/22/1948,Rook,8,0,0.0,1970.0,0,0,0,RB,RB,charlie_pittman,0.0,0.0,0.0
1970,CRD,Paul White,Paul,White,RB,38.0,22,72,200,Texas-El Paso,9/17/1948,Rook,5,0,0.0,1970.0,0,0,0,RB,RB,paul_white,0.0,0.0,0.0
1970,CRD,Paul White,Paul,White,RB,38.0,22,72,200,Texas-El Paso,9/17/1948,Rook,5,0,0.0,1970.0,0,0,0,RB,RB,paul_white,0.0,0.0,0.0
1970,CRD,Paul White,Paul,White,RB,38.0,22,72,200,Texas-El Paso,9/17/1948,Rook,5,0,0.0,1970.0,0,0,0,RB,RB,paul_white,0.0,0.0,0.0
1970,DAL,Walt Garrison,Walt,Garrison,FB,32.0,26,72,205,Oklahoma St.,7/23/1944,4,11,10,7.0,1966.0,0,0,0,FB,RB,walt_garrison,48.0,0.0,1.0
1970,DAL,Calvin Hill,Calvin,Hill,RB,35.0,23,76,227,Yale,1/2/1947,1,12,9,7.0,1969.0,0,0,0,RB,RB,calvin_hill,71.0,1.0,4.0
1970,DAL,Dan Reeves,Dan,Reeves,RB,30.0,26,73,200,South Carolina,1/19/1944,5,14,1,3.0,,0,0,0,RB,RB,dan_reeves,0.0,0.0,0.0
1970,DAL,Claxton Welch,Claxton,Welch,RB,42.0,23,71,203,Oregon,7/3/1947,1,8,0,0.0,1969.0,0,0,0,RB,RB,claxton_welch,0.0,0.0,0.0
1970,DEN,Floyd Little,Floyd,Little,RB,44.0,28,70,196,Syracuse,7/4/1942,3,14,14,10.0,1967.0,0,0,0,RB,RB,floyd_little,70.0,1.0,5.0
1970,DEN,Bobby Anderson,Bobby,Anderson,RB,11.0,23,72,208,Colorado,10/11/1947,Rook,14,0,5.0,1970.0,0,0,0,RB,RB,bobby_anderson,20.0,0.0,0.0
1970,DEN,Willis Crenshaw,Willis,Crenshaw,FB,33.0,29,74,230,Kansas St.,7/16/1941,6,12,12,3.0,1963.0,0,0,0,FB,RB,willis_crenshaw,26.0,0.0,0.0
1970,DEN,Fran Lynch,Fran,Lynch,RB,22.0,25,73,205,Hofstra,12/3/1945,3,14,2,1.0,1967.0,0,0,0,RB,RB,fran_lynch,12.0,0.0,0.0
1970,DEN,Clem Turner,Clem,Turner,RB,35.0,25,73,236,Cincinnati,5/28/1945,1,11,0,1.0,1969.0,0,0,0,RB,RB,clem_turner,3.0,0.0,0.0
1970,DEN,Dick Davis,Dick,Davis,RB,32.0,24,71,215,Nebraska,11/28/1946,Rook,2,0,0.0,1969.0,0,0,0,RB,RB,dick_davis,1.0,0.0,0.0
1970,DEN,Wandy Williams,Wandy,Williams,RB,29.0,24,73,189,"Kansas,Hofstra",1/3/1946,1,1,0,0.0,1969.0,0,0,0,RB,RB,wandy_williams,1.0,0.0,0.0
1970,DET,Altie Taylor,Altie,Taylor,FB,42.0,23,70,200,Utah St.,9/29/1947,1,14,14,13.0,1969.0,0,0,0,FB,RB,altie_taylor,59.0,0.0,0.0
1970,DET,Mel Farr,Mel,Farr,RB,24.0,26,74,210,UCLA,11/3/1944,3,12,12,12.0,1967.0,0,0,0,RB,RB,mel_farr,41.0,0.0,2.0
1970,DET,Mel Farr,Mel,Farr,RB,24.0,26,74,210,UCLA,11/3/1944,3,12,12,12.0,1967.0,0,0,0,RB,RB,mel_farr,0.0,0.0,0.0
1970,DET,Bill Triplett,Bill,Triplett,RB,38.0,30,74,215,Miami (OH),5/9/1940,8,14,1,3.0,1962.0,0,0,0,RB,RB,bill_triplett,32.0,0.0,0.0
1970,DET,Bill Triplett,Bill,Triplett,RB,38.0,30,74,215,Miami (OH),5/9/1940,8,14,1,3.0,1962.0,0,0,0,RB,RB,bill_triplett,0.0,0.0,0.0
1970,DET,Steve Owens,Steve,Owens,RB,36.0,23,74,215,Oklahoma,12/9/1947,Rook,6,1,2.0,1970.0,0,0,0,RB,RB,steve_owens,38.0,0.0,1.0
1970,DET,Nick Eddy,Nick,Eddy,RB,40.0,26,73,210,Notre Dame,8/23/1944,2,11,0,1.0,1966.0,0,0,0,RB,RB,nick_eddy,8.0,0.0,0.0
1970,DET,Bruce Maxwell,Bruce,Maxwell,RB,46.0,23,73,220,Arkansas,3/23/1947,Rook,11,0,0.0,1970.0,0,0,0,RB,RB,bruce_maxwell,0.0,0.0,0.0
