Height,Weight,Age,wAV,AP1,PB,POVR,PSPD,PACC,PAGI,PSTR,PAWR,PCTH,PCAR,PBTK,PTRK,PCOD,PBCV,PSTF,PSPM,PJUM,PJMP
73,242.0,28.0,22.0,0.0,0.0,82.0,69.0,70.0,60.0,73.0,80.0,62.0,79.0,75.0,0.0,0,0.0,0.0,0.0,0.0,59.0
71,226.0,33.0,0.0,0.0,1.0,74.0,77.0,83.0,83.0,61.0,79.0,65.0,70.0,74.0,0.0,0,0.0,0.0,0.0,0.0,73.0
73,231.0,31.0,0.0,0.0,0.0,70.0,59.0,64.0,51.0,65.0,67.0,63.0,78.0,71.0,0.0,0,0.0,0.0,0.0,0.0,49.0
73,231.0,31.0,18.0,0.0,0.0,70.0,59.0,64.0,51.0,65.0,67.0,63.0,78.0,71.0,0.0,0,0.0,0.0,0.0,0.0,49.0
70,208.0,32.0,60.0,0.0,1.0,70.0,71.0,82.0,84.0,62.0,81.0,64.0,71.0,77.0,0.0,0,0.0,0.0,0.0,0.0,72.0
72,238.0,25.0,9.0,0.0,0.0,70.0,76.0,84.0,81.0,66.0,64.0,57.0,75.0,83.0,0.0,0,0.0,0.0,0.0,0.0,73.0
71,214.0,29.0,37.0,0.0,0.0,66.0,78.0,79.0,81.0,58.0,77.0,64.0,72.0,66.0,0.0,0,0.0,0.0,0.0,0.0,71.0
71,224.0,32.0,43.0,0.0,1.0,65.0,69.0,75.0,76.0,59.0,71.0,57.0,79.0,79.0,0.0,0,0.0,0.0,0.0,0.0,71.0
75,255.0,27.0,3.0,0.0,0.0,62.0,62.0,61.0,50.0,69.0,53.0,55.0,68.0,62.0,0.0,0,0.0,0.0,0.0,0.0,54.0
68,173.0,27.0,9.0,0.0,0.0,60.0,86.0,80.0,85.0,53.0,58.0,65.0,65.0,51.0,0.0,0,0.0,0.0,0.0,0.0,68.0
70,222.0,27.0,11.0,0.0,0.0,60.0,75.0,80.0,75.0,54.0,65.0,55.0,66.0,77.0,0.0,0,0.0,0.0,0.0,0.0,71.0
73,217.0,27.0,6.0,1.0,5.0,60.0,82.0,78.0,78.0,56.0,57.0,64.0,62.0,61.0,0.0,0,0.0,0.0,0.0,0.0,74.0
70,205.0,26.0,0.0,0.0,0.0,58.0,73.0,79.0,79.0,54.0,54.0,56.0,68.0,65.0,0.0,0,0.0,0.0,0.0,0.0,72.0
71,210.0,32.0,0.0,0.0,0.0,56.0,72.0,77.0,78.0,55.0,68.0,62.0,59.0,58.0,0.0,0,0.0,0.0,0.0,0.0,66.0
70,210.0,32.0,0.0,0.0,0.0,56.0,77.0,79.0,77.0,57.0,58.0,54.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,68.0
70,189.0,30.0,6.0,1.0,5.0,56.0,90.0,75.0,85.0,55.0,53.0,62.0,60.0,47.0,0.0,0,0.0,0.0,0.0,0.0,72.0
71,191.0,26.0,4.0,0.0,0.0,55.0,79.0,77.0,78.0,58.0,55.0,63.0,55.0,55.0,0.0,0,0.0,0.0,0.0,0.0,70.0
