Year,Season_Team,Player_Name,First_Name,Last_Name,Position,Jersey,Age,Height,Weight,College,BirthDate,Years_Pro,Games,Games_Started,AV,Draft_Year,POVR,PID,PAM,Position_Normalized,Position_Group,lookup_key,wAV,AP1,PB
1970,ATL,Jim Mitchell,Jim,Mitchell,TE,86.0,23,73,234,Prairie View A&M,10/19/1947,1,14,14,7.0,1969.0,0,0,0,TE,TE,jim_mitchell,39.0,0.0,2.0
1970,ATL,Jim Mitchell,Jim,Mitchell,TE,86.0,23,73,234,Prairie View A&M,10/19/1947,1,14,14,7.0,1969.0,0,0,0,TE,TE,jim_mitchell,35.0,0.0,0.0
1970,ATL,Mike Donohoe,Mike,Donohoe,TE,84.0,25,75,225,San Francisco,5/6/1945,2,14,0,0.0,1968.0,0,0,0,TE,TE,mike_donohoe,0.0,0.0,0.0
1970,CHI,Bob Wallace,Bob,Wallace,TE,89.0,25,75,211,Texas-El Paso,10/7/1945,2,5,5,2.0,1968.0,0,0,0,TE,TE,bob_wallace,15.0,0.0,0.0
1970,CHI,Rich Coady,Rich,Coady,TE,37.0,26,75,245,Memphis,12/17/1944,1,14,8,1.0,1968.0,0,0,0,TE,TE,rich_coady,18.0,0.0,0.0
1970,CHI,Rich Coady,Rich,Coady,TE,37.0,26,75,245,Memphis,12/17/1944,1,14,8,1.0,1968.0,0,0,0,TE,TE,rich_coady,9.0,0.0,0.0
1970,CHI,Jimmy Hester,Jimmy,Hester,TE,86.0,26,76,238,North Dakota,12/13/1944,3,5,3,1.0,1967.0,0,0,0,TE,TE,jimmy_hester,5.0,0.0,0.0
1970,CHI,Ray Ogden,Ray,Ogden,TE,38.0,28,77,225,Alabama,9/2/1942,5,9,0,0.0,1965.0,0,0,0,TE,TE,ray_ogden,8.0,0.0,0.0
1970,CIN,Bob Trumpy,Bob,Trumpy,TE,84.0,25,78,228,"Illinois,Utah",3/6/1945,2,11,10,7.0,1968.0,0,0,0,TE,TE,bob_trumpy,49.0,1.0,4.0
1970,CIN,Bruce Coslet,Bruce,Coslet,TE,88.0,24,76,227,Pacific,8/5/1946,1,14,4,1.0,,0,0,0,TE,TE,bruce_coslet,0.0,0.0,0.0
1970,CIN,Mike Kelly,Mike,Kelly,TE,87.0,22,76,215,Davidson,1/14/1948,Rook,12,0,0.0,,0,0,0,TE,TE,mike_kelly,0.0,0.0,0.0
1970,CIN,Mike Kelly,Mike,Kelly,TE,87.0,22,76,215,Davidson,1/14/1948,Rook,12,0,0.0,,0,0,0,TE,TE,mike_kelly,0.0,0.0,0.0
1970,CLE,Milt Morin,Milt,Morin,TE,89.0,28,76,238,Massachusetts,10/15/1942,4,14,11,7.0,1966.0,0,0,0,TE,TE,milt_morin,48.0,0.0,2.0
1970,CLE,Chip Glass,Chip,Glass,TE,83.0,23,76,235,Florida St.,6/25/1947,1,14,3,5.0,1969.0,0,0,0,TE,TE,chip_glass,8.0,0.0,0.0
1970,CLT,John Mackey,John,Mackey,TE,88.0,29,74,224,Syracuse,9/24/1941,7,14,11,5.0,1963.0,0,0,0,TE,TE,john_mackey,58.0,3.0,5.0
1970,CLT,Tom Mitchell,Tom,Mitchell,TE,84.0,26,74,215,Bucknell,8/22/1944,4,14,3,3.0,1966.0,0,0,0,TE,TE,tom_mitchell,30.0,0.0,0.0
1970,CRD,Jackie Smith,Jackie,Smith,TE,81.0,30,76,235,Northwestern St. (LA),2/23/1940,7,14,14,10.0,1963.0,0,0,0,TE,TE,jackie_smith,74.0,0.0,5.0
1970,CRD,Robert Brown,Robert,Brown,TE,89.0,27,74,225,Alcorn St.,1/1/1943,1,14,1,0.0,,0,0,0,TE,TE,robert_brown,51.0,0.0,1.0
1970,CRD,Robert Brown,Robert,Brown,TE,89.0,27,74,225,Alcorn St.,1/1/1943,1,14,1,0.0,,0,0,0,TE,TE,robert_brown,50.0,0.0,0.0
1970,CRD,Jim McFarland,Jim,McFarland,TE,83.0,23,77,225,Nebraska,10/4/1947,Rook,9,0,0.0,1970.0,0,0,0,TE,TE,jim_mcfarland,1.0,0.0,0.0
1970,DAL,Mike Ditka,Mike,Ditka,TE,89.0,31,75,228,Pittsburgh,10/18/1939,9,14,0,1.0,1961.0,0,0,0,TE,TE,mike_ditka,56.0,2.0,5.0
1970,DAL,Pettis Norman,Pettis,Norman,TE,84.0,31,75,222,Johnson C. Smith,1/4/1939,8,14,14,1.0,1962.0,0,0,0,TE,TE,pettis_norman,23.0,0.0,0.0
1970,DEN,Jim Whalen,Jim,Whalen,TE,83.0,27,74,210,Boston Col.,5/20/1943,5,14,13,6.0,1965.0,0,0,0,TE,TE,jim_whalen,29.0,1.0,0.0
1970,DEN,Billy Masters,Billy,Masters,TE,81.0,26,77,240,LSU,3/15/1944,3,14,2,1.0,1967.0,0,0,0,TE,TE,billy_masters,21.0,0.0,0.0
1970,DET,Charlie Sanders,Charlie,Sanders,TE,88.0,24,76,225,Minnesota,8/25/1946,2,14,14,10.0,1968.0,0,0,0,TE,TE,charlie_sanders,52.0,2.0,7.0
1970,DET,Craig Cotton,Craig,Cotton,TE,87.0,23,77,216,Youngstown St.,7/7/1947,1,14,0,0.0,1969.0,0,0,0,TE,TE,craig_cotton,5.0,0.0,0.0
1970,GNB,John Hilton,John,Hilton,TE,86.0,28,77,225,Richmond,3/12/1942,5,14,14,3.0,1964.0,0,0,0,TE,TE,john_hilton,20.0,0.0,0.0
