Height,Weight,Age,wAV,AP1,PB,POVR,PSPD,PACC,PAGI,PSTR,PAWR,PCTH,PSPC,PCIT,PSRR,PMRR,PDRR,PREL,PRBK,PPBK,PIBL,PRBP,PRBF,PPBP,PPBF
75,245.0,31.0,43.0,2.0,5.0,77.0,62.0,58.0,59.0,73.0,90.0,73.0,0.0,0.0,0,0,0,0.0,59.0,62.0,0.0,0,0,0,0
78,252.0,34.0,22.0,0.0,0.0,67.0,63.0,61.0,66.0,71.0,79.0,63.0,0.0,0.0,0,0,0,0.0,54.0,55.0,0.0,0,0,0,0
73,245.0,27.0,13.0,0.0,0.0,64.0,57.0,60.0,56.0,71.0,68.0,62.0,0.0,0.0,0,0,0,0.0,60.0,62.0,0.0,0,0,0,0
68,188.0,31.0,0.0,0.0,0.0,60.0,85.0,78.0,79.0,48.0,66.0,43.0,0.0,0.0,0,0,0,0.0,10.0,10.0,0.0,0,0,0,0
75,240.0,29.0,0.0,0.0,0.0,60.0,62.0,61.0,56.0,63.0,54.0,64.0,0.0,0.0,0,0,0,0.0,56.0,57.0,0.0,0,0,0,0
74,240.0,35.0,15.0,0.0,0.0,59.0,57.0,58.0,58.0,66.0,67.0,59.0,0.0,0.0,0,0,0,0.0,56.0,57.0,0.0,0,0,0,0
78,260.0,26.0,0.0,0.0,0.0,55.0,53.0,57.0,50.0,68.0,54.0,64.0,0.0,0.0,0,0,0,0.0,55.0,53.0,0.0,0,0,0,0
75,260.0,28.0,36.0,0.0,0.0,55.0,57.0,57.0,59.0,62.0,49.0,61.0,0.0,0.0,0,0,0,0.0,55.0,54.0,0.0,0,0,0,0
75,260.0,28.0,2.0,0.0,0.0,55.0,57.0,57.0,59.0,62.0,49.0,61.0,0.0,0.0,0,0,0,0.0,55.0,54.0,0.0,0,0,0,0
75,251.0,28.0,4.0,0.0,0.0,53.0,58.0,58.0,63.0,65.0,61.0,59.0,0.0,0.0,0,0,0,0.0,47.0,49.0,0.0,0,0,0,0
72,250.0,33.0,16.0,0.0,0.0,52.0,53.0,60.0,52.0,62.0,55.0,61.0,0.0,0.0,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0
74,249.0,33.0,0.0,0.0,0.0,52.0,56.0,57.0,56.0,65.0,62.0,47.0,0.0,0.0,0,0,0,0.0,58.0,60.0,0.0,0,0,0,0
76,278.0,28.0,0.0,0.0,0.0,52.0,51.0,54.0,45.0,69.0,54.0,50.0,0.0,0.0,0,0,0,0.0,57.0,69.0,0.0,0,0,0,0
75,256.0,28.0,1.0,0.0,0.0,52.0,56.0,58.0,53.0,64.0,54.0,47.0,0.0,0.0,0,0,0,0.0,62.0,59.0,0.0,0,0,0,0
75,250.0,30.0,0.0,0.0,0.0,48.0,56.0,56.0,51.0,64.0,56.0,46.0,0.0,0.0,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0
76,263.0,32.0,2.0,0.0,0.0,47.0,53.0,57.0,55.0,66.0,55.0,46.0,0.0,0.0,0,0,0,0.0,56.0,57.0,0.0,0,0,0,0
76,252.0,25.0,16.0,0.0,0.0,46.0,59.0,55.0,58.0,65.0,50.0,60.0,0.0,0.0,0,0,0,0.0,44.0,39.0,0.0,0,0,0,0
76,250.0,24.0,2.0,0.0,0.0,44.0,66.0,68.0,61.0,72.0,52.0,38.0,0.0,0.0,0,0,0,0.0,47.0,49.0,0.0,0,0,0,0
76,251.0,24.0,95.0,6.0,14.0,99.0,80.0,85.0,75.0,75.0,93.0,90.0,0.0,0.0,0,0,0,0.0,63.0,63.0,0.0,0,0,0,0
74,230.0,32.0,82.0,4.0,8.0,94.0,77.0,86.0,74.0,76.0,95.0,82.0,0.0,0.0,0,0,0,0.0,57.0,58.0,0.0,0,0,0,0
77,270.0,25.0,26.0,0.0,0.0,90.0,67.0,72.0,63.0,76.0,84.0,81.0,0.0,0.0,0,0,0,0.0,64.0,64.0,0.0,0,0,0,0
