Year,Season_Team,Player_Name,First_Name,Last_Name,Position,Jersey,Age,Height,Weight,College,BirthDate,Years_Pro,Games,Games_Started,AV,Draft_Year,POVR,PID,PAM,Position_Normalized,Position_Group,lookup_key,wAV,AP1,PB
1970,ATL,Paul Flatley,Paul,Flatley,WR,85.0,29,73,187,Northwestern,1/30/1941,7,14,14,5.0,1963.0,0,0,0,WR,WR,paul_flatley,0.0,0.0,0.0
1970,ATL,Paul Flatley,Paul,Flatley,WR,85.0,29,73,187,Northwestern,1/30/1941,7,14,14,5.0,1963.0,0,0,0,WR,WR,paul_flatley,46.0,0.0,1.0
1970,ATL,Todd Snyder,Todd,Snyder,WR,80.0,22,73,187,Ohio,10/22/1948,Rook,12,9,3.0,1970.0,0,0,0,WR,WR,todd_snyder,3.0,0.0,0.0
1970,ATL,Gail Cogdill,Gail,Cogdill,WR,15.0,33,75,200,Washington St.,4/7/1937,10,6,5,1.0,1960.0,0,0,0,WR,WR,gail_cogdill,53.0,0.0,3.0
1970,ATL,Kent Lawrence,Kent,Lawrence,WR,24.0,24,72,180,Georgia,6/3/1946,1,1,0,0.0,1969.0,0,0,0,WR,WR,kent_lawrence,0.0,0.0,0.0
1970,CHI,Dick Gordon,Dick,Gordon,WR,45.0,26,71,190,Michigan St.,1/1/1944,5,14,14,13.0,1965.0,0,0,0,WR,WR,dick_gordon,0.0,0.0,0.0
1970,CHI,Dick Gordon,Dick,Gordon,WR,45.0,26,71,190,Michigan St.,1/1/1944,5,14,14,13.0,1965.0,0,0,0,WR,WR,dick_gordon,38.0,1.0,2.0
1970,CHI,George Farmer,George,Farmer,WR,43.0,22,76,214,UCLA,4/19/1948,Rook,11,9,6.0,1970.0,0,0,0,WR,WR,george_farmer,21.0,0.0,0.0
1970,CHI,George Farmer,George,Farmer,WR,43.0,22,76,214,UCLA,4/19/1948,Rook,11,9,6.0,1970.0,0,0,0,WR,WR,george_farmer,12.0,0.0,0.0
1970,CHI,Cecil Turner,Cecil,Turner,WR,21.0,26,70,176,Cal Poly-San Luis Obispo,4/2/1944,2,14,0,5.0,1968.0,0,0,0,WR,WR,cecil_turner,9.0,0.0,1.0
1970,CHI,Jim Seymour,Jim,Seymour,WR,84.0,24,76,210,Notre Dame,11/24/1946,1,7,0,2.0,1969.0,0,0,0,WR,WR,jim_seymour,5.0,0.0,0.0
1970,CHI,Linzy Cole,Linzy,Cole,WR,25.0,22,71,172,TCU,4/21/1948,Rook,7,3,1.0,1970.0,0,0,0,WR,WR,linzy_cole,1.0,0.0,0.0
1970,CIN,Chip Myers,Chip,Myers,WR,25.0,25,76,203,NW Oklahoma St.,7/9/1945,3,14,8,8.0,1967.0,0,0,0,WR,WR,chip_myers,35.0,0.0,1.0
1970,CIN,Eric Crabtree,Eric,Crabtree,WR,10.0,26,72,185,Pittsburgh,11/3/1944,4,14,7,4.0,1966.0,0,0,0,WR,WR,eric_crabtree,26.0,0.0,0.0
1970,CIN,Speedy Thomas,Speedy,Thomas,WR,17.0,23,73,170,Utah,4/13/1947,1,14,13,4.0,1969.0,0,0,0,WR,WR,speedy_thomas,15.0,0.0,0.0
1970,CLE,Fair Hooker,Fair,Hooker,WR,43.0,23,73,190,Arizona St.,5/22/1947,1,13,13,6.0,1969.0,0,0,0,WR,WR,fair_hooker,23.0,0.0,0.0
1970,CLE,Gary Collins,Gary,Collins,WR,86.0,30,77,215,Maryland,8/20/1940,8,12,11,4.0,1962.0,0,0,0,WR,WR,gary_collins,74.0,1.0,2.0
1970,CLE,Homer Jones,Homer,Jones,WR,85.0,29,74,215,Texas Southern,2/18/1941,6,14,4,3.0,1963.0,0,0,0,WR,WR,homer_jones,0.0,0.0,0.0
1970,CLE,Homer Jones,Homer,Jones,WR,85.0,29,74,215,Texas Southern,2/18/1941,6,14,4,3.0,1963.0,0,0,0,WR,WR,homer_jones,57.0,0.0,2.0
1970,CLE,Dave Jones,Dave,Jones,WR,41.0,23,74,192,Kansas St.,8/10/1947,1,14,0,0.0,1969.0,0,0,0,WR,WR,dave_jones,1.0,0.0,0.0
1970,CLE,Dave Jones,Dave,Jones,WR,41.0,23,74,192,Kansas St.,8/10/1947,1,14,0,0.0,1969.0,0,0,0,WR,WR,dave_jones,0.0,0.0,0.0
1970,CLT,Eddie Hinton,Eddie,Hinton,WR,33.0,23,72,200,Oklahoma,6/26/1947,1,13,13,10.0,1969.0,0,0,0,WR,WR,eddie_hinton,23.0,0.0,0.0
1970,CLT,Roy Jefferson,Roy,Jefferson,WR,87.0,27,74,195,Utah,11/9/1943,5,14,14,10.0,1965.0,0,0,0,WR,WR,roy_jefferson,73.0,1.0,3.0
1970,CLT,Jimmy Orr,Jimmy,Orr,WR,28.0,35,71,185,"Wake Forest,Clemson,Georgia",10/4/1935,12,8,1,2.0,1957.0,0,0,0,WR,WR,jimmy_orr,65.0,1.0,2.0
1970,CLT,Ray Perkins,Ray,Perkins,WR,27.0,29,75,183,Alabama,11/6/1941,3,11,0,2.0,1966.0,0,0,0,WR,WR,ray_perkins,0.0,0.0,0.0
1970,CLT,Ray Perkins,Ray,Perkins,WR,27.0,29,75,183,Alabama,11/6/1941,3,11,0,2.0,1966.0,0,0,0,WR,WR,ray_perkins,20.0,0.0,0.0
1970,CLT,Ray Perkins,Ray,Perkins,WR,27.0,29,75,183,Alabama,11/6/1941,3,11,0,2.0,1966.0,0,0,0,WR,WR,ray_perkins,0.0,0.0,0.0
1970,CRD,John Gilliam,John,Gilliam,WR,44.0,25,73,195,South Carolina St.,8/7/1945,3,14,14,14.0,1967.0,0,0,0,WR,WR,john_gilliam,73.0,0.0,4.0
1970,CRD,Dave Williams,Dave,Williams,WR,80.0,25,74,207,Washington,8/10/1945,3,14,13,5.0,1967.0,0,0,0,WR,WR,dave_williams,0.0,0.0,0.0
1970,CRD,Dave Williams,Dave,Williams,WR,80.0,25,74,207,Washington,8/10/1945,3,14,13,5.0,1967.0,0,0,0,WR,WR,dave_williams,30.0,0.0,0.0
1970,CRD,Dave Williams,Dave,Williams,WR,80.0,25,74,207,Washington,8/10/1945,3,14,13,5.0,1967.0,0,0,0,WR,WR,dave_williams,13.0,0.0,0.0
1970,CRD,Jerry Daanen,Jerry,Daanen,WR,31.0,26,72,190,Miami (FL),12/15/1944,2,14,0,0.0,1968.0,0,0,0,WR,WR,jerry_daanen,0.0,0.0,0.0
1970,CRD,Fred Hyatt,Fred,Hyatt,WR,88.0,24,75,200,Auburn,6/28/1946,2,10,0,0.0,1968.0,0,0,0,WR,WR,fred_hyatt,1.0,0.0,0.0
1970,DAL,Bob Hayes,Bob,Hayes,WR,22.0,28,72,187,Florida A&M,12/20/1942,5,13,9,13.0,1964.0,0,0,0,WR,WR,bob_hayes,0.0,0.0,0.0
1970,DAL,Bob Hayes,Bob,Hayes,WR,22.0,28,72,187,Florida A&M,12/20/1942,5,13,9,13.0,1964.0,0,0,0,WR,WR,bob_hayes,83.0,2.0,3.0
1970,DAL,Lance Rentzel,Lance,Rentzel,WR,19.0,27,74,202,Oklahoma,10/14/1943,5,11,11,8.0,1965.0,0,0,0,WR,WR,lance_rentzel,56.0,0.0,0.0
1970,DAL,Reggie Rucker,Reggie,Rucker,WR,88.0,23,74,195,Boston Univ.,9/21/1947,1,7,2,3.0,,0,0,0,WR,WR,reggie_rucker,0.0,0.0,0.0
1970,DAL,Dennis Homan,Dennis,Homan,WR,24.0,24,73,181,Alabama,1/9/1946,2,10,6,1.0,1968.0,0,0,0,WR,WR,dennis_homan,7.0,0.0,0.0
1970,DAL,Margene Adkins,Margene,Adkins,WR,23.0,23,70,183,Trinity Valley CC (TX),4/30/1947,Rook,5,0,0.0,1970.0,0,0,0,WR,WR,margene_adkins,3.0,0.0,0.0
1970,DEN,Billy Van Heusen,Billy,Van Heusen,WR,42.0,24,73,200,Maryland,8/27/1946,2,14,5,8.0,,0,0,0,WR,WR,billy_van heusen,0.0,0.0,0.0
1970,DEN,Al Denson,Al,Denson,WR,88.0,28,74,208,Florida A&M,1/2/1942,6,14,14,7.0,1964.0,0,0,0,WR,WR,al_denson,38.0,0.0,2.0
1970,DEN,Mike Haffner,Mike,Haffner,WR,84.0,28,74,200,UCLA,7/7/1942,2,11,7,2.0,,0,0,0,WR,WR,mike_haffner,0.0,0.0,0.0
1970,DEN,John Embree,John,Embree,WR,89.0,26,76,194,Compton CC (CA),7/13/1944,1,7,1,1.0,,0,0,0,WR,WR,john_embree,0.0,0.0,0.0
1970,DEN,Jerry Hendren,Jerry,Hendren,WR,86.0,23,74,187,Idaho,11/4/1947,Rook,10,0,0.0,1970.0,0,0,0,WR,WR,jerry_hendren,0.0,0.0,0.0
1970,DET,Larry Walton,Larry,Walton,WR,49.0,23,72,180,Arizona St.,2/8/1947,1,13,11,10.0,1969.0,0,0,0,WR,WR,larry_walton,40.0,0.0,0.0
1970,DET,Earl McCullouch,Earl,McCullouch,WR,25.0,24,71,175,USC,1/10/1946,2,10,8,5.0,1968.0,0,0,0,WR,WR,earl_mccullouch,29.0,0.0,0.0
1970,DET,Chuck Hughes,Chuck,Hughes,WR,85.0,27,71,173,Texas-El Paso,3/24/1943,3,13,9,3.0,1967.0,0,0,0,WR,WR,chuck_hughes,4.0,0.0,0.0
1970,DET,Charlie Brown,Charlie,Brown,WR,81.0,22,74,195,Northern Arizona,10/13/1948,Rook,14,0,1.0,1970.0,0,0,0,WR,WR,charlie_brown,0.0,0.0,0.0
