Height,Weight,Age,wAV,AP1,PB,POVR,PSPD,PACC,PAGI,PSTR,PAWR,PCTH,PSPC,PCIT,PSRR,PMRR,PDRR,PREL,PJMP,PCOD
72,205.0,26.0,17.0,0.0,0.0,74.0,84.0,85.0,84.0,56.0,70.0,80.0,0.0,0.0,0,0,0,0.0,81.0,0
74,190.0,36.0,98.0,0.0,7.0,71.0,72.0,80.0,83.0,52.0,84.0,82.0,0.0,0.0,0,0,0,0.0,69.0,0
72,188.0,33.0,77.0,1.0,5.0,71.0,81.0,78.0,79.0,53.0,85.0,79.0,0.0,0.0,0,0,0,0.0,71.0,0
73,203.0,31.0,48.0,0.0,2.0,67.0,78.0,79.0,82.0,53.0,75.0,76.0,0.0,0.0,0,0,0,0.0,75.0,0
75,199.0,24.0,1.0,0.0,0.0,64.0,81.0,83.0,82.0,50.0,52.0,69.0,0.0,0.0,0,0,0,0.0,87.0,0
70,193.0,30.0,43.0,0.0,0.0,61.0,75.0,72.0,75.0,52.0,71.0,74.0,0.0,0.0,0,0,0,0.0,76.0,0
73,194.0,30.0,7.0,0.0,0.0,60.0,75.0,76.0,80.0,50.0,60.0,70.0,0.0,0.0,0,0,0,0.0,70.0,0
70,191.0,32.0,42.0,0.0,0.0,60.0,70.0,70.0,73.0,49.0,77.0,72.0,0.0,0.0,0,0,0,0.0,70.0,0
73,190.0,29.0,26.0,0.0,0.0,59.0,79.0,70.0,70.0,52.0,65.0,70.0,0.0,0.0,0,0,0,0.0,70.0,0
71,182.0,28.0,0.0,0.0,0.0,59.0,84.0,76.0,74.0,43.0,57.0,66.0,0.0,0.0,0,0,0,0.0,81.0,0
75,193.0,29.0,25.0,0.0,0.0,57.0,71.0,72.0,78.0,51.0,72.0,68.0,0.0,0.0,0,0,0,0.0,63.0,0
71,185.0,31.0,0.0,0.0,0.0,56.0,81.0,71.0,80.0,42.0,59.0,64.0,0.0,0.0,0,0,0,0.0,75.0,0
70,170.0,29.0,2.0,0.0,0.0,56.0,86.0,82.0,79.0,41.0,57.0,59.0,0.0,0.0,0,0,0,0.0,72.0,0
68,170.0,26.0,0.0,0.0,0.0,54.0,75.0,75.0,75.0,51.0,54.0,67.0,0.0,0.0,0,0,0,0.0,72.0,0
74,205.0,26.0,2.0,0.0,0.0,54.0,79.0,76.0,80.0,49.0,55.0,67.0,0.0,0.0,0,0,0,0.0,64.0,0
72,207.0,28.0,12.0,0.0,0.0,52.0,70.0,69.0,72.0,52.0,60.0,68.0,0.0,0.0,0,0,0,0.0,67.0,0
76,209.0,27.0,9.0,0.0,0.0,51.0,74.0,70.0,77.0,52.0,60.0,60.0,0.0,0.0,0,0,0,0.0,64.0,0
73,205.0,28.0,0.0,0.0,0.0,51.0,75.0,68.0,71.0,45.0,64.0,63.0,0.0,0.0,0,0,0,0.0,72.0,0
73,190.0,25.0,0.0,0.0,0.0,51.0,83.0,70.0,75.0,47.0,49.0,54.0,0.0,0.0,0,0,0,0.0,79.0,0
72,200.0,27.0,5.0,0.0,0.0,50.0,76.0,75.0,71.0,47.0,58.0,61.0,0.0,0.0,0,0,0,0.0,68.0,0
76,202.0,23.0,124.0,4.0,6.0,98.0,99.0,98.0,98.0,56.0,93.0,93.0,0.0,0.0,0,0,0,0.0,96.0,0
72,181.0,28.0,123.0,3.0,8.0,96.0,92.0,93.0,96.0,57.0,96.0,97.0,0.0,0.0,0,0,0,0.0,89.0,0
75,217.0,26.0,121.0,5.0,6.0,94.0,92.0,96.0,94.0,63.0,93.0,91.0,0.0,0.0,0,0,0,0.0,89.0,0
72,188.0,27.0,101.0,0.0,4.0,93.0,93.0,94.0,94.0,56.0,95.0,92.0,0.0,0.0,0,0,0,0.0,89.0,0
76,212.0,28.0,79.0,0.0,3.0,92.0,89.0,90.0,90.0,61.0,93.0,92.0,0.0,0.0,0,0,0,0.0,92.0,0
75,214.0,35.0,0.0,0.0,0.0,92.0,85.0,88.0,85.0,59.0,99.0,99.0,0.0,0.0,0,0,0,0.0,82.0,0
72,200.0,30.0,16.0,0.0,0.0,91.0,91.0,97.0,90.0,60.0,90.0,89.0,0.0,0.0,0,0,0,0.0,89.0,0
72,200.0,30.0,0.0,0.0,1.0,91.0,91.0,97.0,90.0,60.0,90.0,89.0,0.0,0.0,0,0,0,0.0,89.0,0
72,204.0,27.0,78.0,0.0,3.0,89.0,90.0,91.0,92.0,62.0,91.0,89.0,0.0,0.0,0,0,0,0.0,84.0,0
72,195.0,34.0,105.0,0.0,9.0,89.0,86.0,90.0,86.0,59.0,97.0,92.0,0.0,0.0,0,0,0,0.0,82.0,0
72,190.0,24.0,99.0,1.0,7.0,89.0,94.0,96.0,89.0,56.0,87.0,88.0,0.0,0.0,0,0,0,0.0,89.0,0
77,215.0,32.0,67.0,0.0,1.0,88.0,85.0,88.0,90.0,64.0,92.0,90.0,0.0,0.0,0,0,0,0.0,85.0,0
73,200.0,31.0,0.0,0.0,0.0,88.0,89.0,92.0,90.0,58.0,91.0,89.0,0.0,0.0,0,0,0,0.0,89.0,0
73,200.0,31.0,1.0,0.0,0.0,88.0,89.0,92.0,90.0,58.0,91.0,89.0,0.0,0.0,0,0,0,0.0,89.0,0
73,200.0,31.0,0.0,0.0,0.0,88.0,89.0,92.0,90.0,58.0,91.0,89.0,0.0,0.0,0,0,0,0.0,89.0,0
73,200.0,31.0,94.0,0.0,5.0,88.0,89.0,92.0,90.0,58.0,91.0,89.0,0.0,0.0,0,0,0,0.0,89.0,0
73,200.0,31.0,33.0,0.0,0.0,88.0,89.0,92.0,90.0,58.0,91.0,89.0,0.0,0.0,0,0,0,0.0,89.0,0
74,217.0,27.0,83.0,1.0,2.0,88.0,87.0,87.0,89.0,58.0,90.0,92.0,0.0,0.0,0,0,0,0.0,88.0,0
73,215.0,22.0,38.0,1.0,1.0,86.0,90.0,93.0,90.0,58.0,82.0,86.0,0.0,0.0,0,0,0,0.0,87.0,0
75,215.0,25.0,34.0,0.0,0.0,85.0,90.0,91.0,90.0,58.0,85.0,85.0,0.0,0.0,0,0,0,0.0,93.0,0
74,210.0,28.0,56.0,0.0,0.0,85.0,88.0,92.0,87.0,58.0,85.0,86.0,0.0,0.0,0,0,0,0.0,82.0,0
74,210.0,28.0,27.0,0.0,0.0,85.0,88.0,92.0,87.0,58.0,85.0,86.0,0.0,0.0,0,0,0,0.0,82.0,0
71,185.0,26.0,67.0,0.0,1.0,85.0,90.0,96.0,87.0,55.0,85.0,87.0,0.0,0.0,0,0,0,0.0,82.0,0
73,206.0,28.0,70.0,0.0,4.0,85.0,91.0,89.0,90.0,58.0,84.0,86.0,0.0,0.0,0,0,0,0.0,84.0,0
71,195.0,23.0,27.0,0.0,0.0,84.0,87.0,94.0,97.0,53.0,78.0,84.0,0.0,0.0,0,0,0,0.0,85.0,0
71,195.0,24.0,43.0,0.0,0.0,84.0,88.0,91.0,91.0,55.0,86.0,87.0,0.0,0.0,0,0,0,0.0,79.0,0
73,185.0,30.0,83.0,0.0,2.0,84.0,87.0,80.0,87.0,56.0,89.0,91.0,0.0,0.0,0,0,0,0.0,83.0,0
72,190.0,28.0,69.0,0.0,0.0,84.0,86.0,87.0,89.0,56.0,85.0,87.0,0.0,0.0,0,0,0,0.0,84.0,0
73,198.0,28.0,65.0,1.0,1.0,84.0,86.0,87.0,87.0,56.0,88.0,87.0,0.0,0.0,0,0,0,0.0,85.0,0
71,188.0,28.0,78.0,0.0,0.0,83.0,93.0,93.0,87.0,50.0,85.0,85.0,0.0,0.0,0,0,0,0.0,87.0,0
71,190.0,30.0,44.0,0.0,0.0,83.0,91.0,91.0,89.0,52.0,84.0,86.0,0.0,0.0,0,0,0,0.0,85.0,0
75,202.0,25.0,69.0,0.0,0.0,82.0,87.0,89.0,88.0,56.0,84.0,85.0,0.0,0.0,0,0,0,0.0,75.0,0
75,216.0,23.0,23.0,0.0,0.0,81.0,87.0,88.0,85.0,56.0,80.0,86.0,0.0,0.0,0,0,0,0.0,89.0,0
72,200.0,29.0,39.0,0.0,0.0,81.0,90.0,88.0,87.0,55.0,82.0,83.0,0.0,0.0,0,0,0,0.0,85.0,0
70,194.0,30.0,44.0,0.0,0.0,80.0,81.0,82.0,85.0,55.0,86.0,88.0,0.0,0.0,0,0,0,0.0,80.0,0
70,188.0,27.0,0.0,0.0,0.0,80.0,80.0,82.0,84.0,53.0,89.0,91.0,0.0,0.0,0,0,0,0.0,69.0,0
74,196.0,37.0,160.0,10.0,13.0,80.0,79.0,79.0,84.0,54.0,99.0,90.0,0.0,0.0,0,0,0,0.0,74.0,0
75,220.0,28.0,38.0,0.0,0.0,80.0,85.0,86.0,85.0,57.0,84.0,85.0,0.0,0.0,0,0,0,0.0,82.0,0
72,195.0,21.0,55.0,0.0,0.0,80.0,85.0,89.0,87.0,56.0,74.0,85.0,0.0,0.0,0,0,0,0.0,83.0,0
76,217.0,27.0,40.0,0.0,0.0,79.0,83.0,84.0,84.0,58.0,82.0,83.0,0.0,0.0,0,0,0,0.0,86.0,0
73,205.0,28.0,47.0,0.0,0.0,79.0,85.0,84.0,82.0,56.0,83.0,87.0,0.0,0.0,0,0,0,0.0,88.0,0
69,170.0,24.0,26.0,0.0,0.0,79.0,93.0,93.0,93.0,40.0,75.0,77.0,0.0,0.0,0,0,0,0.0,81.0,0
