2025-11-05 14:36:18 - Starting Chrome browser...
2025-11-05 14:36:20 - 
Processing 1970...
2025-11-05 14:36:20 -   Scraping: crd 1970...
2025-11-05 14:37:48 -     Found 48 players
2025-11-05 14:37:48 -   Scraping: atl 1970...
2025-11-05 14:38:22 -     Found 49 players
2025-11-05 14:38:22 -   Scraping: rav 1970...
2025-11-05 14:38:36 -     No roster table found for rav 1970
2025-11-05 14:38:36 -   Scraping: bal 1970...
2025-11-05 14:38:49 -     No roster table found for bal 1970
2025-11-05 14:38:49 -   Scraping: buf 1970...
2025-11-05 14:39:30 -     Found 5 players
2025-11-05 14:39:30 -   Scraping: car 1970...
2025-11-05 14:39:44 -     No roster table found for car 1970
2025-11-05 14:39:44 -   Scraping: chi 1970...
2025-11-05 14:39:54 -     Found 51 players
2025-11-05 14:39:54 -   Scraping: cin 1970...
2025-11-05 14:40:06 -     Found 49 players
2025-11-05 14:40:06 -   Scraping: cle 1970...
2025-11-05 14:40:16 -     Found 50 players
2025-11-05 14:40:16 -   Scraping: dal 1970...
2025-11-05 14:40:23 -     Found 46 players
2025-11-05 14:40:23 -   Scraping: den 1970...
2025-11-05 14:40:31 -     Found 53 players
2025-11-05 14:40:31 -   Scraping: det 1970...
2025-11-05 14:40:41 -     Found 48 players
2025-11-05 14:40:41 -   Scraping: gnb 1970...
2025-11-05 14:40:49 -     Found 50 players
2025-11-05 14:40:49 -   Scraping: oti 1970...
2025-11-05 14:40:58 -     Found 50 players
2025-11-05 14:40:58 -   Scraping: clt 1970...
2025-11-05 14:41:06 -     Found 48 players
2025-11-05 14:41:06 -   Scraping: jax 1970...
2025-11-05 14:41:19 -     No roster table found for jax 1970
2025-11-05 14:41:19 -   Scraping: kan 1970...
2025-11-05 14:41:47 -     Found 49 players
2025-11-05 14:41:47 -   Scraping: sdg 1970...
2025-11-05 14:41:55 -     Found 51 players
2025-11-05 14:41:55 -   Scraping: ram 1970...
2025-11-05 14:42:03 -     Found 49 players
2025-11-05 14:42:03 -   Scraping: rai 1970...
2025-11-05 14:42:58 -     Found 47 players
2025-11-05 14:42:58 -   Scraping: mia 1970...
2025-11-05 14:43:08 -     Found 50 players
2025-11-05 14:43:08 -   Scraping: min 1970...
2025-11-05 14:43:35 -     Found 48 players
2025-11-05 14:43:35 -   Scraping: nwe 1970...
2025-11-05 14:43:46 -     Found 52 players
2025-11-05 14:43:46 -   Scraping: nor 1970...
2025-11-05 14:43:58 -     Found 61 players
2025-11-05 14:43:58 -   Scraping: nyg 1970...
2025-11-05 14:44:10 -     Found 48 players
2025-11-05 14:44:10 -   Scraping: nyj 1970...
2025-11-05 14:44:20 -     Found 51 players
2025-11-05 14:44:20 -   Scraping: phi 1970...
2025-11-05 14:44:32 -     Found 52 players
2025-11-05 14:44:32 -   Scraping: pit 1970...
2025-11-05 14:44:50 -     Found 52 players
2025-11-05 14:44:50 -   Scraping: sfo 1970...
2025-11-05 14:45:02 -     Found 46 players
2025-11-05 14:45:02 -   Scraping: sea 1970...
2025-11-05 14:45:17 -     No roster table found for sea 1970
2025-11-05 14:45:17 -   Scraping: tam 1970...
2025-11-05 14:45:30 -     No roster table found for tam 1970
2025-11-05 14:45:30 -   Scraping: oti 1970...
2025-11-05 14:45:40 -     Found 50 players
2025-11-05 14:45:40 -   Scraping: was 1970...
2025-11-05 14:45:52 -     Found 50 players
2025-11-05 14:45:52 - 
Processing 1971...
2025-11-05 14:45:52 -   Scraping: crd 1971...
2025-11-05 14:46:03 -     Found 55 players
2025-11-05 14:46:03 -   Scraping: atl 1971...
2025-11-05 14:46:33 -     Found 52 players
2025-11-05 14:46:33 -   Scraping: rav 1971...
2025-11-05 14:46:46 -     No roster table found for rav 1971
2025-11-05 14:46:46 -   Scraping: bal 1971...
2025-11-05 14:47:00 -     No roster table found for bal 1971
2025-11-05 14:47:00 -   Scraping: buf 1971...
2025-11-05 14:47:27 -     Found 53 players
2025-11-05 14:47:27 -   Scraping: car 1971...
2025-11-05 14:47:41 -     No roster table found for car 1971
2025-11-05 14:47:41 -   Scraping: chi 1971...
2025-11-05 14:48:25 -     Found 49 players
2025-11-05 14:48:25 -   Scraping: cin 1971...
2025-11-05 14:48:34 -     Found 50 players
2025-11-05 14:48:34 -   Scraping: cle 1971...
2025-11-05 14:48:44 -     Found 46 players
2025-11-05 14:48:44 -   Scraping: dal 1971...
2025-11-05 14:48:53 -     Found 52 players
2025-11-05 14:48:53 -   Scraping: den 1971...
2025-11-05 14:49:01 -     Found 51 players
2025-11-05 14:49:01 -   Scraping: det 1971...
2025-11-05 14:49:09 -     Found 47 players
2025-11-05 14:49:09 -   Scraping: gnb 1971...
2025-11-05 14:49:16 -     Found 50 players
2025-11-05 14:49:16 -   Scraping: oti 1971...
2025-11-05 14:49:26 -     Found 53 players
2025-11-05 14:49:26 -   Scraping: clt 1971...
2025-11-05 14:49:42 -     Found 50 players
2025-11-05 14:49:42 -   Scraping: jax 1971...
2025-11-05 14:49:56 -     No roster table found for jax 1971
2025-11-05 14:49:56 -   Scraping: kan 1971...
2025-11-05 14:50:09 -     Found 48 players
2025-11-05 14:50:09 -   Scraping: sdg 1971...
2025-11-05 14:50:23 -     Found 50 players
2025-11-05 14:50:23 -   Scraping: ram 1971...
2025-11-05 14:50:30 -     Found 49 players
2025-11-05 14:50:30 -   Scraping: rai 1971...
2025-11-05 14:50:39 -     Found 52 players
2025-11-05 14:50:39 -   Scraping: mia 1971...
2025-11-05 14:50:47 -     Found 47 players
2025-11-05 14:50:47 -   Scraping: min 1971...
2025-11-05 14:50:55 -     Found 50 players
2025-11-05 14:50:55 -   Scraping: nwe 1971...
2025-11-05 14:51:03 -     Found 51 players
2025-11-05 14:51:03 -   Scraping: nor 1971...
2025-11-05 14:51:12 -     Found 52 players
2025-11-05 14:51:12 -   Scraping: nyg 1971...
2025-11-05 14:51:22 -     Found 52 players
2025-11-05 14:51:22 -   Scraping: nyj 1971...
2025-11-05 14:51:31 -     Found 51 players
2025-11-05 14:51:31 -   Scraping: phi 1971...
2025-11-05 14:51:39 -     Found 56 players
2025-11-05 14:51:39 -   Scraping: pit 1971...
2025-11-05 14:51:50 -     Found 50 players
2025-11-05 14:51:50 -   Scraping: sfo 1971...
2025-11-05 14:51:58 -     Found 44 players
2025-11-05 14:51:58 -   Scraping: sea 1971...
2025-11-05 14:52:11 -     No roster table found for sea 1971
2025-11-05 14:52:11 -   Scraping: tam 1971...
2025-11-05 14:52:25 -     No roster table found for tam 1971
2025-11-05 14:52:25 -   Scraping: oti 1971...
2025-11-05 14:52:35 -     Found 53 players
2025-11-05 14:52:35 -   Scraping: was 1971...
2025-11-05 14:52:46 -     Found 49 players
2025-11-05 14:52:46 - 
Processing 1972...
2025-11-05 14:52:46 -   Scraping: crd 1972...
2025-11-05 14:52:57 -     Found 62 players
2025-11-05 14:52:57 -   Scraping: atl 1972...
2025-11-05 14:53:08 -     Found 48 players
2025-11-05 14:53:08 -   Scraping: rav 1972...
2025-11-05 14:53:22 -     No roster table found for rav 1972
2025-11-05 14:53:22 -   Scraping: bal 1972...
2025-11-05 14:53:35 -     No roster table found for bal 1972
2025-11-05 14:53:35 -   Scraping: buf 1972...
2025-11-05 14:53:46 -     Found 60 players
2025-11-05 14:53:46 -   Scraping: car 1972...
2025-11-05 14:54:00 -     No roster table found for car 1972
2025-11-05 14:54:00 -   Scraping: chi 1972...
2025-11-05 14:54:11 -     Found 50 players
2025-11-05 14:54:11 -   Scraping: cin 1972...
2025-11-05 14:54:23 -     Found 52 players
2025-11-05 14:54:23 -   Scraping: cle 1972...
2025-11-05 14:54:51 -     Found 53 players
2025-11-05 14:54:51 -   Scraping: dal 1972...
2025-11-05 14:55:00 -     Found 48 players
2025-11-05 14:55:00 -   Scraping: den 1972...
2025-11-05 14:55:27 -     Found 55 players
2025-11-05 14:55:27 -   Scraping: det 1972...
2025-11-05 14:55:41 -     Found 53 players
2025-11-05 14:55:41 -   Scraping: gnb 1972...
2025-11-05 14:56:12 -     Found 51 players
2025-11-05 14:56:12 -   Scraping: oti 1972...
2025-11-05 14:57:05 -     Found 56 players
2025-11-05 14:57:05 -   Scraping: clt 1972...
2025-11-05 14:57:17 -     Found 50 players
2025-11-05 14:57:17 -   Scraping: jax 1972...
2025-11-05 14:57:31 -     No roster table found for jax 1972
2025-11-05 14:57:31 -   Scraping: kan 1972...
2025-11-05 14:57:42 -     Found 48 players
2025-11-05 14:57:42 -   Scraping: sdg 1972...
2025-11-05 14:57:52 -     Found 53 players
2025-11-05 14:57:52 -   Scraping: ram 1972...
