PAM,PID,Type,SkinTone,Generation,FaceShape,Description
gen_1_B_B_005,64,generic,VeryDark,1,Round,Gen 1 Very Dark Round Face
gen_1_B_G_01,188,generic,VeryDark,1,Generic,Gen 1 Very Dark Generic
gen_1_B_N_007,296,generic,VeryDark,1,Normal,Gen 1 Very Dark Normal Face
gen_1_B_N_01,448,generic,VeryDark,1,Normal,Gen 1 Very Dark Normal Face
gen_1_B_N_010,613,generic,VeryDark,1,Normal,Gen 1 Very Dark Normal Face
gen_1_B_N_011,629,generic,VeryDark,1,Normal,Gen 1 Very Dark Normal Face
gen_1_B_N_03,662,generic,VeryDark,1,Normal,Gen 1 Very Dark Normal Face
gen_1_B_S_001,666,generic,VeryDark,1,Square,Gen 1 Very Dark Square Face
gen_1_H_BD_01,671,generic,Medium,1,Diamond,Gen 1 Medium Diamond Face
gen_1_H_N_015,719,generic,Medium,1,Normal,Gen 1 Medium Normal Face
gen_1_H_S_003,721,generic,Medium,1,Square,Gen 1 Medium Square Face
gen_1_M_N_02,725,generic,LightMedium,1,Normal,Gen 1 Light-Medium Normal Face
gen_2_BMH_S_002,727,generic,MixedTone,2,Square,Gen 2 Mixed Tone Square Face
gen_2_BMH_S_004,728,generic,MixedTone,2,Square,Gen 2 Mixed Tone Square Face
gen_2_BMH_S_010,730,generic,MixedTone,2,Square,Gen 2 Mixed Tone Square Face
gen_2_B_BD_03,731,generic,VeryDark,2,Diamond,Gen 2 Very Dark Diamond Face
gen_2_B_B_004,871,generic,VeryDark,2,Round,Gen 2 Very Dark Round Face
gen_2_B_B_005,913,generic,VeryDark,2,Round,Gen 2 Very Dark Round Face
gen_2_B_B_006,916,generic,VeryDark,2,Round,Gen 2 Very Dark Round Face
gen_2_B_N_0010,953,generic,VeryDark,2,Normal,Gen 2 Very Dark Normal Face
gen_2_B_N_0012,961,generic,VeryDark,2,Normal,Gen 2 Very Dark Normal Face
gen_2_B_N_0017,1308,generic,VeryDark,2,Normal,Gen 2 Very Dark Normal Face
gen_2_B_N_0018,1419,generic,VeryDark,2,Normal,Gen 2 Very Dark Normal Face
gen_2_B_N_02,1490,generic,VeryDark,2,Normal,Gen 2 Very Dark Normal Face
gen_2_B_S_007,1592,generic,VeryDark,2,Square,Gen 2 Very Dark Square Face
gen_2_B_S_009,1661,generic,VeryDark,2,Square,Gen 2 Very Dark Square Face
gen_2_H_BD_03,1681,generic,Medium,2,Diamond,Gen 2 Medium Diamond Face
gen_2_H_B_004,1682,generic,Medium,2,Round,Gen 2 Medium Round Face
gen_2_H_B_005,1698,generic,Medium,2,Round,Gen 2 Medium Round Face
gen_2_H_B_010,1715,generic,Medium,2,Round,Gen 2 Medium Round Face
gen_2_H_GM_004,1733,generic,Medium,2,Generic,Gen 2 Medium Generic
gen_2_H_G_01,1822,generic,Medium,2,Generic,Gen 2 Medium Generic
gen_2_H_MB_012,1926,generic,Medium,2,MuscularBroad,Gen 2 Medium Muscular Face
gen_2_H_N_007,1944,generic,Medium,2,Normal,Gen 2 Medium Normal Face
gen_2_H_N_009,1974,generic,Medium,2,Normal,Gen 2 Medium Normal Face
gen_2_M_B_01,2075,generic,LightMedium,2,Round,Gen 2 Light-Medium Round Face
gen_2_M_B_02,2082,generic,LightMedium,2,Round,Gen 2 Light-Medium Round Face
gen_2_M_N_007,2085,generic,LightMedium,2,Normal,Gen 2 Light-Medium Normal Face
gen_2_M_N_04,2086,generic,LightMedium,2,Normal,Gen 2 Light-Medium Normal Face
gen_2_M_N_05,2131,generic,LightMedium,2,Normal,Gen 2 Light-Medium Normal Face
gen_2_M_N_22,2153,generic,LightMedium,2,Normal,Gen 2 Light-Medium Normal Face
gen_2_M_S_011,2159,generic,LightMedium,2,Square,Gen 2 Light-Medium Square Face
gen_2_T_N_01,2161,generic,Light,2,Normal,Gen 2 Light Normal Face
gen_2_T_N_02,2211,generic,Light,2,Normal,Gen 2 Light Normal Face
gen_3_B_B_009,2238,generic,VeryDark,3,Round,Gen 3 Very Dark Round Face
gen_3_B_N_02,2249,generic,VeryDark,3,Normal,Gen 3 Very Dark Normal Face
gen_3_B_S_010,2250,generic,VeryDark,3,Square,Gen 3 Very Dark Square Face
gen_3_B_S_011,2256,generic,VeryDark,3,Square,Gen 3 Very Dark Square Face
gen_3_H_BD_01,2270,generic,Medium,3,Diamond,Gen 3 Medium Diamond Face
gen_3_H_B_008,2271,generic,Medium,3,Round,Gen 3 Medium Round Face
gen_3_H_B_01,2317,generic,Medium,3,Round,Gen 3 Medium Round Face
gen_3_H_S_001,2325,generic,Medium,3,Square,Gen 3 Medium Square Face
gen_3_M_N_01,2373,generic,LightMedium,3,Normal,Gen 3 Light-Medium Normal Face
gen_3_T_N_01,2418,generic,Light,3,Normal,Gen 3 Light Normal Face
gen_4_B_BM_01,2438,generic,VeryDark,4,MuscularBroad,Gen 4 Very Dark Muscular Face
gen_4_B_B_004,2472,generic,VeryDark,4,Round,Gen 4 Very Dark Round Face
gen_4_B_G_003,2490,generic,VeryDark,4,Generic,Gen 4 Very Dark Generic
gen_4_B_MS_01,2517,generic,VeryDark,4,MuscularSquare,Gen 4 Very Dark Muscular Square Face
gen_4_B_N_002,2546,generic,VeryDark,4,Normal,Gen 4 Very Dark Normal Face
gen_4_B_N_004,2547,generic,VeryDark,4,Normal,Gen 4 Very Dark Normal Face
gen_4_B_N_005,2558,generic,VeryDark,4,Normal,Gen 4 Very Dark Normal Face
gen_4_H_N_004,2583,generic,Medium,4,Normal,Gen 4 Medium Normal Face
gen_4_M_M_005,2586,generic,LightMedium,4,Generic,Gen 4 Light-Medium Generic
gen_4_M_N_01,2587,generic,LightMedium,4,Normal,Gen 4 Light-Medium Normal Face
gen_5_BHM_M_002,2589,generic,MixedTone,5,Generic,Gen 5 Mixed Tone Generic
gen_5_BHTM_GS_001,2591,generic,MixedTone,5,GenericSquare,Gen 5 Mixed Tone Square
gen_5_B_BD_02,2644,generic,VeryDark,5,Diamond,Gen 5 Very Dark Diamond Face
gen_5_B_BD_03,2650,generic,VeryDark,5,Diamond,Gen 5 Very Dark Diamond Face
gen_5_B_G_01,2652,generic,VeryDark,5,Generic,Gen 5 Very Dark Generic
gen_5_B_MS_02,2657,generic,VeryDark,5,MuscularSquare,Gen 5 Very Dark Muscular Square Face
gen_5_B_N_01,2664,generic,VeryDark,5,Normal,Gen 5 Very Dark Normal Face
gen_5_B_N_02,2666,generic,VeryDark,5,Normal,Gen 5 Very Dark Normal Face
gen_5_B_N_03,2675,generic,VeryDark,5,Normal,Gen 5 Very Dark Normal Face
gen_5_B_S_002,2680,generic,VeryDark,5,Square,Gen 5 Very Dark Square Face
gen_5_H_BD_02,2685,generic,Medium,5,Diamond,Gen 5 Medium Diamond Face
gen_5_H_N_01,2692,generic,Medium,5,Normal,Gen 5 Medium Normal Face
gen_5_M_BD_02,2693,generic,LightMedium,5,Diamond,Gen 5 Light-Medium Diamond Face
gen_5_M_B_001,2694,generic,LightMedium,5,Round,Gen 5 Light-Medium Round Face
gen_5_M_M_005,2695,generic,LightMedium,5,Generic,Gen 5 Light-Medium Generic
gen_5_M_N_009,2705,generic,LightMedium,5,Normal,Gen 5 Light-Medium Normal Face
gen_5_M_N_01,2710,generic,LightMedium,5,Normal,Gen 5 Light-Medium Normal Face
