PEPS,PID
gen_1_B_B_005,64
gen_1_B_G_01,188
gen_1_B_N_007,296
gen_1_B_N_01,448
gen_1_B_N_010,613
gen_1_B_N_011,629
gen_1_B_N_03,662
gen_1_B_S_001,666
gen_1_H_BD_01,671
gen_1_H_N_015,719
gen_1_H_S_003,721
gen_1_M_N_02,725
gen_2_BMH_S_002,727
gen_2_BMH_S_004,728
gen_2_BMH_S_010,730
gen_2_B_BD_03,731
gen_2_B_B_004,871
gen_2_B_B_005,913
gen_2_B_B_006,916
gen_2_B_N_0010,953
gen_2_B_N_0012,961
gen_2_B_N_0017,1308
gen_2_B_N_0018,1419
gen_2_B_N_02,1490
gen_2_B_S_007,1592
gen_2_B_S_009,1661
gen_2_H_BD_03,1681
gen_2_H_B_004,1682
gen_2_H_B_005,1698
gen_2_H_B_010,1715
gen_2_H_GM_004,1733
gen_2_H_G_01,1822
gen_2_H_MB_012,1926
gen_2_H_N_007,1944
gen_2_H_N_009,1974
gen_2_M_B_01,2075
gen_2_M_B_02,2082
gen_2_M_N_007,2085
gen_2_M_N_04,2086
gen_2_M_N_05,2131
gen_2_M_N_22,2153
gen_2_M_S_011,2159
gen_2_T_N_01,2161
gen_2_T_N_02,2211
gen_3_B_B_009,2238
gen_3_B_N_02,2249
gen_3_B_S_010,2250
gen_3_B_S_011,2256
gen_3_H_BD_01,2270
gen_3_H_B_008,2271
gen_3_H_B_01,2317
gen_3_H_S_001,2325
gen_3_M_N_01,2373
gen_3_T_N_01,2418
gen_4_B_BM_01,2438
gen_4_B_B_004,2472
gen_4_B_G_003,2490
gen_4_B_MS_01,2517
gen_4_B_N_002,2546
gen_4_B_N_004,2547
gen_4_B_N_005,2558
gen_4_H_N_004,2583
gen_4_M_M_005,2586
gen_4_M_N_01,2587
gen_5_BHM_M_002,2589
gen_5_BHTM_GS_001,2591
gen_5_B_BD_02,2644
gen_5_B_BD_03,2650
gen_5_B_G_01,2652
gen_5_B_MS_02,2657
gen_5_B_N_01,2664
gen_5_B_N_02,2666
gen_5_B_N_03,2675
gen_5_B_S_002,2680
gen_5_H_BD_02,2685
gen_5_H_N_01,2692
gen_5_M_BD_02,2693
gen_5_M_B_001,2694
gen_5_M_M_005,2695
gen_5_M_N_009,2705
gen_5_M_N_01,2710
gen_5_M_N_02,2717
gen_5_T_G_01,2718
gen_6_BHM_BM_004,2719
gen_6_BHM_B_01,2720
gen_6_BHM_G_002,2721
gen_6_BMH_N_003,2735
gen_6_BM_MG_008,2743
gen_6_BM_N_009,2745
gen_6_BTM_BM_001,2748
gen_6_B_G_03,2749
gen_6_B_G_04,2750
gen_6_B_G_05,2751
gen_6_B_MS_01,2753
gen_6_B_N_0010,2755
gen_6_B_N_003,2758
gen_6_B_N_007,2761
gen_6_B_N_008,2762
gen_6_B_N_009,2763
gen_6_B_N_01,2767
gen_6_B_N_03,2768
gen_6_B_S_02,2769
gen_6_H_BM_02,2770
gen_6_H_B_002,2771
gen_6_H_G_01,2789
gen_6_H_G_012,2790
gen_6_H_MS_01,2793
gen_6_H_N_001,2794
gen_6_H_N_006,2795
gen_6_H_N_01,2799
gen_6_H_N_20,2800
gen_6_M_MB_011,2801
gen_6_M_N_01,2802
gen_6_M_N_02,2803
gen_6_N_MG_009,2806
gen_6_T_MG_006,2810
gen_6_T_N_009,2811
gen_7_BHM_MG_007,2812
gen_7_BHM_MG_022,2813
gen_7_BHM_N_002,2814
gen_7_BHM_S_010,2815
gen_7_BMH_GS_011,2816
gen_7_BMH_MB_019,2819
gen_7_BMH_MG_001,2820
gen_7_BMH_MG_003,2824
gen_7_BMH_S_008,2827
gen_7_BMTH_N_003,2829
gen_7_BMT_BM_012,2832
gen_7_BTM_N_007,2833
gen_7_B_B_001,2836
gen_7_B_B_002,2838
gen_7_B_G_0010,2839
gen_7_B_G_004,2840
gen_7_B_G_005,2841
gen_7_B_G_008,2843
gen_7_B_G_009,2851
gen_7_B_N_0011,2852
gen_7_B_N_0012,2853
gen_7_B_N_0013,2855
gen_7_B_N_009,2858
gen_7_B_N_011,2862
gen_7_B_N_012,2863
gen_7_B_N_013,2865
gen_7_B_N_016,2866
gen_7_B_N_019,2867
gen_7_B_N_07,2868
gen_7_H_BD_03,2869
gen_7_H_BMS_013,2870
gen_7_H_G_004,2871
gen_7_H_G_009,2872
gen_7_H_G_02,2873
gen_7_H_N_01,2874
gen_7_M_BD_01,2875
gen_7_M_BD_02,2877
gen_7_M_BM_014,2878
gen_7_M_GS_015,2880
gen_7_M_MB_009,2882
gen_7_M_MG_025,2884
gen_7_M_N_001,2888
gen_7_M_N_005,2892
gen_7_M_N_006,2893
gen_7_M_N_024,2895
gen_7_T_G_004,2897
gen_7_T_G_007,2898
gen_7_T_N_001,2901
gen_7_T_N_009,2902
gen_7_T_S_004,2904
